0/0,syst
10/8,miss
12/9,Warp (Event)
13/29,bind
13/30,yam_
13/31,yam_
13/32,atc0
13/33,efpr
13/34,Level Down
13/35,Level Up
13/38,nasi
13/39,Rabbit (Foot Kick)
13/40,Rabbit (Dust Cloud)
13/41,Rabbit (Whirl Claws)
13/42,Sheep (Sheep Charge)
13/43,Sheep (Rage)
13/44,Sheep (Lamb Chop)
13/45,shp_
13/46,Sheep (Sheep Song)
13/47,buf_
13/48,buf_
13/49,buf_
13/50,buf_
13/51,she_
13/52,Tiger (Roar)
13/53,Tiger (Razor Fang)
13/55,Tiger (Claw Cyclone)
13/56,dumm
13/57,Dhalmel (Sonic Wave)
13/58,ki_o
13/59,ki_b
13/60,ki_s
13/61,Dhalmel (Cold Stare)
13/62,Dhalmel (Whistle)
13/63,Dhalmel (Berserk)
13/64,Dhalmel (Healing Breeze)
13/65,Opo-opo (Vicious Claw)
13/66,Opo-opo (Stone Throw)
13/67,Opo-opo (Spinning Claw)
13/68,Opo-opo (Claw Storm)
13/69,Opo-opo (Blank Gaze)
13/70,Opo-opo (Eye Scratch)
13/71,Opo-opo (Magic Fruit)
13/72,Mandragora (Head Butt)
13/73,Mandragora (Dream Flower)
13/74,Mandragora (Wild Oats)
13/75,Mandragora (Photosynthesis)
13/76,Mandragora (Leaf Dagger)
13/77,Mandragora (Scream)
13/78,Funguar (Frog Kick)
13/79,Funguar (Spore)
13/80,Funguar (Queasyshroom)
13/81,Funguar (Numbshroom)
13/82,Funguar (Shakeshroom)
13/83,Funguar (Silence Gas)
13/84,Funguar (Dark Spore)
13/85,Morbol (Impale)
13/86,Morbol (Vampiric Root)
13/87,Morbol (Bad Breath)
13/88,Morbol (Sweet Breath)
13/89,Sabotender (Needleshot)
13/90,Sabotender (1000 Needles)
13/91,Sabotender (Photosynthesis)
13/92,Treant (Drill Branch)
13/93,Treant (Pinecone Bomb)
13/94,Treant (Leafstorm)
13/95,Treant (Entangle)
13/96,Bee (Sharp Sting)
13/97,Bee (Pollen)
13/98,Bee (Final Sting)
13/99,bee_
13/100,Beetle (Power Attack)
13/101,Beetle (Hi-Freq Field)
13/102,Beetle (Rhino Attack)
13/103,Beetle (Rhino Guard)
13/104,kb_m
13/105,Beetle (Spoil)
13/106,Crawler (Sticky Thread)
13/107,Crawler (Poison Breath)
13/108,Crawler (Cocoon)
13/109,Scorpion (Numbing Breath)
13/110,Scorpion (Cold Breath)
13/111,Scorpion (Mandible Bite)
13/112,Scorpion (Poison Sting)
13/113,muka
13/114,Scorpion (Death Scissors)
13/115,Scorpion (Wild Rage)
13/116,Scorpion (Earth Pounder)
13/117,Scorpion (Sharp Strike)
13/118,Scorpion (Numbing Breath)
13/119,Scorpion (Cold Breath)
13/120,Scorpion (Mandible Bite)
13/121,Scorpion (Poison Sting)
13/122,muka
13/123,Scorpion (Death Scissors)
13/124,Scorpion (Wild Rage)
13/125,Scorpion (Earth Pounder)
13/126,Scorpion (Sharp Strike)
13/127,Lizard (Blockhead)
14/0,Lizard (Fireball)
14/1,Lizard (Tail Blow)
14/2,Lizard (Brain Crush)
14/3,Lizard (Baleful Gaze)
14/4,Lizard (Plauge Breath)
14/5,Lizard (Infrasonics)
14/6,Lizard (Secretion)
14/7,Raptor (Ripper Fang)
14/8,wf_b
14/9,Raptor (Foul Breath)
14/10,Raptor (Frost Breath)
14/11,Raptor (Thunderbolt)
14/12,Raptor (Chomp Rush)
14/13,Raptor (Scythe Tail)
14/14,wf_w
14/15,Bats (Sonic Boom)
14/16,Bat (Ultrasonics)
14/17,Bat (Blood Drain)
14/18,Bats (Jet Stream)
14/19,Greater Bird (Scratch)
14/20,Greater Bird (Triple Attack)
14/21,Greater Bird (Gliding Spike)
14/22,Greater Bird (Feather Barrier)
14/23,Greater Bird (Stormwind)
14/24,Cockatrice (Hammer Beak)
14/25,Cockatrice (Poison Pick)
14/26,Cockatrice (Sound Vacuum)
14/27,cok_
14/28,Cockatrice (Sound Blast)
14/29,Cockatrice (Baleful Gaze)
14/30,Leech (Suction)
14/31,Leech (Acid Mist)
14/32,Leech (Sand Breath)
14/33,Leech (Drainkiss)
14/34,Leech (Regeneration)
14/35,Leech (TP Drainkiss)
14/36,Leech (MP Drainkiss)
14/37,Leech (Brain Drain)
14/38,Worm (Full-Force Blow)
14/39,Worm (Gastric Bomb)
14/40,Worm (Sandspin)
14/41,Worm (Tremors)
14/42,Worm (MP Absorption)
14/43,Worm (Sound Vacuum)
14/44,mimz
14/45,Slime (Fluid Spread)
14/46,Slime (Fluid Toss)
14/47,Slime (Digest)
14/48,Hecteyes (Death Ray)
14/49,Hecteyes (Hex Eye)
14/50,Crab (Bubble Shower)
14/51,Crab (Bubble Curtain)
14/52,Crab (Big Scissors)
14/53,Crab (Metallic Body)
14/54,kani
14/55,Crab (Scissor Guard)
14/56,Pugil (Intimidate)
14/57,Pugil (Aqua Ball)
14/58,Pugil (Splash Breath)
14/59,Pugil (Screwdriver)
14/60,Pugil (Water Wall)
14/61,Pugil (Water Shield)
14/62,fish
14/63,Sea Monk (Tentacle)
14/64,Sea Monk (Ink Jet)
14/65,Sea Monk (Hard Membrane)
14/66,Sea Monk (Cross Attack)
14/67,Sea Monk (Regeneration)
14/68,Sea Monk (Maelstrom)
14/69,Sea Monk (Whirlwind)
14/70,Hound (Howling)
14/71,Hound (Poison Breath)
14/72,Hound (Rot Gas)
14/73,Hound (Dirty Claw)
14/74,Hound (Shadow Claw)
14/75,Hound (Methane Breath)
14/76,Ghost (Grave Reel)
14/77,Ghost (Ectosmash)
14/78,Ghost (Terror Touch)
14/79,Ghost (Fear Touch)
14/80,Ghost (Curse)
14/81,Ghost (Dark Sphere)
14/82,Skeleton (Hell Slash)
14/83,Skeleton (Horror Cloud)
14/84,Skeleton (Black Cloud)
14/85,Skeleton (Blood Saber)
14/86,Doomed (Whip Tongue)
14/87,Doomed (Acid Breath)
