16/34,Cure
16/37,Sahagin (Jumping Thrust)
16/38,Sahagin (Jumping Thrust)
16/39,Sahagin (Jumping Thrust)
16/40,Sahagin (Hydro Ball)
16/41,Sahagin (Hydro Ball)
16/42,Sahagin (Hydro Ball)
16/43,Sahagin (Bubble Armor)
16/44,Sahagin (Bubble Armor)
16/45,Sahagin (Bubble Armor)
16/46,Sahagin (Hydro Shot)
16/49,Sahagin (Spinning Fin)
16/50,Sahagin (Spinning Fin)
16/51,Sahagin (Spinning Fin)
16/52,Tonberry (Sigh)
16/53,Tonberry (Light of Penance)
16/54,Tonberry (Lateral Slash)
16/55,Tonberry (Vertical Slash)
16/56,Tonberry (Throat Stab)
16/57,Antica (Spikeball)
16/58,Antica (Shoulder Slam)
16/59,Antica (Magnetite Cloud)
16/60,Antica (Sandstorm)
16/61,Antica (Sand Veil)
16/62,Antica (Sand Shield)
16/63,Antica (Sand Trap)
16/64,Antica (Jamming Wave)
19/126,ship
19/127,ship
23/72,Tonberry (Curse)
23/80,Kam'lanaut (Fire Saber)
23/81,Kam'lanaut (Ice Saber)
23/82,Kam'lanaut (Wind Saber)
23/83,Kam'lanaut (Earth Saber)
23/84,Kam'lanaut (Thunder Saber)
23/85,Kam'lanaut (Water Saber)
23/86,Kam'lanaut (Great Wheel)
23/87,Kam'lanaut (Light Blade)
23/88,Tonberry (Everyone's Grudge)
23/89,Tonberry (Everyone's Rancor)
23/90,teni
23/91,5s_s
23/92,kam_
23/93,kam_
23/94,jir_
23/95,jir_
23/96,cris
23/97,sins
23/98,ring
23/99,Hall of the Gods teleport
23/100,tonv
23/101,gene
23/102,Swift Blade
23/103,Tachi: Kasha
23/104,Blade: Ten
23/105,Decimation
23/106,Spiral Hell
23/107,yami
23/108,toba
23/109,siba
23/110,karu
23/111,fenn
23/112,fyre
23/113,gura
23/114,kam_
23/115,kubi
23/116,tata
23/117,shoh
23/118,mao2
23/122,Ifrit Prime summon
23/123,Titan Prime summon
23/124,Leviathan Prime summon
23/125,Garuda Prime summon
23/126,Shiva Prime summon
23/127,Ramuh Prime summon
24/0,Ifrit Prime release
24/1,Titan Prime release
24/2,Leviathan Prime release
24/3,Garuda Prime release
24/4,Shiva Prime release
24/5,Ramuh Prime release
24/23,Fenrir Prime (Moonlit Charge)
24/24,Fenrir Prime (Cresent Fang)
24/25,Fenrir Prime (Lunar Cry)
24/26,Fenrir Prime (Lunar Roar)
24/27,Fenrir Prime (Dispel)
24/28,Fenrir Prime (Eclipse Bite)
24/29,Fenrir Prime (Ecliptic Growl)
24/30,Fenrir Prime (Ecliptic Howl)
24/31,Fenrir Prime (Howling Moon)
24/32,Ifrit Prime (Punch)
24/33,Ifrit Prime (Fire II)
24/34,Ifrit Prime (Burning Strike)
24/35,Ifrit Prime (Double Punch)
24/36,Ifrit Prime (Crimson Howl)
24/37,Ifrit Prime (Fire IV)
24/38,Ifrit Prime (Flaming Crush)
24/39,Ifrit Prime (Meteor Strike)
24/41,Titan Prime (Rock Throw)
24/42,Titan Prime (Stone II)
24/43,Titan Prime (Rock Buster)
24/45,Titan Prime (Earthen Ward)
24/46,Titan Prime (Stone IV)
24/47,Titan Prime (Mountain Buster)
24/48,Titan Prime (Geocrush)
24/50,Leviathan Prime (Barracuda Dive)
24/51,Leviathan Prime (Water II)
24/52,Leviathan Prime (Tail Whip)
24/53,Leviathan Prime (Spring Water)
24/54,Leviathan Prime (Slowga)
24/55,Leviathan Prime (Water IV)
24/56,Leviathan Prime (Spinning Dive)
24/57,Leviathan Prime (Grand Fall)
24/59,Garuda Prime (Claw)
24/60,Garuda Prime (Aero II)
24/61,Garuda Prime (Whispering Wind)
24/62,Garuda Prime (Hastega)
24/64,Garuda Prime (Aero IV)
24/65,Garuda Prime (Predator Claws)
24/66,Garuda Prime (Wind Blade)
24/68,Shiva Prime (Axe Kick)
24/69,Shiva Prime (Bizzard II)
24/70,Shiva Prime (Frost Armor)
24/71,Shiva Prime (Sleepga)
24/72,Shiva Prime (Double Slap)
24/73,Shiva Prime (Blizzard IV)
24/74,Shiva Prime (Rush)
24/75,Shiva Prime (Heavenly Strike)
24/77,Ramuh Prime (Shock Strike)
24/78,Ramuh Prime (Thunder II)
24/79,Ramuh Prime (Rolling Thunder)
24/80,Ramuh Prime (Thunderspark)
24/81,Ramuh Prime (Lightning Armor)
24/82,Ramuh Prime (Thunder IV)
24/83,Ramuh Prime (Chaotic Strike)
