12/10,Katon: Ichi
12/11,Katon: Ni
12/12,Katon: San
12/13,Hyoton: Ichi
12/14,Hyoton: Ni
12/15,Hyoton: San
12/16,Huton: Ichi
12/17,Huton: Ni
12/18,Huton: San
12/19,Doton: Ichi
12/20,Doton: Ni
12/21,Doton: San
12/22,Raiton: Ichi
12/23,Raiton: Ni
12/24,Raiton: San
12/25,Suiton: Ichi
12/26,Suiton: Ni
12/27,Suiton: San
12/28,Utsusemi: Ichi
12/29,Utsusemi: Ni
12/30,Utsusemi: San
12/31,Hojo: Ichi
12/32,Hojo: Ni
12/33,Hojo: San
12/34,Kurayami: Ichi
12/35,Kurayami: Ni
12/36,Kurayami: San
12/37,Dokumori: Ichi
12/38,Dokumori: Ni
12/39,Dokumori: San
12/40,Tonko: Ichi
12/41,Tonko: Ni
12/42,Tonko: San
97/13,Jubaku: Ichi
97/14,Jubaku: Ni
97/15,Jubaku: San
197/109,Monomi: Ichi
246/126,Aisha: Ichi
255/26,Yurin: Ichi
255/27,Myoshu: Ichi
259/106,Migawari: Ichi
263/49,Kakka: Ichi
