12/43,Foe Requiem
12/44,Foe Requiem II
12/45,Foe Requiem III
12/46,Foe Requiem IV
12/47,Foe Requiem V
12/48,Foe Requiem VI
12/49,Foe Requiem VII
12/50,Foe Requiem VIII
12/51,Horde Lullaby
12/52,Horde Lullaby II
12/53,Army's Paeon
12/54,Army's Paeon II
12/55,Army's Paeon III
12/56,Army's Paeon IV
12/57,Army's Paeon V
12/58,Army's Paeon VI
12/59,Army's Paeon VII
12/60,Mage's Ballad (unused)
12/61,Mage's Ballad
12/62,Mage's Ballad II
12/63,Knight's Minne
12/64,Knight's Minne II
12/65,Knight's Minne III
12/66,Knight's Minne IV
12/67,Knight's Minne V
12/68,Valor Minuet
12/69,Valor Minuet II
12/70,Valor Minuet III
12/71,Valor Minuet IV
12/72,Valor Minuet V
12/73,Sword Madrigal
12/74,Blade Madrigal
12/75,Hunter's Prelude
12/76,Archer's Prelude
12/77,Sheepfoe Mambo
12/78,Dragonfoe Mambo
12/79,Fowl Aubade
12/80,Herb Pastoral
12/81,Chocobo Hum
12/82,Shining Fantasia
12/83,Scop's Operetta
12/84,Puppet's Operetta
12/85,Jester's Operetta
12/86,Gold Capriccio
12/87,Devotee Serenade
12/88,Warding Round
12/89,Goblin Gavotte
12/90,Cactuar Fugue
12/91,Moogle Rhapsody
12/92,Protected Aria
12/93,Fire Carol
12/94,Ice Carol
12/95,Wind Carol
12/96,Earth Carol
12/97,Lightning Carol
12/98,Water Carol
12/99,Light Carol
12/100,Dark Carol
12/101,Fire Carol II
12/102,Ice Carol II
12/103,Wind Carol II
12/104,Earth Carol II
12/105,Lightning Carol II
12/106,Water Carol II
12/107,Light Carol II
12/108,Dark Carol II
12/109,Advancing March
12/110,Victory March
12/111,Battlefield Elegy
12/112,Carnage Elegy
12/113,Massacre Elegy
12/114,Sinewy Etude
12/115,Dextrous Etude
12/116,Vivacious Etude
12/117,Quick Etude
12/118,Learned Etude
12/119,Spirited Etude
12/120,Enchanting Etude
12/121,Herculean Etude
12/122,Uncanny Etude
12/123,Vital Etude
12/124,Swift Etude
12/125,Sage Etude
12/126,Logical Etude
12/127,Bewitching Etude
13/0,Fire Threnody
13/1,Water Threnody
13/2,Wind Threnody
13/3,Earth Threnody
13/4,Lightning Threnody
13/5,Ice Threnody
13/6,Light Threnody
13/7,Dark Threnody
13/8,Magic Finale
128/89,Goddess's Hymnus
128/90,Chocobo Mazurka
128/91,Maiden's Virelai
168/3,Nightingale
168/4,Troubadour
168/5,Foe Sirvente
168/6,Adventurer's Dirge
169/46,Raptor Mazurka
197/102,uta_
255/28,Sentinel's Scherzo
263/48,Pining Nocturne?
266/67,kal3
