97/97, Summon: Carbuncle
97/98, Summon: Fenrir
97/99, Summon: Ifrit
97/100, Summon: Titan
97/101, Summon: Leviathan
97/102, Summon: Garuda
97/103, Summon: Shiva
97/104, Summon: Ramuh
159/62, Summon: Diabolos
238/48, Summon: Odin
238/50, Summon: Alexander

97/105, Release: Carbuncle
97/106, Release: Fenrir
97/107, Release: Ifrit
97/108, Release: Titan
97/109, Release: Leviathan
97/110, Release: Garuda
97/111, Release: Shiva
97/112, Release: Ramuh
159/63, Release: Diabolos
238/49, Release: Odin
238/51, Release: Alexander

118/21, Carbuncle: Healing Ruby
118/22, Carbuncle: Poison Nails
118/23, Carbuncle: Shining Ruby
118/24, Carbuncle: Glittering Ruby
118/25, Carbuncle: Meteorite
118/26, Carbuncle: Healing Ruby II
246/67, Carbuncle: Holy Mist
118/27, Carbuncle: Searing Light
118/28, Fenrir: Moonlit Charge
118/29, Fenrir: Crescent Fang
118/30, Fenrir: Lunar Cry
118/31, Fenrir: Lunar Roar?
118/32, Fenrir: Eclipse Bite
118/33, Fenrir: Ecliptic Growl
118/34, Fenrir: Ecliptic Howl
119/52, Fenrir: Lunar Roar
246/68, Fenrir: Lunar Bay
118/35, Fenrir: Howling Moon
#159/42-50, Fenrir:
118/36, Ifrit: Punch
118/37, Ifrit: Fire II
118/38, Ifrit: Burning Strike
118/39, Ifrit: Double Punch
118/40, Ifrit: Crimson Howl
118/41, Ifrit: Fire IV
118/42, Ifrit: Flaming Crush
118/43, Ifrit: Meteor Strike
118/44, Ifrit: Inferno
#119/66, Ifrit: Inferno
118/45, Titan: Rock Throw
118/46, Titan: Stone II
118/47, Titan: Rock Buster
118/48, Titan: Megalith Throw
118/49, Titan: Earthen Ward
118/50, Titan: Stone IV
118/51, Titan: Mountain Buster
118/52, Titan: Geocrush
254/115, Titan: Earthen Armor
118/53, Titan: Earthen Fury
#119/67, Titan: Earthen Fury
118/54, Leviathan: Barracuda Dive
118/55, Leviathan: Water II
118/56, Leviathan: Tail Whip
118/57, Leviathan: Spring Water
118/58, Leviathan: Slowga
118/59, Leviathan: Water IV
118/60, Leviathan: Spinning Dive
118/61, Leviathan: Grand Fall
254/116, Leviathan: Tidal Roar 
118/62, Leviathan: Tidal Wave
#119/68, Leviathan: Tidal Wave
118/63, Garuda: Claw
118/64, Garuda: Aero II
118/65, Garuda: Whispering Wind
118/66, Garuda: Hastega
118/67, Garuda: Aerial Armor
118/68, Garuda: Aero IV
118/69, Garuda: Predator Claws
118/70, Garuda: Wind Blade
118/71, Garuda: Aerial Blast
118/72, Shiva: Axe Kick
118/73, Shiva: Blizzard II
118/74, Shiva: Frost Armor
118/75, Shiva: Sleepga
118/76, Shiva: Double Slap
118/77, Shiva: Blizzard IV
118/78, Shiva: Rush
118/79, Shiva: Heavenly Strike
118/80, Shiva: Diamond Dust
#119/70, Shiva: Diamond Dust
118/81, Ramuh: Shock Strike
118/82, Ramuh: Thunder II
118/83, Ramuh: Rolling Thunder
118/84, Ramuh: Thunderspark
118/85, Ramuh: Lightning Armor
118/86, Ramuh: Thunder IV
118/87, Ramuh: Chaotic Strike
118/88, Ramuh: Thunderstorm
118/89, Ramuh: Judgment Bolt

159/64, Diabolos: Camisado
159/65, Diabolos: Somnolence
159/66, Diabolos: Noctoshield
159/67, Diabolos: Ultimate Terror
159/68, Diabolos: Dream Shroud
159/69, Diabolos: Nightmare
159/70, Diabolos: カコデモニア
159/71, Diabolos: Nether Blast
246/69, Diabolos: Night Terror
159/72, Diabolos: Ruinous Omen

238/58, Odin: Zantetsuken
238/84, Alexander: Perfect Defense

