282/121	Cape Teriggan
282/122	Eastern Altepa Desert
282/123, The Sanctuary of Zi'Tah
282/124, Ro'Maeve
282/125	Yuhtunga Jungle
282/126	Yhoator Jungle
282/127	Western Altepa Desert
283/0	Valley of Sorrows
283/1, Ru'Aun Gardens
283/2-5	The Boyahda Tree
283/6, Dragon's Aery
283/7-10	Temple of Uggalepih
283/11-19	Den of Rancor
17/117;283/20	Toraimarai Canal
17/121;283/21-25	Korroloka Tunnel
17/122;283/26-29	Kuftal Tunnel
283/30-34	Sea Serpent Grotto
283/35-43, Ve'Lugannon Palace
283/44-49, The Shrine of Ru'Auvitau
283/50-57;283/72, Ifrit's Cauldron
283/58-63;283/73-74	Quicksand Caves
283/64-65	Gustav Tunnel
283/66	Labyrinth of Onzozo
283/67, Airship: Jeuno to Kazham Route
283/68	Rabao
283/69	Kazham
283/70	Hall of Gods
283/71	Norg


