1/258/95;4/9/47;4/12/94,Acrolith
1/4/115-116;1/172/71;1/173/91;1/224/22;1/239/68;3/9/28;5/9/50,Bomb
1/5/68;1/6/17-31;1/142/95;1/4/98-99;1/7/100;1/7/102;1/7/121,Cardian
1/240/109;1/267/23,Caturae 1
1/250/69;1/268/0,Caturae 2
1/250/70;1/268/1,Caturae 3
1/250/71;1/268/2,Caturae 4
1/258/123;1/277/7,Caturae 5
1/258/124;1/277/8,Caturea 6
1/160/106-107,Cluster
1/97/80;1/123/9;1/161/2;1/258/109;3/9/84,Detector
1/5/1-2,Doll
1/5/83-116;1/142/96-98;1/148/64-65,Evil Weapon
1/200/69;1/268/7,Grimoire
1/250/76-77;1/262/110-111,Iron Giant
1/250/64;4/9/72;4/12/107;1/259/4,Khimaira
1/5/56;1/5/58-59;1/5/57,Magic Pot
1/280/83;1/309/6;1/280/84,Marolith
1/286/77,Mimic
