1/159/26;1/159/29;2/22/100-101;2/22/105-107;2/22/111;2/23/6-10;2/23/14;2/23/16,Antican
1/159/27-28;2/22/113;2/22/115-116;2/22/118;2/22/123-126;2/23/0;2/23/2,Antican 2
3/5/97-98,Bugbear
1/7/51-53;1/7/55-63;1/7/50;1/7/54;1/97/84;1/97/82;1/97/85,Gigas
1/203/121-123;1/241/85,Gigas 2
1/3/59;1/3/102;1/5/117-123;1/5/126-127;1/6/1;1/6/3-5;1/6/7;1/6/9-12;1/6/15-16;1/7/22;1/7/25;1/155/103;1/223/117;1/352/27;6/0/14;3/7/57-64;1/190/125;3/7/65;1/287/125-126;3/7/67-69;1/355/65,Goblin
1/5/124-125;1/6/0;1/6/2;1/6/6;1/6/8;1/6/13-14;1/7/19-21;1/7/23-24;1/352/29;3/7/85-91;1/162/127;1/165/116;1/261/44;1/352/28;3/7/83;3/9/31-33,Goblin 2
1/131/4-6,Goblin 3
1/146/110;1/165/114;3/7/71-73;3/7/75-78;1/131/7-8,Goblin 4
3/7/80-81;1/146/111;1/165/115,Goblin 5
4/11/124-127;1/353/63;4/8/36-39;4/12/1;4/8/60,Lamia 1
4/8/61-63;4/8/73-75;4/12/2-4;4/12/14-16,Lamia 2
1/353/62;4/10/3;4/13/4,Lamia 3
4/7/124-126;4/8/16;4/8/20,Mamool Ja 1
4/8/21;4/8/35,Mamool Ja 2
4/2/56,Mamool Ja 3
4/10/1;4/13/2,Mamool Ja 4
4/9/49;4/12/96;4/2/56-57,Mamool Ja 5
1/280/7,Meeble
1/6/94;1/6/96-98;1/6/100;1/6/102;1/6/104;1/6/107;1/6/109;1/6/111-115;1/6/118;1/9/7;1/9/9-10;1/9/15;1/9/18;1/9/22-25;6/0/15;1/146/109, Orc 1
1/6/95;1/6/99;1/6/101;1/6/105-106;1/6/108;1/9/6;1/9/16-17;1/9/21;1/125/77;1/130/109-111, Orc 2
1/6/103;1/6/110;1/6/116-117;1/9/8;1/9/12-13;1/9/19-20;1/130/112-113, Orc 3
1/3/2;1/7/26-31;1/9/5;1/9/11;1/9/14;5/6/45-46;9/0/1,Orc 4
5/6/9-29;5/6/47-48,Orc (S)
1/157/123;1/159/30;1/352/119;2/23/19;2/23/21;2/23/24;2/23/28-29;1/159/31-32;2/23/36-44;2/23/46-53;2/23/55,Sahagin
1/147/4-7;2/22/23-24;2/22/29-30;2/22/34;2/22/37;2/22/39-40;2/22/47-51;2/22/54;2/22/57-59;2/22/63;2/22/67-69;2/22/71-72;2/22/76-77;2/22/79;2/22/85;2/22/92;2/22/96-97;1/151/127;1/152/0-6;1/152/122;1/241/89,Tonberry
1/353/27;4/8/76-78;4/8/100;4/12/17-19;4/12/41,Lamia 1
1/353/28;4/8/101-102;4/8/115;4/12/42-43;4/12/56,Lamia 2
4/9/52;4/12/99,Lamia 3
1/353/26;4/10/5;4/13/6,Lamia 4
9/0/48-49;9/2/9;9/0/53-54;9/2/10;9/0/118,Velkk
1/189/39;1/258/91-92,Qiqirn
1/6/119-120;1/6/123-125;1/7/5-7;1/7/36-37;1/9/27;1/9/31;1/9/34;1/9/37;1/130/117-118,Quadav 1
1/6/121-122;1/6/126-127;1/7/0-4;1/7/33;1/7/35;1/9/26;1/9/32-33;1/119/78;1/130/114-116;5/6/125-127,Quadav 2
1/7/8-18;1/9/28-30;1/9/35-36;1/9/38-39;6/0/16,Quadav 3
5/6/89-103;5/7/0,Quadav (S)
1/6/70;1/6/74-75;1/6/77-81;1/6/84-88;1/7/38;1/7/41;1/9/40-42;1/9/45-47;1/9/51-55;1/130/127;1/131/0-1,Yagudo 1
1/6/71-73;1/6/76;1/6/82-83;1/6/89-93;1/7/39-40;1/7/42-43;1/9/43-44;1/9/48-50;6/0/17;1/131/2-3,Yagudo 2
1/119/77;5/6/85-86,Yagudo 3
5/6/87-88;5/6/49-63,Yagudo (S)
