0/0,----Elvaan F Head----
1/42/26,26
1/42/27,27
1/42/28,28
1/42/29,29
1/42/30,30
1/42/31,31
1/42/32,32
1/42/33,33
1/42/34,34
1/42/35,35
1/42/36,36
1/42/37,37
1/42/38,38
1/42/39,39
1/42/40,40
1/42/41,41
1/42/42,42
1/42/43,43
1/42/44,44
1/42/45,45
1/42/46,46
1/42/47,47
1/42/48,48
1/42/49,49
1/42/50,50
1/42/51,51
1/42/52,52
1/42/53,53
1/42/54,54
1/42/55,55
1/93/106,106
1/93/107,107
1/93/108,108
1/93/109,109
1/93/110,110
1/93/111,111
1/96/34,34
1/96/35,35
1/96/36,36
1/96/37,37
1/96/38,38
1/98/120,120
1/98/121,121
1/98/122,122
1/98/123,123
0/0,----Elvaan F Body----
1/42/56,56
1/42/57,57
1/42/58,58
1/42/59,59
1/42/60,60
1/42/61,61
1/42/62,62
1/42/63,63
1/42/64,64
1/42/65,65
1/42/66,66
1/42/67,67
1/42/68,68
1/42/69,69
1/42/70,70
1/42/71,71
1/42/72,72
1/42/73,73
1/42/74,74
1/42/75,75
1/42/76,76
1/42/77,77
1/42/78,78
1/42/79,79
1/42/80,80
1/42/81,81
1/42/82,82
1/42/83,83
1/42/84,84
1/42/85,85
1/42/86,86
1/42/87,87
1/42/88,88
1/42/89,89
1/42/90,90
1/42/91,91
1/42/92,92
1/42/93,93
1/42/94,94
1/42/95,95
1/42/96,96
1/42/97,97
1/42/98,98
1/42/99,99
1/93/112,112
1/93/113,113
1/93/114,114
1/93/115,115
1/93/116,116
1/93/117,117
1/93/118,118
1/93/119,119
1/93/120,120
1/93/121,121
1/93/122,122
1/96/39,39
1/96/40,40
1/96/41,41
1/96/42,42
1/96/43,43
1/98/124,124
1/98/125,125
1/98/126,126
1/98/127,127
0/0,----Elvaan F Hands----
1/42/100,100
1/42/101,101
1/42/102,102
1/42/103,103
1/42/104,104
1/42/105,105
1/42/106,106
1/42/107,107
1/42/108,108
1/42/109,109
1/42/110,110
1/42/111,111
1/42/112,112
1/42/113,113
1/42/114,114
1/42/115,115
1/42/116,116
1/42/117,117
1/42/118,118
1/42/119,119
1/42/120,120
1/42/121,121
1/42/122,122
1/42/123,123
1/42/124,124
1/42/125,125
1/42/126,126
1/42/127,127
1/43/0,0
1/43/1,1
1/43/2,2
1/93/123,123
1/93/124,124
1/93/125,125
1/93/126,126
1/93/127,127
1/94/0,0
1/96/44,44
1/96/45,45
1/96/46,46
1/96/47,47
1/96/48,48
1/99/0,0
1/99/1,1
1/99/2,2
1/99/3,3
0/0,----Elvaan F Legs----
1/43/3,3
1/43/4,4
1/43/5,5
1/43/6,6
1/43/7,7
1/43/8,8
1/43/9,9
1/43/10,10
1/43/11,11
1/43/12,12
1/43/13,13
1/43/14,14
1/43/15,15
1/43/16,16
1/43/17,17
1/43/18,18
1/43/19,19
1/43/20,20
1/43/21,21
1/43/22,22
1/43/23,23
1/43/24,24
1/43/25,25
1/43/26,26
1/43/27,27
1/43/28,28
1/43/29,29
1/43/30,30
1/43/31,31
1/43/32,32
1/43/33,33
1/94/1,1
1/94/2,2
1/94/3,3
1/94/4,4
1/94/5,5
1/94/6,6
1/96/49,49
1/96/50,50
1/96/51,51
1/96/52,52
1/96/53,53
1/99/4,4
1/99/5,5
1/99/6,6
1/99/7,7
0/0,----Elvaan F Feet----
1/43/34,34
1/43/35,35
1/43/36,36
1/43/37,37
1/43/38,38
1/43/39,39
1/43/40,40
1/43/41,41
1/43/42,42
1/43/43,43
1/43/44,44
1/43/45,45
1/43/46,46
1/43/47,47
1/43/48,48
1/43/49,49
1/43/50,50
1/43/51,51
1/43/52,52
1/43/53,53
1/43/54,54
1/43/55,55
1/43/56,56
1/43/57,57
1/43/58,58
1/43/59,59
1/43/60,60
1/43/61,61
1/43/62,62
1/43/63,63
1/43/64,64
1/94/7,7
1/94/8,8
1/94/9,9
1/94/10,10
1/94/11,11
1/94/12,12
1/96/54,54
1/96/55,55
1/96/56,56
1/96/57,57
1/96/58,58
1/99/8,8
1/99/9,9
1/99/10,10
1/99/11,11
0/0,----Elvaan F Weapons----
1/43/66,66
1/43/67,67
1/43/68,68
1/43/69,69
1/43/70,70
1/43/71,71
1/43/72,72
1/43/73,73
1/43/74,74
1/43/75,75
1/43/76,76
1/43/77,77
1/43/78,78
1/43/79,79
1/43/80,80
1/43/81,81
1/43/82,82
1/43/83,83
1/43/84,84
1/43/85,85
1/43/86,86
1/43/87,87
1/43/88,88
1/43/89,89
1/43/90,90
1/43/91,91
1/43/92,92
1/43/93,93
1/43/94,94
1/43/95,95
1/43/96,96
1/43/97,97
1/43/98,98
1/43/99,99
1/43/100,100
1/43/101,101
1/43/102,102
1/43/103,103
1/43/104,104
1/43/105,105
1/43/106,106
1/43/107,107
1/43/108,108
1/43/109,109
1/43/110,110
1/43/111,111
1/43/112,112
1/43/113,113
1/43/114,114
1/43/115,115
1/43/116,116
1/43/117,117
1/43/118,118
1/43/119,119
1/43/120,120
1/43/121,121
1/43/122,122
1/43/123,123
1/43/124,124
1/43/125,125
1/43/126,126
1/43/127,127
1/44/0,0
1/44/1,1
1/44/2,2
1/44/3,3
1/44/4,4
1/44/5,5
1/44/6,6
1/44/7,7
1/44/8,8
1/44/9,9
1/44/10,10
1/44/11,11
1/44/12,12
1/44/13,13
1/44/14,14
1/44/15,15
1/44/16,16
1/44/17,17
1/44/18,18
1/44/19,19
1/44/20,20
1/44/21,21
1/44/22,22
1/44/23,23
1/44/24,24
1/44/25,25
1/44/26,26
1/44/27,27
1/44/28,28
1/44/29,29
1/44/30,30
1/44/31,31
1/44/32,32
1/44/33,33
1/44/34,34
1/44/35,35
1/44/36,36
1/44/37,37
1/44/38,38
1/44/39,39
1/44/40,40
1/44/41,41
1/44/42,42
1/44/43,43
1/44/44,44
1/44/45,45
1/44/46,46
1/44/47,47
1/44/48,48
1/44/49,49
1/44/50,50
1/44/51,51
1/44/52,52
1/44/53,53
1/44/54,54
1/44/55,55
1/44/56,56
1/44/57,57
1/44/58,58
1/44/59,59
1/44/60,60
1/44/61,61
1/44/62,62
1/44/63,63
1/44/64,64
1/44/65,65
1/44/66,66
1/44/67,67
1/44/68,68
1/44/69,69
1/44/70,70
1/44/71,71
1/44/72,72
1/44/73,73
1/44/74,74
1/44/75,75
1/44/76,76
1/44/77,77
1/44/78,78
1/44/79,79
1/44/80,80
1/44/81,81
1/44/82,82
1/44/83,83
1/44/84,84
1/44/85,85
1/44/86,86
1/44/87,87
1/44/88,88
1/44/89,89
1/44/90,90
1/44/91,91
1/44/92,92
1/44/93,93
1/44/94,94
1/44/95,95
1/44/96,96
1/44/97,97
1/44/98,98
1/44/99,99
1/44/100,100
1/44/101,101
1/44/102,102
1/44/103,103
1/44/104,104
1/44/105,105
1/44/106,106
1/44/107,107
1/44/108,108
1/44/109,109
1/44/110,110
1/44/111,111
1/44/112,112
1/44/113,113
1/44/114,114
1/44/115,115
1/44/116,116
1/44/117,117
1/44/118,118
1/44/119,119
1/44/120,120
1/44/121,121
1/44/122,122
1/44/123,123
1/44/124,124
1/44/125,125
1/44/126,126
1/44/127,127
1/45/0,0
1/45/1,1
1/45/2,2
1/45/3,3
1/45/4,4
1/45/5,5
1/45/6,6
1/45/7,7
1/45/8,8
1/45/9,9
1/45/10,10
1/45/11,11
1/45/12,12
1/45/13,13
1/45/14,14
1/45/15,15
1/45/16,16
1/45/17,17
1/45/18,18
1/45/19,19
1/45/20,20
1/45/21,21
1/45/22,22
1/45/23,23
1/45/24,24
1/45/25,25
1/45/26,26
1/45/27,27
1/45/28,28
1/45/29,29
1/45/30,30
1/45/31,31
1/45/32,32
1/45/33,33
1/45/34,34
1/45/35,35
1/45/36,36
1/45/37,37
1/45/38,38
1/45/39,39
1/45/40,40
1/45/41,41
1/45/42,42
1/45/43,43
1/45/44,44
1/45/45,45
1/45/46,46
1/45/47,47
1/45/48,48
1/45/49,49
1/45/50,50
1/45/51,51
1/45/52,52
1/45/53,53
1/45/54,54
1/45/55,55
1/45/56,56
1/45/57,57
1/45/58,58
1/45/59,59
1/45/60,60
1/45/61,61
1/45/62,62
1/45/63,63
1/45/64,64
1/45/65,65
1/45/66,66
1/45/67,67
1/45/68,68
1/45/69,69
1/45/71,71
1/45/72,72
1/45/73,73
1/45/74,74
1/45/75,75
1/45/76,76
1/45/77,77
1/45/78,78
1/45/79,79
1/45/80,80
1/45/81,81
1/45/82,82
1/45/83,83
1/45/84,84
1/45/85,85
1/45/86,86
1/45/87,87
1/45/88,88
1/45/89,89
1/45/90,90
1/45/91,91
1/45/92,92
1/45/93,93
1/45/94,94
1/45/95,95
1/45/96,96
1/45/97,97
1/45/98,98
1/45/99,99
1/45/100,100
1/45/101,101
1/45/102,102
1/45/103,103
1/45/104,104
1/45/105,105
1/45/106,106
1/45/107,107
1/45/108,108
1/45/109,109
1/45/110,110
1/45/111,111
1/45/112,112
1/45/113,113
1/45/114,114
1/45/115,115
1/45/116,116
1/45/117,117
1/45/118,118
1/45/119,119
1/45/120,120
1/45/121,121
1/45/122,122
1/45/123,123
1/45/127,127
1/46/0,0
1/46/1,1
1/46/2,2
1/46/3,3
1/46/4,4
1/46/5,5
1/46/6,6
1/46/7,7
1/46/8,8
1/46/9,9
1/46/10,10
1/46/11,11
1/46/12,12
1/46/13,13
1/46/14,14
1/46/15,15
1/46/16,16
1/46/17,17
1/46/18,18
1/46/19,19
1/46/20,20
1/46/21,21
1/46/22,22
1/46/23,23
1/46/24,24
1/46/25,25
1/46/26,26
1/46/27,27
1/46/28,28
1/46/29,29
1/46/30,30
1/46/31,31
1/46/32,32
1/46/33,33
1/46/34,34
1/46/35,35
1/46/36,36
1/46/37,37
1/46/38,38
1/46/39,39
1/46/40,40
1/46/41,41
1/46/42,42
1/46/43,43
1/46/44,44
1/46/45,45
1/46/46,46
1/46/47,47
1/46/48,48
1/46/49,49
1/46/50,50
1/46/51,51
1/46/52,52
1/46/53,53
1/46/54,54
1/46/55,55
1/46/56,56
1/99/12,12
1/99/13,13
1/99/14,14
1/99/15,15
1/99/16,16
1/99/17,17
1/99/18,18
1/99/19,19
0/0,----Elvaan F Offhand----
1/112/125,125
1/112/126,126
1/112/127,127
1/113/0,0
1/113/1,1
1/113/2,2
1/113/3,3
1/113/4,4
1/113/5,5
1/113/6,6
1/113/7,7
1/113/8,8
1/113/9,9
1/113/10,10
1/113/11,11
1/113/12,12
1/113/13,13
1/113/14,14
1/113/15,15
1/113/16,16
1/113/17,17
1/113/18,18
1/113/19,19
1/113/20,20
1/113/21,21
1/113/22,22
1/113/23,23
1/113/24,24
1/113/25,25
1/113/26,26
1/113/27,27
1/113/28,28
1/113/29,29
1/113/30,30
1/113/31,31
1/113/32,32
1/113/33,33
1/113/34,34
1/113/35,35
1/113/36,36
1/113/37,37
1/113/38,38
1/113/39,39
1/113/40,40
1/113/41,41
1/113/42,42
1/113/43,43
1/113/44,44
1/113/45,45
1/113/46,46
1/113/47,47
1/113/48,48
1/113/49,49
1/113/50,50
1/113/51,51
1/113/52,52
