0/0,----Elvaan M Head----
1/37/53,53
1/37/54,54
1/37/55,55
1/37/56,56
1/37/57,57
1/37/58,58
1/37/59,59
1/37/60,60
1/37/61,61
1/37/62,62
1/37/63,63
1/37/64,64
1/37/65,65
1/37/66,66
1/37/67,67
1/37/68,68
1/37/69,69
1/37/70,70
1/37/71,71
1/37/72,72
1/37/73,73
1/37/74,74
1/37/75,75
1/37/76,76
1/37/77,77
1/37/78,78
1/37/79,79
1/37/80,80
1/37/81,81
1/37/82,82
1/93/71,71
1/93/72,72
1/93/73,73
1/93/74,74
1/93/75,75
1/93/76,76
1/96/9,9
1/96/10,10
1/96/11,11
1/96/12,12
1/96/13,13
1/98/89,89
1/98/90,90
1/98/91,91
1/98/92,92
0/0,----Elvaan M Body----
1/37/83,83
1/37/84,84
1/37/85,85
1/37/86,86
1/37/87,87
1/37/88,88
1/37/89,89
1/37/90,90
1/37/91,91
1/37/92,92
1/37/93,93
1/37/94,94
1/37/95,95
1/37/96,96
1/37/97,97
1/37/98,98
1/37/99,99
1/37/100,100
1/37/101,101
1/37/102,102
1/37/103,103
1/37/104,104
1/37/105,105
1/37/106,106
1/37/107,107
1/37/108,108
1/37/109,109
1/37/110,110
1/37/111,111
1/37/112,112
1/37/113,113
1/37/114,114
1/37/115,115
1/37/116,116
1/37/117,117
1/37/118,118
1/37/119,119
1/37/120,120
1/37/121,121
1/37/122,122
1/37/123,123
1/37/124,124
1/37/125,125
1/37/126,126
1/93/77,77
1/93/78,78
1/93/79,79
1/93/80,80
1/93/81,81
1/93/82,82
1/93/83,83
1/93/84,84
1/93/85,85
1/93/86,86
1/93/87,87
1/96/14,14
1/96/15,15
1/96/16,16
1/96/17,17
1/96/18,18
1/98/93,93
1/98/94,94
1/98/95,95
1/98/96,96
0/0,----Elvaan M Hands----
1/37/127,127
1/38/0,0
1/38/1,1
1/38/2,2
1/38/3,3
1/38/4,4
1/38/5,5
1/38/6,6
1/38/7,7
1/38/8,8
1/38/9,9
1/38/10,10
1/38/11,11
1/38/12,12
1/38/13,13
1/38/14,14
1/38/15,15
1/38/16,16
1/38/17,17
1/38/18,18
1/38/19,19
1/38/20,20
1/38/21,21
1/38/22,22
1/38/23,23
1/38/24,24
1/38/25,25
1/38/26,26
1/38/27,27
1/38/28,28
1/38/29,29
1/93/88,88
1/93/89,89
1/93/90,90
1/93/91,91
1/93/92,92
1/93/93,93
1/96/19,19
1/96/20,20
