0/0,----Galka Head----
1/56/81,81
1/56/82,82
1/56/83,83
1/56/84,84
1/56/85,85
1/56/86,86
1/56/87,87
1/56/88,88
1/56/89,89
1/56/90,90
1/56/91,91
1/56/92,92
1/56/93,93
1/56/94,94
1/56/95,95
1/56/96,96
1/56/97,97
1/56/98,98
1/56/99,99
1/56/100,100
1/56/101,101
1/56/102,102
1/56/103,103
1/56/104,104
1/56/105,105
1/56/106,106
1/56/107,107
1/56/108,108
1/56/109,109
1/56/110,110
1/94/83,83
1/94/84,84
1/94/85,85
1/94/86,86
1/94/87,87
1/94/88,88
1/96/109,109
1/96/110,110
1/96/111,111
1/96/112,112
1/96/113,113
1/99/89,89
1/99/90,90
1/99/91,91
1/99/92,92
0/0,----Galka Body----
1/56/111,111
1/56/112,112
1/56/113,113
1/56/114,114
1/56/115,115
1/56/116,116
1/56/117,117
1/56/118,118
1/56/119,119
1/56/120,120
1/56/121,121
1/56/122,122
1/56/123,123
1/56/124,124
1/56/125,125
1/56/126,126
1/56/127,127
1/57/0,0
1/57/1,1
1/57/2,2
1/57/3,3
1/57/4,4
1/57/5,5
1/57/6,6
1/57/7,7
1/57/8,8
1/57/9,9
1/57/10,10
1/57/11,11
1/57/12,12
1/57/13,13
1/57/14,14
1/57/15,15
1/57/16,16
1/57/17,17
1/57/18,18
1/57/19,19
1/57/20,20
1/57/21,21
1/57/22,22
1/57/23,23
1/57/24,24
1/57/25,25
1/57/26,26
1/94/89,89
1/94/90,90
1/94/91,91
1/94/92,92
1/94/93,93
1/94/94,94
1/94/95,95
1/94/96,96
1/94/97,97
1/94/98,98
1/94/99,99
1/96/114,114
1/96/115,115
1/96/116,116
1/96/117,117
1/96/118,118
1/99/93,93
1/99/94,94
1/99/95,95
1/99/96,96
0/0,----Galka Hands----
1/57/27,27
1/57/28,28
1/57/29,29
1/57/30,30
1/57/31,31
1/57/32,32
1/57/33,33
1/57/34,34
1/57/35,35
1/57/36,36
1/57/37,37
1/57/38,38
1/57/39,39
1/57/40,40
1/57/41,41
1/57/42,42
1/57/43,43
1/57/44,44
1/57/45,45
1/57/46,46
1/57/47,47
1/57/48,48
1/57/49,49
1/57/50,50
1/57/51,51
1/57/52,52
1/57/53,53
1/57/54,54
1/57/55,55
1/57/56,56
1/57/57,57
1/94/100,100
1/94/101,101
1/94/102,102
1/94/103,103
1/94/104,104
1/94/105,105
1/96/119,119
1/96/120,120
1/96/121,121
1/96/122,122
1/96/123,123
1/99/97,97
1/99/98,98
1/99/99,99
1/99/100,100
0/0,----Galka Legs----
1/57/58,58
1/57/59,59
1/57/60,60
1/57/61,61
1/57/62,62
1/57/63,63
1/57/64,64
1/57/65,65
1/57/66,66
1/57/67,67
1/57/68,68
1/57/69,69
1/57/70,70
1/57/71,71
1/57/72,72
1/57/73,73
1/57/74,74
1/57/75,75
1/57/76,76
1/57/77,77
1/57/78,78
1/57/79,79
1/57/80,80
1/57/81,81
1/57/82,82
1/57/83,83
1/57/84,84
1/57/85,85
1/57/86,86
1/57/87,87
1/57/88,88
1/94/106,106
1/94/107,107
1/94/108,108
1/94/109,109
1/94/110,110
1/94/111,111
1/96/124,124
1/96/125,125
1/96/126,126
1/96/127,127
1/97/0,0
1/99/101,101
1/99/102,102
1/99/103,103
1/99/104,104
0/0,----Galka Feet----
1/57/89,89
1/57/90,90
1/57/91,91
1/57/92,92
1/57/93,93
1/57/94,94
1/57/95,95
1/57/96,96
1/57/97,97
1/57/98,98
1/57/99,99
1/57/100,100
1/57/101,101
1/57/102,102
1/57/103,103
1/57/104,104
1/57/105,105
1/57/106,106
1/57/107,107
1/57/108,108
1/57/109,109
1/57/110,110
1/57/111,111
1/57/112,112
1/57/113,113
1/57/114,114
1/57/115,115
1/57/116,116
1/57/117,117
1/57/118,118
1/57/119,119
1/94/112,112
1/94/113,113
1/94/114,114
1/94/115,115
1/94/116,116
1/94/117,117
1/97/1,1
1/97/2,2
1/97/3,3
1/97/4,4
1/97/5,5
1/99/105,105
1/99/106,106
1/99/107,107
1/99/108,108
0/0,----Galka Weapons----
1/57/121,121
1/57/122,122
1/57/123,123
1/57/124,124
1/57/125,125
1/57/126,126
1/57/127,127
1/58/0,0
1/58/1,1
1/58/2,2
1/58/3,3
1/58/4,4
1/58/5,5
1/58/6,6
1/58/7,7
1/58/8,8
1/58/9,9
1/58/10,10
1/58/11,11
1/58/12,12
1/58/13,13
1/58/14,14
1/58/15,15
1/58/16,16
1/58/17,17
1/58/18,18
1/58/19,19
1/58/20,20
1/58/21,21
1/58/22,22
1/58/23,23
1/58/24,24
1/58/25,25
1/58/26,26
1/58/27,27
1/58/28,28
1/58/29,29
1/58/30,30
1/58/31,31
1/58/32,32
1/58/33,33
1/58/34,34
1/58/35,35
1/58/36,36
1/58/37,37
1/58/38,38
1/58/39,39
1/58/40,40
1/58/41,41
1/58/42,42
1/58/43,43
1/58/44,44
1/58/45,45
1/58/46,46
1/58/47,47
1/58/48,48
1/58/49,49
1/58/50,50
1/58/51,51
1/58/52,52
1/58/53,53
1/58/54,54
1/58/55,55
1/58/56,56
1/58/57,57
1/58/58,58
1/58/59,59
1/58/60,60
1/58/61,61
1/58/62,62
1/58/63,63
1/58/64,64
1/58/65,65
1/58/66,66
1/58/67,67
1/58/68,68
1/58/69,69
1/58/70,70
1/58/71,71
1/58/72,72
1/58/73,73
1/58/74,74
1/58/75,75
1/58/76,76
1/58/77,77
1/58/78,78
1/58/79,79
1/58/80,80
1/58/81,81
1/58/82,82
1/58/83,83
1/58/84,84
1/58/85,85
1/58/86,86
1/58/87,87
1/58/88,88
1/58/89,89
1/58/90,90
1/58/91,91
1/58/92,92
1/58/93,93
1/58/94,94
1/58/95,95
1/58/96,96
1/58/97,97
1/58/98,98
1/58/99,99
1/58/100,100
1/58/101,101
1/58/102,102
1/58/103,103
1/58/104,104
1/58/105,105
1/58/106,106
1/58/107,107
1/58/108,108
1/58/109,109
1/58/110,110
1/58/111,111
1/58/112,112
1/58/113,113
1/58/114,114
1/58/115,115
1/58/116,116
1/58/117,117
1/58/118,118
1/58/119,119
1/58/120,120
1/58/121,121
1/58/122,122
1/58/123,123
1/58/124,124
1/58/125,125
1/58/126,126
1/58/127,127
1/59/0,0
1/59/1,1
1/59/2,2
1/59/3,3
1/59/4,4
1/59/5,5
1/59/6,6
1/59/7,7
1/59/8,8
1/59/9,9
1/59/10,10
1/59/11,11
1/59/12,12
1/59/13,13
1/59/14,14
1/59/15,15
1/59/16,16
1/59/17,17
1/59/18,18
1/59/19,19
1/59/20,20
1/59/21,21
1/59/22,22
1/59/23,23
1/59/24,24
1/59/25,25
1/59/26,26
1/59/27,27
1/59/28,28
1/59/29,29
1/59/30,30
1/59/31,31
1/59/32,32
1/59/33,33
1/59/34,34
1/59/35,35
1/59/36,36
1/59/37,37
1/59/38,38
1/59/39,39
1/59/40,40
1/59/41,41
1/59/42,42
1/59/43,43
1/59/44,44
1/59/45,45
1/59/46,46
1/59/47,47
1/59/48,48
1/59/49,49
1/59/50,50
1/59/51,51
1/59/52,52
1/59/53,53
1/59/54,54
1/59/55,55
1/59/56,56
1/59/57,57
1/59/58,58
1/59/59,59
1/59/60,60
1/59/61,61
1/59/62,62
1/59/63,63
1/59/64,64
1/59/65,65
1/59/66,66
1/59/67,67
1/59/68,68
1/59/69,69
1/59/70,70
1/59/71,71
1/59/72,72
1/59/73,73
1/59/74,74
1/59/75,75
1/59/76,76
1/59/77,77
1/59/78,78
1/59/79,79
1/59/80,80
1/59/81,81
1/59/82,82
1/59/83,83
1/59/84,84
1/59/85,85
1/59/86,86
1/59/87,87
1/59/88,88
1/59/89,89
1/59/90,90
1/59/91,91
1/59/92,92
1/59/93,93
1/59/94,94
1/59/95,95
1/59/96,96
1/59/97,97
1/59/98,98
1/59/99,99
1/59/100,100
1/59/101,101
1/59/102,102
1/59/103,103
1/59/104,104
1/59/105,105
1/59/106,106
1/59/107,107
1/59/108,108
1/59/109,109
1/59/110,110
1/59/111,111
1/59/112,112
1/59/113,113
1/59/114,114
1/59/115,115
1/59/116,116
1/59/117,117
1/59/118,118
1/59/119,119
1/59/120,120
1/59/121,121
1/59/122,122
1/59/123,123
1/59/124,124
1/59/126,126
1/59/127,127
1/60/0,0
1/60/1,1
1/60/2,2
1/60/3,3
1/60/4,4
1/60/5,5
1/60/6,6
1/60/7,7
1/60/8,8
1/60/9,9
1/60/10,10
1/60/11,11
1/60/12,12
1/60/13,13
1/60/14,14
1/60/15,15
1/60/16,16
1/60/17,17
1/60/18,18
1/60/19,19
1/60/20,20
1/60/21,21
1/60/22,22
1/60/23,23
1/60/24,24
1/60/25,25
1/60/26,26
1/60/27,27
1/60/28,28
1/60/29,29
1/60/30,30
1/60/31,31
1/60/32,32
1/60/33,33
1/60/34,34
1/60/35,35
1/60/36,36
1/60/37,37
1/60/38,38
1/60/39,39
1/60/40,40
1/60/41,41
1/60/42,42
1/60/43,43
1/60/44,44
1/60/45,45
1/60/46,46
1/60/47,47
1/60/48,48
1/60/49,49
1/60/50,50
1/60/54,54
1/60/55,55
1/60/56,56
1/60/57,57
1/60/58,58
1/60/59,59
1/60/60,60
1/60/61,61
1/60/62,62
1/60/63,63
1/60/64,64
1/60/65,65
1/60/66,66
1/60/67,67
1/60/68,68
1/60/69,69
1/60/70,70
1/60/71,71
1/60/72,72
1/60/73,73
1/60/74,74
1/60/75,75
1/60/76,76
1/60/77,77
1/60/78,78
1/60/79,79
1/60/80,80
1/60/81,81
1/60/82,82
1/60/83,83
1/60/84,84
1/60/85,85
1/60/86,86
1/60/87,87
1/60/88,88
1/60/89,89
1/60/90,90
1/60/91,91
1/60/92,92
1/60/93,93
1/60/94,94
1/60/95,95
1/60/96,96
1/60/97,97
1/60/98,98
1/60/99,99
1/60/100,100
1/60/101,101
1/60/102,102
1/60/103,103
1/60/104,104
1/60/105,105
1/60/106,106
1/60/107,107
1/60/108,108
1/60/109,109
1/60/110,110
1/60/111,111
1/99/109,109
1/99/110,110
1/99/111,111
1/99/112,112
1/99/113,113
1/99/114,114
1/99/115,115
1/99/116,116
0/0,----Galka Offhand----
1/116/126,126
1/116/127,127
1/117/0,0
1/117/1,1
1/117/2,2
1/117/3,3
1/117/4,4
1/117/5,5
1/117/6,6
1/117/7,7
1/117/8,8
1/117/9,9
1/117/10,10
1/117/11,11
1/117/12,12
1/117/13,13
1/117/14,14
1/117/15,15
1/117/16,16
1/117/17,17
1/117/18,18
1/117/19,19
1/117/20,20
1/117/21,21
1/117/22,22
1/117/23,23
1/117/24,24
1/117/25,25
1/117/26,26
1/117/27,27
1/117/28,28
1/117/29,29
1/117/30,30
1/117/31,31
1/117/32,32
1/117/33,33
1/117/34,34
1/117/35,35
1/117/36,36
1/117/37,37
1/117/38,38
1/117/39,39
1/117/40,40
1/117/41,41
1/117/42,42
1/117/43,43
1/117/44,44
1/117/45,45
1/117/46,46
1/117/47,47
1/117/48,48
1/117/49,49
1/117/50,50
1/117/51,51
1/117/52,52
1/117/53,53
1/117/54,54
1/117/55,55
1/117/56,56
1/117/57,57
1/117/58,58
1/117/59,59
1/117/60,60
1/117/61,61
1/117/62,62
1/117/63,63
1/117/64,64
1/117/65,65
1/117/66,66
1/117/67,67
1/117/68,68
1/117/69,69
1/117/70,70
1/117/71,71
1/117/72,72
1/117/73,73
1/117/74,74
1/117/75,75
1/117/76,76
1/117/77,77
1/117/78,78
1/117/79,79
1/117/80,80
1/117/81,81
1/117/82,82
1/117/83,83
