0/0,----Hume F Head----
1/32/81,81
1/32/82,82
1/32/83,83
1/32/84,84
1/32/85,85
1/32/86,86
1/32/87,87
1/32/88,88
1/32/89,89
1/32/90,90
1/32/91,91
1/32/92,92
1/32/93,93
1/32/94,94
1/32/95,95
1/32/96,96
1/32/97,97
1/32/98,98
1/32/99,99
1/32/100,100
1/32/101,101
1/32/102,102
1/32/103,103
1/32/104,104
1/32/105,105
1/32/106,106
1/32/107,107
1/32/108,108
1/32/109,109
1/32/110,110
1/93/35,35
1/93/36,36
1/93/37,37
1/93/38,38
1/93/39,39
1/93/40,40
1/95/112,112
1/95/113,113
1/95/114,114
1/95/115,115
1/95/116,116
1/98/58,58
1/98/59,59
1/98/60,60
1/98/61,61
0/0,----Hume F Body----
1/32/111,111
1/32/112,112
1/32/113,113
1/32/114,114
1/32/115,115
1/32/116,116
1/32/117,117
1/32/118,118
1/32/119,119
1/32/120,120
1/32/121,121
1/32/122,122
1/32/123,123
1/32/124,124
1/32/125,125
1/32/126,126
1/32/127,127
1/33/0,0
1/33/1,1
1/33/2,2
1/33/3,3
1/33/4,4
1/33/5,5
1/33/6,6
1/33/7,7
1/33/8,8
1/33/9,9
1/33/10,10
1/33/11,11
1/33/12,12
1/33/13,13
1/33/14,14
1/33/15,15
1/33/16,16
1/33/17,17
1/33/18,18
1/33/19,19
1/33/20,20
1/33/21,21
1/33/22,22
1/33/23,23
1/33/24,24
1/33/25,25
1/33/26,26
1/33/27,27
1/93/41,41
1/93/42,42
1/93/43,43
1/93/44,44
1/93/45,45
1/93/46,46
1/93/47,47
1/93/48,48
1/93/49,49
1/93/50,50
1/93/51,51
1/95/117,117
1/95/118,118
1/95/119,119
1/95/120,120
1/95/121,121
1/98/62,62
1/98/63,63
1/98/64,64
1/98/65,65
0/0,----Hume F Hands----
1/33/28,28
1/33/29,29
1/33/30,30
1/33/31,31
1/33/32,32
1/33/33,33
1/33/34,34
1/33/35,35
1/33/36,36
1/33/37,37
1/33/38,38
1/33/39,39
1/33/40,40
1/33/41,41
1/33/42,42
1/33/43,43
1/33/44,44
1/33/45,45
1/33/46,46
1/33/47,47
1/33/48,48
1/33/49,49
1/33/50,50
1/33/51,51
1/33/52,52
1/33/53,53
1/33/54,54
1/33/55,55
1/33/56,56
1/33/57,57
1/33/58,58
1/33/59,59
1/93/52,52
1/93/53,53
1/93/54,54
1/93/55,55
1/93/56,56
1/93/57,57
1/95/122,122
1/95/123,123
1/95/124,124
1/95/125,125
1/95/126,126
1/98/66,66
1/98/67,67
1/98/68,68
1/98/69,69
0/0,----Hume F Legs----
1/33/60,60
1/33/61,61
1/33/62,62
1/33/63,63
1/33/64,64
1/33/65,65
1/33/66,66
1/33/67,67
1/33/68,68
1/33/69,69
1/33/70,70
1/33/71,71
1/33/72,72
1/33/73,73
1/33/74,74
1/33/75,75
1/33/76,76
1/33/77,77
1/33/78,78
1/33/79,79
1/33/80,80
1/33/81,81
1/33/82,82
1/33/83,83
1/33/84,84
1/33/85,85
1/33/86,86
1/33/87,87
1/33/88,88
1/33/89,89
1/33/90,90
1/33/91,91
1/93/58,58
1/93/59,59
1/93/60,60
1/93/61,61
1/93/62,62
1/93/63,63
1/95/127,127
1/96/0,0
1/96/1,1
1/96/2,2
1/96/3,3
1/98/70,70
1/98/71,71
1/98/72,72
1/98/73,73
0/0,----Hume F Feet----
1/33/92,92
1/33/93,93
1/33/94,94
1/33/95,95
1/33/96,96
1/33/97,97
1/33/98,98
1/33/99,99
1/33/100,100
1/33/101,101
1/33/102,102
1/33/103,103
1/33/104,104
1/33/105,105
1/33/106,106
1/33/107,107
1/33/108,108
1/33/109,109
1/33/110,110
1/33/111,111
1/33/112,112
1/33/113,113
1/33/114,114
1/33/115,115
1/33/116,116
1/33/117,117
1/33/118,118
1/33/119,119
1/33/120,120
1/33/121,121
1/33/122,122
1/33/123,123
1/93/64,64
1/93/65,65
1/93/66,66
1/93/67,67
1/93/68,68
1/93/69,69
1/96/4,4
1/96/5,5
1/96/6,6
1/96/7,7
1/96/8,8
1/98/74,74
1/98/75,75
1/98/76,76
1/98/77,77
0/0,----Hume F Weapon----
1/33/125,125
1/33/126,126
1/33/127,127
1/34/0,0
1/34/1,1
1/34/2,2
1/34/3,3
1/34/4,4
1/34/5,5
1/34/6,6
1/34/7,7
1/34/8,8
1/34/9,9
1/34/10,10
1/34/12,12
1/34/13,13
1/34/14,14
1/34/15,15
1/34/16,16
1/34/17,17
1/34/18,18
1/34/19,19
1/34/20,20
1/34/21,21
1/34/22,22
1/34/23,23
1/34/24,24
1/34/25,25
1/34/26,26
1/34/27,27
1/34/28,28
1/34/29,29
1/34/30,30
1/34/31,31
1/34/32,32
1/34/33,33
1/34/34,34
1/34/35,35
1/34/36,36
1/34/37,37
1/34/38,38
1/34/39,39
1/34/40,40
1/34/41,41
1/34/42,42
1/34/43,43
1/34/44,44
1/34/45,45
1/34/46,46
1/34/47,47
1/34/48,48
1/34/49,49
1/34/50,50
1/34/51,51
1/34/52,52
1/34/53,53
1/34/54,54
1/34/55,55
1/34/56,56
1/34/57,57
1/34/58,58
1/34/59,59
1/34/60,60
1/34/61,61
1/34/62,62
1/34/63,63
1/34/64,64
1/34/65,65
1/34/66,66
1/34/67,67
1/34/68,68
1/34/69,69
1/34/70,70
1/34/71,71
1/34/72,72
1/34/73,73
1/34/74,74
1/34/75,75
1/34/76,76
1/34/77,77
1/34/78,78
1/34/79,79
1/34/80,80
1/34/81,81
1/34/82,82
1/34/83,83
1/34/84,84
1/34/85,85
1/34/86,86
1/34/87,87
1/34/88,88
1/34/89,89
1/34/90,90
1/34/91,91
1/34/92,92
1/34/93,93
1/34/94,94
1/34/95,95
1/34/96,96
1/34/97,97
1/34/98,98
1/34/99,99
1/34/100,100
1/34/101,101
1/34/102,102
1/34/103,103
1/34/104,104
1/34/105,105
1/34/106,106
1/34/107,107
1/34/108,108
1/34/109,109
1/34/110,110
1/34/111,111
1/34/112,112
1/34/113,113
1/34/114,114
1/34/115,115
1/34/116,116
1/34/117,117
1/34/118,118
1/34/119,119
1/34/120,120
1/34/121,121
1/34/122,122
1/34/123,123
1/34/124,124
1/34/125,125
1/34/126,126
1/34/127,127
1/35/0,0
1/35/1,1
1/35/2,2
1/35/3,3
1/35/4,4
1/35/5,5
1/35/6,6
1/35/7,7
1/35/8,8
1/35/9,9
1/35/10,10
1/35/11,11
1/35/12,12
1/35/13,13
1/35/14,14
1/35/15,15
1/35/16,16
1/35/17,17
1/35/18,18
1/35/19,19
1/35/20,20
1/35/21,21
1/35/22,22
1/35/23,23
1/35/24,24
1/35/25,25
1/35/26,26
1/35/27,27
1/35/28,28
1/35/29,29
1/35/30,30
1/35/31,31
1/35/32,32
1/35/33,33
1/35/34,34
1/35/35,35
1/35/36,36
1/35/37,37
1/35/38,38
1/35/39,39
1/35/40,40
1/35/41,41
1/35/42,42
1/35/43,43
1/35/44,44
1/35/45,45
1/35/46,46
1/35/47,47
1/35/48,48
1/35/49,49
1/35/50,50
1/35/51,51
1/35/52,52
1/35/53,53
1/35/54,54
1/35/55,55
1/35/56,56
1/35/57,57
1/35/58,58
1/35/59,59
1/35/60,60
1/35/61,61
1/35/62,62
1/35/63,63
1/35/64,64
1/35/65,65
1/35/66,66
1/35/67,67
1/35/68,68
1/35/69,69
1/35/70,70
1/35/71,71
1/35/72,72
1/35/73,73
1/35/74,74
1/35/75,75
1/35/76,76
1/35/77,77
1/35/78,78
1/35/79,79
1/35/80,80
1/35/81,81
1/35/82,82
1/35/83,83
1/35/84,84
1/35/85,85
1/35/86,86
1/35/87,87
1/35/88,88
1/35/89,89
1/35/90,90
1/35/91,91
1/35/92,92
1/35/93,93
1/35/94,94
1/35/95,95
1/35/96,96
1/35/97,97
1/35/98,98
1/35/99,99
1/35/100,100
1/35/101,101
1/35/102,102
1/35/103,103
1/35/104,104
1/35/105,105
1/35/106,106
1/35/107,107
1/35/108,108
1/35/109,109
1/35/110,110
1/35/111,111
1/35/112,112
1/35/113,113
1/35/114,114
1/35/115,115
1/35/116,116
1/35/117,117
1/35/118,118
1/35/119,119
1/35/120,120
1/35/121,121
1/35/122,122
1/35/123,123
1/35/124,124
1/35/125,125
1/35/126,126
1/35/127,127
1/36/0,0
1/36/1,1
1/36/3,3
1/36/4,4
1/36/5,5
1/36/6,6
1/36/7,7
1/36/8,8
1/36/9,9
1/36/10,10
1/36/11,11
1/36/12,12
1/36/13,13
1/36/14,14
1/36/15,15
1/36/16,16
1/36/17,17
1/36/18,18
1/36/19,19
1/36/20,20
1/36/21,21
1/36/22,22
1/36/23,23
1/36/24,24
1/36/25,25
1/36/26,26
1/36/27,27
1/36/28,28
1/36/29,29
1/36/30,30
1/36/31,31
1/36/32,32
1/36/33,33
1/36/34,34
1/36/35,35
1/36/36,36
1/36/37,37
1/36/38,38
1/36/39,39
1/36/40,40
1/36/41,41
1/36/42,42
1/36/43,43
1/36/44,44
1/36/45,45
1/36/46,46
1/36/47,47
1/36/48,48
1/36/49,49
1/36/50,50
1/36/51,51
1/36/52,52
1/36/53,53
1/36/54,54
1/36/55,55
1/36/59,59
1/36/60,60
1/36/61,61
1/36/62,62
1/36/63,63
1/36/64,64
1/36/65,65
1/36/66,66
1/36/67,67
1/36/68,68
1/36/69,69
1/36/70,70
1/36/71,71
1/36/72,72
1/36/73,73
1/36/74,74
1/36/75,75
1/36/76,76
1/36/77,77
1/36/78,78
1/36/79,79
1/36/80,80
1/36/81,81
1/36/82,82
1/36/83,83
1/36/84,84
1/36/85,85
1/36/86,86
1/36/87,87
1/36/88,88
1/36/89,89
1/36/90,90
1/36/91,91
1/36/92,92
1/36/93,93
1/36/94,94
1/36/95,95
1/36/96,96
1/36/97,97
1/36/98,98
1/36/99,99
1/36/100,100
1/36/101,101
1/36/102,102
1/36/103,103
1/36/104,104
1/36/105,105
1/36/106,106
1/36/107,107
1/36/108,108
1/36/109,109
1/36/110,110
1/36/111,111
1/36/112,112
1/36/113,113
1/36/114,114
1/36/115,115
1/36/116,116
1/93/70,70
1/98/78,78
1/98/79,79
1/98/80,80
1/98/81,81
1/98/82,82
1/98/83,83
1/98/84,84
1/98/85,85
0/0,----Hume F Offhand----
1/110/43,43
1/110/44,44
1/110/45,45
1/110/46,46
1/110/47,47
1/110/48,48
1/110/49,49
1/110/50,50
1/110/51,51
1/110/52,52
1/110/53,53
1/110/54,54
1/110/55,55
1/110/56,56
1/110/57,57
1/110/58,58
1/110/59,59
1/110/60,60
1/110/61,61
1/110/62,62
1/110/63,63
1/110/64,64
1/110/65,65
1/110/66,66
1/110/67,67
1/110/68,68
1/110/69,69
1/110/70,70
1/110/71,71
1/110/72,72
1/110/73,73
1/110/74,74
1/110/75,75
1/110/76,76
1/110/77,77
1/110/78,78
1/110/79,79
1/110/80,80
1/110/81,81
1/110/82,82
1/110/83,83
1/110/84,84
1/110/85,85
1/110/86,86
1/110/87,87
1/110/88,88
1/110/89,89
1/110/90,90
1/110/91,91
1/110/92,92
1/110/93,93
1/110/94,94
1/110/95,95
1/110/96,96
1/110/97,97
1/110/98,98
1/110/99,99
1/110/100,100
1/110/101,101
1/110/102,102
1/110/103,103
1/110/104,104
1/110/105,105
1/110/106,106
1/110/107,107
1/110/108,108
1/110/109,109
1/110/110,110
1/110/111,111
1/110/112,112
1/110/113,113
1/110/114,114
1/110/115,115
1/110/116,116
1/110/117,117
1/110/118,118
1/110/119,119
1/110/120,120
1/110/121,121
1/110/122,122
1/110/123,123
1/110/124,124
1/110/125,125
1/110/126,126
1/110/127,127
1/111/0,0
1/111/1,1
1/111/2,2
1/111/3,3
1/111/4,4
1/111/5,5
1/111/6,6
1/111/7,7
1/111/8,8
1/111/9,9
1/111/10,10
1/111/11,11
1/111/12,12
1/111/13,13
1/111/14,14
1/111/15,15
1/111/16,16
1/111/17,17
1/111/18,18
1/111/19,19
1/111/20,20
1/111/21,21
1/111/22,22
1/111/23,23
1/111/24,24
1/111/25,25
1/111/26,26
1/111/27,27
1/111/28,28
1/111/29,29
1/111/30,30
1/111/31,31
1/111/32,32
1/111/33,33
1/111/34,34
1/111/35,35
1/111/36,36
1/111/37,37
1/111/38,38
1/111/39,39
1/111/40,40
1/111/41,41
1/111/42,42
1/111/43,43
1/111/44,44
1/111/45,45
1/111/46,46
1/111/47,47
1/111/48,48
1/111/49,49
1/111/50,50
1/111/51,51
1/111/52,52
1/111/53,53
1/111/54,54
1/111/55,55
1/111/56,56
1/111/57,57
1/111/58,58
1/111/59,59
1/111/60,60
1/111/61,61
1/111/62,62
1/111/63,63
1/111/64,64
1/111/65,65
