0/0,----Mithra Head----
1/51/111,111
1/51/112,112
1/51/113,113
1/51/114,114
1/51/115,115
1/51/116,116
1/51/117,117
1/51/118,118
1/51/119,119
1/51/120,120
1/51/121,121
1/51/122,122
1/51/123,123
1/51/124,124
1/51/125,125
1/51/126,126
1/51/127,127
1/52/0,0
1/52/1,1
1/52/2,2
1/52/3,3
1/52/4,4
1/52/5,5
1/52/6,6
1/52/7,7
1/52/8,8
1/52/9,9
1/52/10,10
1/52/11,11
1/52/12,12
1/94/48,48
1/94/49,49
1/94/50,50
1/94/51,51
1/94/52,52
1/94/53,53
1/96/84
1/96/85
1/96/86
1/96/87
1/96/88
1/99/58,58
1/99/59,59
1/99/60,60
1/99/61,61
0/0,----Mithra Body----
1/52/13,13
1/52/14,14
1/52/15,15
1/52/16,16
1/52/17,17
1/52/18,18
1/52/19,19
1/52/20,20
1/52/21,21
1/52/22,22
1/52/23,23
1/52/24,24
1/52/25,25
1/52/26,26
1/52/27,27
1/52/28,28
1/52/29,29
1/52/30,30
1/52/31,31
1/52/32,32
1/52/33,33
1/52/34,34
1/52/35,35
1/52/36,36
1/52/37,37
1/52/38,38
1/52/39,39
1/52/40,40
1/52/41,41
1/52/42,42
1/52/43,43
1/52/44,44
1/52/45,45
1/52/46,46
1/52/47,47
1/52/48,48
1/52/49,49
1/52/50,50
1/52/51,51
1/52/52,52
1/52/53,53
1/52/54,54
1/52/55,55
1/52/56,56
1/94/54,54
1/94/55,55
1/94/56,56
1/94/57,57
1/94/58,58
1/94/59,59
1/94/60,60
1/94/61,61
1/94/62,62
1/94/63,63
1/94/64,64
1/96/89
1/96/90
1/96/91
1/96/92
1/96/93
1/99/62,62
1/99/63,63
1/99/64,64
1/99/65,65
0/0,----Mithra Hands----
1/52/57,57
1/52/58,58
1/52/59,59
1/52/60,60
1/52/61,61
1/52/62,62
1/52/63,63
1/52/64,64
1/52/65,65
1/52/66,66
1/52/67,67
1/52/68,68
1/52/69,69
1/52/70,70
1/52/71,71
1/52/72,72
1/52/73,73
1/52/74,74
1/52/75,75
1/52/76,76
1/52/77,77
1/52/78,78
1/52/79,79
1/52/80,80
1/52/81,81
1/52/82,82
1/52/83,83
1/52/84,84
1/52/85,85
1/52/86,86
1/52/87,87
1/94/65,65
1/94/66,66
1/94/67,67
1/94/68,68
1/94/69,69
1/94/70,70
1/96/94
1/96/95
1/96/96
1/96/97
1/96/98
1/99/66,66
1/99/67,67
1/99/68,68
1/99/69,69
0/0,----Mithra Legs----
1/52/88,88
1/52/89,89
1/52/90,90
1/52/91,91
1/52/92,92
1/52/93,93
1/52/94,94
1/52/95,95
1/52/96,96
1/52/97,97
1/52/98,98
1/52/99,99
1/52/100,100
1/52/101,101
1/52/102,102
1/52/103,103
1/52/104,104
1/52/105,105
1/52/106,106
1/52/107,107
1/52/108,108
1/52/109,109
1/52/110,110
1/52/111,111
1/52/112,112
1/52/113,113
1/52/114,114
1/52/115,115
1/52/116,116
1/52/117,117
1/52/118,118
1/94/71,71
1/94/72,72
1/94/73,73
1/94/74,74
1/94/75,75
1/94/76,76
1/96/99
1/96/100
1/96/101
1/96/102
1/96/103
1/99/70,70
1/99/71,71
1/99/72,72
1/99/73,73
0/0,----Mithra Feet----
1/52/119,119
1/52/120,120
1/52/121,121
1/52/122,122
1/52/123,123
1/52/124,124
1/52/125,125
1/52/126,126
1/52/127,127
1/53/0,0
1/53/1,1
1/53/2,2
1/53/3,3
1/53/4,4
1/53/5,5
1/53/6,6
1/53/7,7
1/53/8,8
1/53/9,9
1/53/10,10
1/53/11,11
1/53/12,12
1/53/13,13
1/53/14,14
1/53/15,15
1/53/16,16
1/53/17,17
1/53/18,18
1/53/19,19
1/53/20,20
1/53/21,21
1/94/77,77
1/94/78,78
1/94/79,79
1/94/80,80
1/94/81,81
1/94/82,82
1/96/104
1/96/105
1/96/106
1/96/107
1/96/108
1/99/74,74
1/99/75,75
1/99/76,76
1/99/77,77
0/0,----Mithra Weapons----
1/53/23,23
1/53/24,24
1/53/25,25
1/53/26,26
1/53/27,27
1/53/28,28
1/53/29,29
1/53/30,30
1/53/31,31
1/53/32,32
1/53/33,33
1/53/34,34
1/53/35,35
1/53/36,36
1/53/37,37
1/53/38,38
1/53/39,39
1/53/40,40
1/53/41,41
1/53/42,42
1/53/43,43
1/53/44,44
1/53/45,45
1/53/46,46
1/53/47,47
1/53/48,48
1/53/49,49
1/53/50,50
1/53/51,51
1/53/52,52
1/53/53,53
1/53/54,54
1/53/55,55
1/53/56,56
1/53/57,57
1/53/58,58
1/53/59,59
1/53/60,60
1/53/61,61
1/53/62,62
1/53/63,63
1/53/64,64
1/53/65,65
1/53/66,66
1/53/67,67
1/53/68,68
1/53/69,69
1/53/70,70
1/53/71,71
1/53/72,72
1/53/73,73
1/53/74,74
1/53/75,75
1/53/76,76
1/53/77,77
1/53/78,78
1/53/79,79
1/53/80,80
1/53/81,81
1/53/82,82
1/53/83,83
1/53/84,84
1/53/85,85
1/53/86,86
1/53/87,87
1/53/88,88
1/53/89,89
1/53/90,90
1/53/91,91
1/53/92,92
1/53/93,93
1/53/94,94
1/53/95,95
1/53/96,96
1/53/97,97
1/53/98,98
1/53/99,99
1/53/100,100
1/53/101,101
1/53/102,102
1/53/103,103
1/53/104,104
1/53/105,105
1/53/106,106
1/53/107,107
1/53/108,108
1/53/109,109
1/53/110,110
1/53/111,111
1/53/112,112
1/53/113,113
1/53/114,114
1/53/115,115
1/53/116,116
1/53/117,117
1/53/118,118
1/53/119,119
1/53/120,120
1/53/121,121
1/53/122,122
1/53/123,123
1/53/124,124
1/53/125,125
1/53/126,126
1/53/127,127
1/54/0,0
1/54/1,1
1/54/2,2
1/54/3,3
1/54/4,4
1/54/5,5
1/54/6,6
1/54/7,7
1/54/8,8
