4/1/121-122,Alexander Projection
4/2/25-27,Archaic Mirror
9/2/89,Arciela's Bonnet
9/2/109,Arciela's Skirt
4/1/119,Astral Candescence
1/320/102,Atomos Statue
1/136/9-11;1/154/107,Ballista Tower
9/2/110-111,Balmora's Pole
9/2/85,Banner
4/10/7-8;4/13/8-9,Barricade
4/1/123;9/2/88,Bed
5/8/98-99,Biouvac
1/311/33;9/2/56,Boat
5/8/65,Bolts
1/202/45-46;1/326/57;9/2/82;9/2/100,Book
5/8/81-84,Campaign Banners
5/8/85;5/8/87;5/8/91;5/8/100,Campaign Banner
1/218/118,Cardian Statue
1/191/4-5,Cavernous Maw
9/2/58,Chair
1/202/47,Chess Board
1/8/113;1/97/9;1/220/40;1/92/102;1/97/11;1/174/64;1/97/10;1/184/21;1/220/41;1/241/92-93;1/286/103,Chest
1/184/39-42,Chocobo Racing
1/240/111;5/8/92-93,Conflux
1/218/91-92,Crate
6/0/12,Crystal
1/92/103;1/99/54;1/50/86,Doll
1/123/11;1/359/26,Eald'narche's Throne
1/168/21,Egg
4/2/62,Empress Crown
9/2/51,Fence
1/217/32;1/230/105;1/308/91,Floating Book
1/161/3,Furnace
1/311/39-40,Fruit Basket
9/2/90-94,Gargouille Statue
9/2/74,Geomancers Helmet
9/2/63-64,Goblet
5/8/76,Helm
1/326/64;2/1/44,Ifrit Statue
1/7/109-110,Iron Fence
9/2/52-54;9/2/77;9/2/78;9/2/86-87,Laire Reive
4/1/107;4/1/109,Lamp
5/8/43,Lantern
1/216/7,Letter
3/5/110-111,Magicite
1/240/56,Map Table
1/218/108;5/8/103-104;5/8/106-111;5/8/114,Meeble Burrow
9/2/80,Mineral
9/2/103-104,Misc
5/8/44,Mortarboard
1/142/101,Open Book
5/8/42,Orb
4/1/118;9/2/70,Painting
1/216/8;9/2/72,Parchment
9/2/57,Partition
9/2/84,Pendant
1/3/30,Platform
9/2/47-48;9/2/76;9/2/101,Plant
4/1/124,Portable Chest
1/154/110-111,Promathia's Chains
3/5/27,Promyvion Structure
9/2/59,Raft
9/2/95-96;9/2/98-99;9/2/102;9/2/106,Ra'Kaznar Structures
9/2/49,Rock
2/16/14,Shadow Lord's Head
1/7/95-98,Signet Banner
1/216/83;1/220/81-83;1/222/33;1/227/45-46;1/257/66-70;1/263/75;1/301/96-98;1/304/111;1/304/113;1/306/117,Statue
1/321/64,Stool
1/188/70,Synergy Furnace
1/337/33,Tenzen's Sword
9/2/78,Table
9/2/50,Tent
4/2/19,Tongue
9/2/60,Tree
1/261/45-46,Wedding Misc
1/288/107;9/2/55;9/2/61,Waypoint
1/249/63;1/352/116-117;3/5/24-25;3/8/2;3/9/34;4/2/59;4/2/65;4/7/127;4/8/0-14;4/8/22-31;4/8/40-54;4/8/64-69;4/8/79-87;4/8/103-107;4/9/2;4/11/118-123;4/12/5-10;4/12/20-28;4/12/44-48;4/12/63;5/8/34;5/8/53;9/2/73;9/2/83;9/2/107-108,Weapon
3/8/29,Wyrmking Binding
