1/277/5;1/335/83;1/353/34,Belladonna
1/152/123-124,Flytrap
1/5/40-41;1/291/56;5/8/20,Funguar
1/4/125-126,Goobbue
1/293/49;9/0/58-59,Leafkin
1/4/127;1/95/68;1/258/47;1/302/91;1/311/0;1/353/119;6/0/13,Mandragora 1
1/250/2,Mandragora 2
1/5/0;1/241/87,Mandragora 3
1/241/88;1/267/111,Mandragora 4
1/361/115,Mandragora 5
1/5/42;1/249/68;1/320/34;1/333/29;1/5/43;1/291/54;1/326/116;1/361/70;4/7/121;5/9/36;1/328/86;1/241/84,Morbol
1/288/85,Panopt
1/207/9;1/267/85;5/5/96,Rafflesia
1/5/38-39;1/265/102,Sabotender
1/5/48-49,Sapling
1/324/52;9/0/78;9/1/104;1/328/80,Snapweed
1/5/46-47;1/97/12;1/148/68-69;1/150/13;1/306/51;1/306/68,Treant
1/311/32;9/1/77,Vine
