0/0,----Tarutaru Head----
1/46/115,115
1/46/116,116
1/46/117,117
1/46/118,118
1/46/119,119
1/46/120,120
1/46/121,121
1/46/122,122
1/46/123,123
1/46/124,124
1/46/125,125
1/46/126,126
1/46/127,127
1/47/0,0
1/47/1,1
1/47/2,2
1/47/3,3
1/47/4,4
1/47/5,5
1/47/6,6
1/47/7,7
1/47/8,8
1/47/9,9
1/47/10,10
1/47/11,11
1/47/12,12
1/47/13,13
1/47/14,14
1/47/15,15
1/47/16,16
1/94/13,13
1/94/14,14
1/94/15,15
1/94/16,16
1/94/17,17
1/94/18,18
1/96/59,59
1/96/60,60
1/96/61,61
1/96/62,62
1/96/63,63
1/99/26,26
1/99/27,27
1/99/28,28
1/99/29,29
0/0,----Tarutaru Body----
1/47/17,17
1/47/18,18
1/47/19,19
1/47/20,20
1/47/21,21
1/47/22,22
1/47/23,23
1/47/24,24
1/47/25,25
1/47/26,26
1/47/27,27
1/47/28,28
1/47/29,29
1/47/30,30
1/47/31,31
1/47/32,32
1/47/33,33
1/47/34,34
1/47/35,35
1/47/36,36
1/47/37,37
1/47/38,38
1/47/39,39
1/47/40,40
1/47/41,41
1/47/42,42
1/47/43,43
1/47/44,44
1/47/45,45
1/47/46,46
1/47/47,47
1/47/48,48
1/47/49,49
1/47/50,50
1/47/51,51
1/47/52,52
1/47/53,53
1/47/54,54
1/47/55,55
1/47/56,56
1/47/57,57
1/47/58,58
1/47/59,59
1/47/60,60
1/94/19,19
1/94/20,20
1/94/21,21
1/94/22,22
1/94/23,23
1/94/24,24
1/94/25,25
1/94/26,26
1/94/27,27
1/94/28,28
1/94/29,29
1/96/64,64
1/96/65,65
1/96/66,66
1/96/67,67
1/96/68,68
1/99/30,30
1/99/31,31
1/99/32,32
1/99/33,33
0/0,----Tarutaru Hands----
1/47/61,61
1/47/62,62
1/47/63,63
1/47/64,64
1/47/65,65
1/47/66,66
1/47/67,67
1/47/68,68
1/47/69,69
1/47/70,70
1/47/71,71
1/47/72,72
1/47/73,73
1/47/74,74
1/47/75,75
1/47/76,76
1/47/77,77
1/47/78,78
1/47/79,79
1/47/80,80
1/47/81,81
1/47/82,82
1/47/83,83
1/47/84,84
1/47/85,85
1/47/86,86
1/47/87,87
1/47/88,88
1/47/89,89
1/47/90,90
1/47/91,91
1/94/30,30
1/94/31,31
1/94/32,32
1/94/33,33
1/94/34,34
1/94/35,35
1/96/69,69
1/96/70,70
1/96/71,71
1/96/72,72
1/96/73,73
1/99/34,34
1/99/35,35
1/99/36,36
1/99/37,37
0/0,----Tarutaru Legs----
1/47/92,92
1/47/93,93
1/47/94,94
1/47/95,95
1/47/96,96
1/47/97,97
1/47/98,98
1/47/99,99
1/47/100,100
1/47/101,101
1/47/102,102
1/47/103,103
1/47/104,104
1/47/105,105
1/47/106,106
1/47/107,107
1/47/108,108
1/47/109,109
1/47/110,110
1/47/111,111
1/47/112,112
1/47/113,113
1/47/114,114
1/47/115,115
1/47/116,116
1/47/117,117
1/47/118,118
1/47/119,119
1/47/120,120
1/47/121,121
1/47/122,122
1/94/36,36
1/94/37,37
1/94/38,38
1/94/39,39
1/94/40,40
1/94/41,41
1/96/74,74
1/96/75,75
1/96/76,76
1/96/77,77
1/96/78,78
1/99/38,38
1/99/39,39
1/99/40,40
1/99/41,41
0/0,----Tarutaru Feet----
1/47/123,123
1/47/124,124
1/47/125,125
1/47/126,126
1/47/127,127
1/48/0,0
1/48/1,1
1/48/2,2
1/48/3,3
1/48/4,4
1/48/5,5
1/48/6,6
1/48/7,7
1/48/8,8
1/48/9,9
1/48/10,10
1/48/11,11
1/48/12,12
1/48/13,13
1/48/14,14
1/48/15,15
1/48/16,16
1/48/17,17
1/48/18,18
1/48/19,19
1/48/20,20
1/48/21,21
1/48/22,22
1/48/23,23
1/48/24,24
1/48/25,25
1/94/42,42
1/94/43,43
1/94/44,44
1/94/45,45
1/94/46,46
1/94/47,47
1/96/79,79
1/96/80,80
1/96/81,81
1/96/82,82
1/96/83,83
1/99/42,42
1/99/43,43
1/99/44,44
1/99/45,45
0/0,----Tarutaru Weapons----
1/48/27,27
1/48/28,28
1/48/29,29
1/48/30,30
1/48/31,31
1/48/32,32
1/48/33,33
1/48/34,34
1/48/35,35
1/48/36,36
1/48/37,37
1/48/38,38
1/48/39,39
1/48/40,40
1/48/41,41
1/48/42,42
1/48/43,43
1/48/44,44
1/48/45,45
1/48/46,46
1/48/47,47
1/48/48,48
1/48/49,49
1/48/50,50
1/48/51,51
1/48/52,52
1/48/53,53
1/48/54,54
1/48/55,55
1/48/56,56
1/48/57,57
1/48/58,58
1/48/59,59
1/48/60,60
1/48/61,61
1/48/62,62
1/48/63,63
1/48/64,64
1/48/65,65
1/48/66,66
1/48/67,67
1/48/68,68
1/48/69,69
1/48/70,70
1/48/71,71
1/48/72,72
1/48/73,73
1/48/74,74
1/48/75,75
1/48/76,76
1/48/77,77
1/48/78,78
1/48/79,79
1/48/80,80
1/48/81,81
1/48/82,82
1/48/83,83
1/48/84,84
1/48/85,85
1/48/86,86
1/48/87,87
1/48/88,88
1/48/89,89
1/48/90,90
1/48/91,91
1/48/92,92
1/48/93,93
1/48/94,94
1/48/95,95
1/48/96,96
1/48/97,97
1/48/98,98
1/48/99,99
1/48/100,100
1/48/101,101
1/48/102,102
1/48/103,103
1/48/104,104
1/48/105,105
1/48/106,106
1/48/107,107
1/48/108,108
1/48/109,109
1/48/110,110
1/48/111,111
1/48/112,112
1/48/113,113
1/48/114,114
1/48/115,115
1/48/116,116
1/48/117,117
1/48/118,118
1/48/119,119
1/48/120,120
1/48/121,121
1/48/122,122
1/48/123,123
1/48/124,124
1/48/125,125
1/48/126,126
1/48/127,127
1/49/0,0
1/49/1,1
1/49/2,2
1/49/3,3
1/49/4,4
1/49/5,5
1/49/6,6
1/49/7,7
1/49/8,8
1/49/9,9
1/49/10,10
1/49/11,11
1/49/12,12
1/49/13,13
1/49/14,14
1/49/15,15
1/49/16,16
1/49/17,17
1/49/18,18
1/49/19,19
1/49/20,20
1/49/21,21
1/49/22,22
1/49/23,23
1/49/24,24
1/49/25,25
1/49/26,26
1/49/27,27
1/49/28,28
1/49/29,29
1/49/30,30
1/49/31,31
1/49/32,32
1/49/33,33
1/49/34,34
1/49/35,35
1/49/36,36
1/49/37,37
1/49/38,38
1/49/39,39
1/49/40,40
1/49/41,41
1/49/42,42
1/49/43,43
1/49/44,44
1/49/45,45
1/49/46,46
1/49/47,47
1/49/48,48
1/49/49,49
1/49/50,50
1/49/51,51
1/49/52,52
1/49/53,53
1/49/54,54
1/49/55,55
1/49/56,56
1/49/57,57
1/49/58,58
1/49/59,59
1/49/60,60
1/49/61,61
1/49/62,62
1/49/63,63
1/49/64,64
1/49/65,65
1/49/66,66
1/49/67,67
1/49/68,68
1/49/69,69
1/49/70,70
1/49/71,71
1/49/72,72
1/49/73,73
1/49/74,74
1/49/75,75
1/49/76,76
1/49/77,77
1/49/78,78
1/49/79,79
1/49/80,80
1/49/81,81
1/49/82,82
1/49/83,83
1/49/84,84
1/49/85,85
1/49/86,86
1/49/87,87
1/49/88,88
1/49/89,89
1/49/90,90
1/49/91,91
1/49/92,92
1/49/93,93
1/49/94,94
1/49/95,95
1/49/96,96
1/49/97,97
1/49/98,98
1/49/99,99
1/49/100,100
1/49/101,101
1/49/102,102
1/49/103,103
1/49/104,104
1/49/105,105
1/49/106,106
1/49/107,107
1/49/108,108
1/49/109,109
1/49/110,110
1/49/111,111
1/49/112,112
1/49/113,113
1/49/114,114
1/49/115,115
1/49/116,116
1/49/117,117
1/49/118,118
1/49/119,119
1/49/120,120
1/49/121,121
1/49/122,122
1/49/123,123
1/49/124,124
1/49/125,125
1/49/126,126
1/49/127,127
1/50/0,0
1/50/1,1
1/50/2,2
1/50/3,3
1/50/4,4
1/50/5,5
1/50/6,6
1/50/7,7
1/50/8,8
1/50/9,9
1/50/10,10
1/50/11,11
1/50/12,12
1/50/13,13
1/50/14,14
1/50/15,15
1/50/16,16
1/50/17,17
1/50/18,18
1/50/19,19
1/50/20,20
1/50/21,21
1/50/22,22
1/50/23,23
1/50/24,24
1/50/25,25
1/50/26,26
1/50/27,27
1/50/28,28
1/50/29,29
1/50/30,30
1/50/32,32
1/50/33,33
1/50/34,34
1/50/35,35
1/50/36,36
1/50/37,37
1/50/38,38
1/50/39,39
1/50/40,40
1/50/41,41
1/50/42,42
1/50/43,43
1/50/44,44
1/50/45,45
1/50/46,46
1/50/47,47
1/50/48,48
1/50/49,49
1/50/50,50
1/50/51,51
1/50/52,52
1/50/53,53
1/50/54,54
1/50/55,55
1/50/56,56
1/50/57,57
1/50/58,58
1/50/59,59
1/50/60,60
1/50/61,61
1/50/62,62
1/50/63,63
1/50/64,64
1/50/65,65
1/50/66,66
1/50/67,67
1/50/68,68
1/50/69,69
1/50/70,70
1/50/71,71
1/50/72,72
1/50/73,73
1/50/74,74
1/50/75,75
1/50/76,76
1/50/77,77
1/50/78,78
1/50/79,79
1/50/80,80
1/50/81,81
1/50/82,82
1/50/83,83
1/50/84,84
1/50/85,85
1/50/89,89
1/50/90,90
1/50/91,91
1/50/92,92
1/50/93,93
1/50/94,94
1/50/95,95
1/50/96,96
1/50/97,97
1/50/98,98
1/50/99,99
1/50/100,100
1/50/101,101
1/50/102,102
1/50/103,103
1/50/104,104
1/50/105,105
1/50/106,106
1/50/107,107
1/50/108,108
1/50/109,109
1/50/110,110
1/50/111,111
1/50/112,112
1/50/113,113
1/50/114,114
1/50/115,115
1/50/116,116
1/50/117,117
1/50/118,118
1/50/119,119
1/50/120,120
1/50/121,121
1/50/122,122
1/50/123,123
1/50/124,124
1/50/125,125
1/50/126,126
1/50/127,127
1/51/0,0
1/51/1,1
1/51/2,2
1/51/3,3
1/51/4,4
1/51/5,5
1/51/6,6
1/51/7,7
1/51/8,8
1/51/9,9
1/51/10,10
1/51/11,11
1/51/12,12
1/51/13,13
1/51/14,14
1/51/15,15
1/51/16,16
1/51/17,17
1/51/18,18
1/99/46,46
1/99/47,47
1/99/48,48
1/99/49,49
1/99/50,50
1/99/51,51
1/99/52,52
1/99/53,53
0/0,----Tarutaru Offhand----
1/114/38,38
1/114/39,39
1/114/40,40
1/114/41,41
1/114/42,42
1/114/43,43
1/114/44,44
1/114/45,45
1/114/46,46
1/114/47,47
1/114/48,48
1/114/49,49
1/114/50,50
1/114/51,51
1/114/52,52
1/114/53,53
1/114/54,54
1/114/55,55
1/114/56,56
1/114/57,57
1/114/58,58
1/114/59,59
1/114/60,60
1/114/61,61
1/114/62,62
1/114/63,63
1/114/64,64
1/114/65,65
1/114/66,66
1/114/67,67
1/114/68,68
1/114/69,69
1/114/70,70
1/114/71,71
1/114/72,72
1/114/73,73
1/114/74,74
1/114/75,75
1/114/76,76
1/114/77,77
1/114/78,78
1/114/79,79
1/114/80,80
1/114/81,81
1/114/82,82
1/114/83,83
1/114/84,84
1/114/85,85
1/114/86,86
1/114/87,87
1/114/88,88
1/114/89,89
1/114/90,90
1/114/91,91
1/114/92,92
1/114/93,93
1/114/94,94
1/114/95,95
1/114/96,96
1/114/97,97
1/114/98,98
1/114/99,99
1/114/100,100
1/114/101,101
1/114/102,102
1/114/103,103
1/114/104,104
1/114/105,105
1/114/106,106
1/114/107,107
1/114/108,108
1/114/109,109
1/114/110,110
1/114/111,111
1/114/112,112
1/114/113,113
1/114/114,114
1/114/115,115
1/114/116,116
1/114/117,117
1/114/118,118
1/114/119,119
1/114/120,120
1/114/121,121
1/114/122,122
1/114/123,123
1/114/124,124
1/114/125,125
1/114/126,126
1/114/127,127
1/115/0,0
1/115/1,1
1/115/2,2
1/115/3,3
1/115/4,4
1/115/5,5
1/115/6,6
1/115/7,7
1/115/8,8
1/115/9,9
1/115/10,10
1/115/11,11
1/115/12,12
1/115/13,13
1/115/14,14
1/115/15,15
1/115/16,16
1/115/17,17
1/115/18,18
1/115/19,19
1/115/20,20
1/115/21,21
1/115/22,22
1/115/23,23
1/115/24,24
1/115/25,25
1/115/26,26
1/115/27,27
1/115/28,28
1/115/29,29
1/115/30,30
1/115/31,31
1/115/32,32
1/115/33,33
1/115/34,34
1/115/35,35
1/115/36,36
1/115/37,37
1/115/38,38
1/115/39,39
1/115/40,40
1/115/41,41
1/115/42,42
1/115/43,43
1/115/44,44
1/115/45,45
1/115/46,46
1/115/47,47
1/115/48,48
1/115/49,49
1/115/50,50
1/115/51,51
1/115/52,52
1/115/53,53
1/115/54,54
1/115/55,55
1/115/56,56
1/115/57,57
1/115/58,58
1/115/59,59
1/115/60,60
