1/224/52;1/288/111;1/238/91;1/268/8,Corpselight
1/184/119;1/250/72,Corse
1/5/9-10;4/7/116,Doomed
9/1/5-6,Dullahan
1/6/32-35;1/6/40-43;1/6/48,Fomor 1
1/6/36-39;1/6/49,Fomor 2
1/6/44-47,Fomor 3
1/6/50-53,Fomor 4
1/5/36-37;1/249/51,Ghost
1/5/33-34,Hound
1/263/4;1/265/108;1/349/11;1/268/4,Naraka
1/249/62;1/249/72;4/9/42;4/12/91;1/277/10,Qutrub
1/5/29-32;1/6/62-65;1/9/56-79;1/9/88-103;1/9/120-127;1/10/0-7;1/258/94;1/291/55;4/9/18-25;4/9/27;4/12/70-77,Skeleton 1
1/6/54-61;1/6/66-69;1/9/80-87;1/9/104-119;1/320/80;4/9/28-37;4/12/78-86,Skeleton 2
1/266/68,Skeleton 4
1/272/105,Skeleton 5
1/239/69-70,Vampyr

