1/156/15;1/156/16;1/302/88;1/239/35;1/302/89,Antlion
1/4/111;1/172/70;1/4/112;1/286/81;1/328/82,Bee
1/5/54-55;1/267/125,Beetle
1/310/40;9/0/73-74,Chapuli
1/216/1;1/222/42;5/9/37-38,Chigoe
1/5/50-51;1/258/52;1/258/51;1/258/56,Crawler
1/156/17-18;1/328/87,Diremite
1/5/81-82,Fly
1/288/84;1/335/82,Giant Gnat
1/267/84;5/5/83,Gnat
1/265/107;1/349/10;1/268/5;1/277/9,Mantid
1/4/117-120;1/265/110;1/267/87,Scorpion
1/119/72-75,Spider
1/207/7;1/286/84;1/345/111,Ladybug
9/0/63-64;9/1/107,Twitherym
9/0/68,Twitherym 2
1/258/98;1/286/76,Wamoura
1/258/96-97;1/302/84,Wamouracampa
