@Battle
46/57-62;99/20-21,Battle
112/113-114,Dual Wield (Sub)
112/119-120,Dual Wield (Main)
@Emote
46/75-79;123/42;138/5-7,Emote
259/91;260/52-60,Job Emotes
@General
46/80,Logging
90/32,Chocobo
90/33,Fishing
123/40,Mining
123/41,Harvesting
143/56;143/71,Goldfish Scooping
197/88,Dancing
223/93-95,Bell Ringing
@Ability
82/105-106,Steal
82/107-108,Mug
82/109;95/32-34,Bash
104/15-29,Jump
168/38,Tomahawk
168/39,Angon
@Hand-to-Hand
82/40,Combo
82/41,Shoulder Tackle
82/42,One Inch Punch
82/43,Backhand Blow
82/44,Raging Fists
82/45,Spinning Attack
82/46,Howling Fist
103/107,Dragon Kick
103/108,Asuran Fists
140/96,Final Heaven
206/76,Ascetic's Fury
208/64,Stinging Pummel
243/11,Tornado Kick
255/92,Victory Smite
272/50,Shijin Spiral
@Dagger
82/47,Wasp Sting
82/48,Viper Bite
82/49,Shadowstitch
82/50,Gust Slash
82/51,Cyclone
82/52,Energy Steal
82/53,Energy Drain
82/54,Dancing Edge
103/109,Shark Bite
103/110,Evisceration
140/97,Mercy Stroke
208/65,Mandalic Stab
206/77,Mordant Rime
208/66,Pyrrhic Kleos
243/12,Aeolian Edge
257/114,Rudra's Storm
268/108,Exenterator
@Sword
82/31,Fast Blade
82/32,Burning Blade
82/33,Red Lotus Blade
82/36,Flat Blade
82/34,Shining Blade
82/35,Seraph Blade
82/37,Circle Blade
82/38,Spirits Within
82/39,Vorpal Blade
103/105,Swift Blade
103/106,Savage Blade
140/95,Knights of Round
208/62,Death Blossom
208/63,Atonement
206/75,Expiacion
240/23,Glory Slash
240/24,Uriel Blade
244/106,Sanguine Blade
255/96,Chant du Cygne
268/107,Requiescat
@Club
82/69,Shining Strike
82/70,Seraph Strike
82/71,Brainshaker
82/72,Starlight
82/73,Moonlight
82/74,Skullbreaker
82/75,True Strike
82/76,Judgment
103/115,Hexa Strike
103/116,Black Halo
140/100,Randgrith
206/79,Mystic Boon
243/14,Flash Nova
257/111,Dagan
269/80,Realmrazer
@Axe
82/55,Raging Axe
82/56,Smash Axe
82/57,Gale Axe
82/58,Avalanche Axe
82/59,Spinning Axe
82/60,Rampage
82/61,Calamity
103/111,Mistral Axe
103/112,Decimation
140/98,Onslaught
206/78,Primal Rend
244/103,Bora Axe
255/93,Cloudsplitter
269/111,Ruinator
@Katana
103/125,Blade: Rin
103/126,Blade: Retsu
103/127,Blade: Teki
104/0,Blade: To
104/1,Blade: Chi
104/2,Blade: Ei
104/3,Blade: Jin
104/4,Blade: Ten
104/5,Blade: Ku
140/105,Blade: Metsu
208/73,Blade: Kamu
