42/56,None
42/57,Leather Vest
42/58,Breastplate
42/59,Tunic
42/60,Shinobi Gi
42/61,Chainmail
42/62,Lizard Jerkin
42/63,Raptor Jerkin
42/64,Elvaan Bodice
42/65,Hara-Ate
42/66,Cloak
42/67,Silk Cloak
42/68,Royal Squire's Chainmail
42/69,Royal Knight's Chainmail
42/70,Padded Armor
42/71,Bronze Harness
42/72,Bone Harness
42/73,Kenpogi
42/74,Wool Robe
42/75,Tactician Magician's Coat
42/76,Robe
42/77,Doublet
42/78,Darksteel Cuirass
42/79,Gambison
42/80,Battle Jupon
42/81,Iron Musketeer's Cuirass
42/82,Centurion's Scale Mail
42/83,Gavial Mail
42/84,Scale Mail
42/85,Mythril Breastplate
42/86,Magna Bodice
42/87,Assault Breastplate
42/88,Cardinal Vest
42/89,Scorpion Harness
42/90,Demon's Harness
42/91,Lord's Cuirass
42/92,Jujitsu Gi
42/93,Royal Knight's Aketon
42/94,Aketon
42/95,Haubergeon
42/96,Byrnie
42/97,War Shinobi Gi
42/98,Earth Doublet
42/99,Brigandine
93/112,Justaucorps
93/113,Black Cloak
93/114,Vermillion Cloak
93/115,Blue Cotehardie
93/116,Black Cotehardie
93/117,Fighter's Lorica (WAR AF1)
93/118,Temple Cyclas (MNK AF1)
93/119,Healer's Briault (WHM AF1)
93/120,Wizard's Coat (BLM AF1)
93/121,Warlock's Tabard (RDM AF1)
93/122,Rogue's Vest (THF AF1)
96/39,Gallant Surcoat (PLD AF1)
96/40,Chaos Cuirass (DRK AF1)
96/41,Beast Jackcoat (BST AF1)
96/42,Choral Justaucorps (BRD AF1)
96/43,Hunter's Jerkin (RNG AF1)
98/124,Myochin Domaru (SAM AF1)
98/125,Ninja Chainmail (NIN AF1)
98/126,Drachen Mail (DRG AF1)
98/127,Evoker's Doublet (SMN AF1)
162/64,Magus Jubbah (BLU AF1)
162/65,Corsair's Frac (COR AF1)
162/66,Puppetry Tobe (PUP AF1)
198/62,Dancer's Casaque (DNC AF1)
198/63,Scholar's Gown (SCH AF1)
119/18,Tiger Jerkin
119/19,Iron Scale Mail
120/107,Steel Scale Mail
120/108,Coeurl Jerkin
120/109,Adaman Cuirass
120/110,Coral Harness
120/111,Noble's Tunic
120/112,Hauberk
120/113,Arhat's Gi
120/114,Dragon Mail
124/69,Rasetsu Samue
124/70,Crimson Scale Mail
124/71,Adaman Hauberk
124/72,Ogre Jerkin
124/73,Koenig Cuirass
125/52,War Aketon
126/87,Holy Breastplate
126/88,Yasha Samue
126/89,Kirin's Osode
126/90,Hecatomb Harness
126/91,Errant Houppelande
126/92,Fisherman's Tunica
126/93,Chocobo Jack Coat
126/94,Vagabond's Tunica
129/69,Field Tunica
129/70,Shura Togi
129/71,Dalmatica
129/72,Carapace Breastplate
129/73,Dusk Jerkin
129/74,Dragon Harness
