43/34,None
157/47,Invisible
43/35,Leather Highboots
43/36,Plate Leggings
43/37,Solea
43/38,Shinobi Kyahan
43/39,Greaves
43/40,Lizard Ledelsens
43/41,Raptor Ledelsens
43/42,Elvaan F Ledelsens
43/43,Sune-Ate
43/44,Shoes
43/45,Moccasins
43/46,Royal Squire's Sollerets
43/47,Royal Knight's Sollerets
43/48,Leggings
43/49,Bronze Leggings
43/50,Bone Leggings
43/51,Kyahan
43/52,Chestnut Sabots
43/53,Tactician Magician's Pigaches
43/54,Ash Clogs
43/55,Gaiters
43/56,Darksteel Sabatons
43/57,Socks
43/58,Battle Boots
43/59,Iron Musketeer's Sabatons
43/60,Centurion's Greaves
43/61,Gavial Greaves
43/62,Scale Greaves
43/63,Mythril Leggings
43/64,Magna F Ledelsens
94/7,Fighter's Calligae (WAR AF1)
94/8,Temple Hose (MNK AF1)
94/9,Healer's Duckbills (WHM AF1)
94/10,Wizard's Sabots (BLM AF1)
94/11,Warlock's Boots (RDM AF1)
94/12,Rogue's Poulaines (THF AF1)
96/54,Gallant Leggings (PLD AF1)
96/55,Chaos Sollerets (DRK AF1)
96/56,Beast Gaiters (BST AF1)
96/57,Choral Slippers (BRD AF1)
96/58,Hunter's Socks (RNG AF1)
99/8,Myochin Sune-Ate (SAM AF1)
99/9,Ninja Kyahan (NIN AF1)
99/10,Drachen Greaves (DRG AF1)
99/11,Evoker's Pigaches (SMN AF1)
162/73,Magus Charuqs (BLU AF1)
162/74,Corsair's Bottes (COR AF1)
162/75,Puppetry Babouches (PUP AF1)
198/68,Dancer's Shoes (DNC AF1)
198/69,Scholar's Loafers (SCH AF1)
119/24,Tiger Ledelsens
119/25,Iron Greaves
121/3,Steel Greaves
121/4,Coeurl Ledelsens
121/5,Adaman Sabatons
121/6,Coral Leggings
121/7,Noble's Pumps
121/8,Thick Sollerets
121/9,Arhat's Sune-Ate
121/10,Dragon Greaves
124/84,Rasetsu Sune-Ate
124/85,Crimson Greaves
124/86,Adaman Sollerets
124/87,Ogre Ledelsens
124/88,Koenig Schuhs
125/55,War Boots
126/109,Yasha Sune-Ate
126/110,Suzaku's Sune-Ate
126/111,Hecatomb Leggings
126/112,Errant Pigaches
126/113,Fisherman's Boots
126/114,Chocobo Boots
126/115,Vagabond's Boots
129/86,Field Boots
129/87,Shura Sune-Ate
129/88,Zenith Pumps
129/89,Dusk Ledelsens
129/90,Dragon Leggings
133/81,Warrior's Calligae (WAR AF2)
133/82,Melee Gaiters (MNK AF2)
133/83,Cleric's Duckbills (WHM AF2)
133/84,Sorcerer's Sabots (BLM AF2)
133/85,Duelist's Boots (RDM AF2)
133/86,Assassin's Poulaines (THF AF2)
133/87,Valor Leggings (PLD AF2)
133/88,Abyss Sollerets (DRK AF2)
133/89,Monster Gaiters (BST AF2)
133/90,Bard's Slippers (BRD AF2)
133/91,Scout's Socks (RNG AF2)
133/92,Saotome Sune-Ate (SAM AF2)
133/93,Koga Kyahan (NIN AF2)
133/94,Wyrm Greaves (DRG AF2)
133/95,Summoner's Pigaches (SMN AF2)
214/37,Mirage Charuqs (BLU AF2)
214/38,Commodore Bottes (COR AF2)
214/39,Pantin Babouches (PUP AF2)
218/1,Etoile Shoes (DNC AF2)
217/89,Argute Loafers (SCH AF2)
133/96,Austere Sabots
133/97,Opaline Boots
137/115,Waders
144/77,Hydra Spats
144/78,Shade Leggings
144/79,Garish Pumps
144/80,Seer's Pumps
144/81,Hydra Gaiters
144/82,Noct Gaiters
145/125,Bison Gamashes
145/126,Sha'ir Crackows
146/54,Barone Gambieras
146/93,Igqira Huaraches
148/27,Eisenschuhs
149/35,Lord's Sabatons
150/61,Hachiman Sune-Ate
150/62,Blessed Pumps
151/56,Wise Pigaches
153/27,Unicorn Leggings
153/64,Trader's Pigaches
154/71,Alumine Solerets
155/3,Black Sollerets
157/97,Nashira Crackows
158/38,Homam Gambieras
158/100,Trader's Pigaches (Black)
159/7,Crow Gaiters
153/123,Hydra Sollerets
160/75,Hydra Boots
163/41,Sipahi Boots
163/42,Jaridah Nails
166/36,Amir Boots
166/37,Pahluwan Crackows
166/38,Yigit Crackows
157/47,-for Elvaan Shorts-
174/94,Ares's Sollerets
174/95,Skadi's Jambeaux
175/126,Usukane Sune-Ate
175/127,Marduk's Crackows
176/0,Morrigan's Pigaches
183/1,Goliard Clogs
182/22,Denali Gamashes
183/0,Askar Gambieras
185/104,Shadow Sabatons
186/11,Shadow Clogs
196/124,Dream Boots
199/62,Cobra Unit Boots
200/96,Cobra Unit Sabots
201/34,Iron Ram Sollerets
199/5,Fourth Division Boots
199/4,Bastokan Armor
195/87,Karasutengu Kogake
196/74,San d'Orian Armor
157/47,-for Magna Shorts-
207/42,Hachiryu Sune-Ate
217/90,Noble Poulaines
219/72,Gothic Sabatons
236/103,Ebon Sabatons
236/104,Furia Sabatons
236/105,Ebur Sabatons
236/106,Ebon Greaves
236/107,Furia Greaves
236/108,Ebur Greaves
236/109,Ebon Sollerets
236/110,Furia Sollerets
236/111,Ebur Sollerets
236/112,Ebon Leggings
236/113,Furia Leggings
236/114,Ebur Leggings
228/112,Ebon Boots
228/113,Furia Boots
228/114,Ebur Boots
228/115,Ebon Socks
228/116,Furia Socks
228/117,Ebur Socks
228/118,Shikkoku Sune-ate
228/119,Shinku Sune-ate
228/120,Ginhaku Sune-ate
228/121,Ebon Gaiters
230/8,Furia Gaiters
230/9,Ebur Gaiters
233/49,Ebon Brogues
233/50,Furia Brogues
233/51,Ebur Brogues
233/52,Ebon Sabots
233/53,Furia Sabots
233/54,Ebur Sabots
233/55,Ebon Galoshes
233/56,Furia Galoshes
233/57,Ebur Galoshes
233/58,Ebon Clogs
233/59,Furia Clogs
233/60,Ebur Clogs
157/47,-for Dinner Hose-
240/79,Spritewarden's Sabatons
248/52,Serpentes Sabots
248/53,Praeda Sabatons
248/54,Augur's Gaiters
248/55,Perle Solerets
248/56,Teal Pigaches
248/57,Aurore Gaiters
241/42,Goetia Sabots (BLM AF3)
241/43,Creed Sabatons (PLD AF3)
244/25,Ravager's Calligae (WAR AF3)
244/26,Estoqueur's Houseeaux (RDM AF3)
252/66,Tantra Gaiters (MNK AF3)
252/67,Raider's Poulaines (THF AF3)
252/68,Bale Sollerets (DRK AF3)
252/69,Ferine Ocreae (BST AF3)
252/70,Aoidos' Cothurnes (BRD AF3)
252/71,Unkai Sune-Ate (SAM AF3)
252/72,Iga Kyahan (NIN AF3)
252/73,Lancer's Schynbalds (DRG AF3)
252/74,Mavi Basmak (BLU AF3)
252/75,Navarch's Bottes (COR AF3)
252/76,Cirque Scarpe (PUP AF3)
252/77,Savant's Loafers (SCH AF3)
254/37,Orison Duckbills (WHM AF3)
254/93,Charis Toeshoes (DNC AF3)
256/55,Sylvan Bottillons (RNG AF3)
