42/100,None
133/63, Invisible
42/101,Leather Gloves
42/102,Gauntlets
42/103,Mitts
42/104,Shinobi Tekko
42/105,Chain Mittens
42/106,Lizard Gloves
42/107,Raptor Gloves
42/108,Elvaan Gauntlets
42/109,Kote
42/110,Linen Mitts
42/111,Black Mitts
42/112,Royal Squire's Mufflers
42/113,Royal Knight's Mufflers
42/114,Iron Mittens
42/115,Bronze Mittens
42/116,Bone Mittens
42/117,Tekko
42/118,Wool Cuffs
42/119,Tactician Magician's Cuffs
42/120,Cuffs
42/121,Gloves
42/122,Darksteel Gauntlets
42/123,Bracers
42/124,Battle Bracers
42/125,Iron Musketeer's Gauntlets
42/126,Centurion's Finger Gauntlets
42/127,Gavial Finger Gauntlets
43/0,Scale Finger Gauntlets
43/1,Mythril Gauntlets
43/2,Magna Gauntlets
93/123,Fighter's Mufflers (WAR AF1)
93/124,Temple Gloves (MNK AF1)
93/125,Healer's Mitts (WHM AF1)
93/126,Wizard's Gloves (BLM AF1)
93/127,Warlock's Gloves (RDM AF1)
94/0,Rogue's Armlets (THF AF1)
96/44,Gallant Gauntlets (PLD AF1)
96/45,Chaos Gauntlets (DRK AF1)
96/46,Beast Gloves (BST AF1)
96/47,Choral Cuffs (BRD AF1)
96/48,Hunter's Bracers (RNG AF1)
99/0,Myochin Kote (SAM AF1)
99/1,Ninja Tekko (NIN AF1)
99/2,Drachen Finger Gauntlets (DRG AF1)
99/3,Evoker's Bracers (SMN AF1)
162/67,Magus Bazubands (BLU AF1)
162/68,Corsair's Gants (COR AF1)
162/69,Puppetry Dastanas (PUP AF1)
198/64,Dancer's Bangles (DNC AF1)
198/65,Scholar's Bracers (SCH AF1)
119/20,Tiger Gloves
119/21,Iron Finger Gauntlets
120/115,Steel Finger Gauntlets
120/116,Coeurl Gloves
120/117,Adaman Gauntlets
120/118,Coral Mittens
120/119,Noble's Mitts
120/120,Thick Mufflers
120/121,Arhat's Tekko
120/122,Dragon Finger Gauntlets
124/74,Rasetsu Tekko
124/75,Crimson Finger Gauntlets
124/76,Adaman Mufflers
124/77,Ogre Gloves
124/78,Koenig Handschuhs
125/53,War Gloves
126/95,Yasha Tekko
126/96,Seiryu's Kote
126/97,Hecatomb Mittens
126/98,Errant Cuffs
126/99,Fisherman's Gloves
126/100,Chocobo Gloves
126/101,Vagabond's Gloves
129/75,Field Gloves
129/76,Shura Kote
129/77,Zenith Mitts
129/78,Carapace Gauntlets
129/79,Dusk Gloves
129/80,Dragon Mittens
133/46,Warrior's Mufflers (WAR AF2)
133/47,Melee Gloves (MNK AF2)
133/48,Cleric's Mitts (WHM AF2)
133/49,Sorcerer's Gloves (BLM AF2)
133/50,Duelist's Gloves (RDM AF2)
133/51,Assassin's Armlets (THF AF2)
133/52,Valor Gauntlets (PLD AF2)
133/53,Abyss Gauntlets (DRK AF2)
133/54,Monster Gloves (BST AF2)
133/55,Bard's Cuffs (BRD AF2)
133/56,Scout's Bracers (RNG AF2)
133/57,Saotome Kote (SAM AF2)
133/58,Koga Tekko (NIN AF2)
133/59,Wyrm Finger Gauntlets (DRG AF2)
133/60,Summoner's Bracers (SMN AF2)
214/31,Mirage Bazubands (BLU AF2)
214/32,Commodore Gants (COR AF2)
214/33,Pantin Dastanas (PUP AF2)
217/127,Etoile Bangles (DNC AF2)
217/87,Argute Bracers (SCH AF2)
133/61,Scorpion Gauntlets
133/62,Austere Cuffs
133/63,-for Opaline Dress-
137/113,Carpenter's Gloves
137/114,Smithy's Mitts 
144/65,Hydra Mitts
144/66,Shade Mittens
144/67,Garish Mitts
144/68,Seer's Mitts
144/69,Hydra Gloves
144/70,Noct Gloves
145/121,Bison Wristbands
145/122,Sha'ir Gages
146/52,Barone Manopolas
146/91,Igqira Manillas
148/25,Eisenhentzes
149/33,Lord's Gauntlets
150/57,Hachiman Kote
150/58,Blessed Mitts
151/54,Wise Gloves
153/25,Unicorn Mittens
153/62,Trader's Cuffs
154/69,Alumine Moufles
155/1,Black Gadlings
157/95,Nashira Gages
158/36,Homam Manopolas
158/98,Trader's Cuffs (Black)
159/5,Crow Bracers
153/121,Hydra Moufles
160/73,Hydra Bracers
163/37,Sipahi Dastanas
163/38,Jaridah Bazubands
166/30,Amir Kolluks
166/31,Pahluwan Dastanas
166/32,Yigit Gages
133/63,-for Elvaan Top-
