43/3,None
157/47,Invisible
43/4,Leather Trousers
43/5,Cuisses
43/6,Slacks
43/7,Shinobi Hakama
43/8,Chain Hose
43/9,Lizard Trousers
43/10,Raptor Trousers
43/11,Elvaan F Chausses
43/12,Haidate
43/13,Linen Slacks
43/14,White Slacks
43/15,Royal Squire's Breeches
43/16,Royal Knight's Breeches
43/17,Iron Subligar
43/18,Bronze Subligar
43/19,Bone Subligar
43/20,Sitabaki
43/21,Wool Slops
43/22,Tactician Magician's Slops
43/23,Slops
43/24,Brais
43/25,Darksteel Cuisses
43/26,Hose
43/27,Battle Hose
43/28,Iron Musketeer's Cuisses
43/29,Centurion's Cuisses
43/30,Gavial Cuisses
43/31,Scale Cuisses
43/32,Mythril Cuisses
43/33,Magna F Chausses
94/1,Fighter's Cuisses (WAR AF1)
94/2,Temple Gaiters (MNK AF1)
94/3,Healer's Pantaloons (WHM AF1)
94/4,Wizard's Tonban (BLM AF1)
94/5,Warlock's Tights (RDM AF1)
94/6,Rogue's Culotte (THF AF1)
96/49,Gallant Breeches (PLD AF1)
96/50,Chaos Flanchard (DRK AF1)
96/51,Beast Trousers (BST AF1)
96/52,Choral Cannions (BRD AF1)
96/53,Hunter's Braccae (RNG AF1)
99/4,Myochin Haidate (SAM AF1)
99/5,Ninja Hakama (NIN AF1)
99/6,Drachen Brais (DRG AF1)
99/7,Evoker's Spats (SMN AF1)
162/70,Magus Shalwar (BLU AF1)
162/71,Corsair's Culotte (COR AF1)
162/72,Pup. Churidars (PUP AF1)
198/66,Dancer's Tights (DNC AF1)
198/67,Scholar's Pants (SCH AF1)
119/22,Tiger Trousers
119/23,Iron Cuisses
120/123,Steel Cuisses
120/124,Coeurl Trousers
120/125,Adaman Cuisses
120/126,Coral Subligar
120/127,Noble's Slacks
121/0,Thick Breeches
121/1,Arhat's Hakama
121/2,Dragon Cuisses
124/79,Rasetsu Hakama
124/80,Crimson Cuisses
124/81,Adaman Breeches
124/82,Ogre Trousers
124/83,Koenig Diechlings
125/54,War Brais
126/102,Yasha Hakama
126/103,Byakko's Haidate
126/104,Hecatomb Subligar
126/105,Errant Slops
126/106,Fisherman's Hose
126/107,Chocobo Hose
126/108,Vagabond's Hose
129/81,Field Hose
129/82,Shura Haidate
129/83,Zenith Slacks
