@None
43/65,None

@Hand
44/7,Avengers
44/8,Darksteel Katars
44/9,Katars
44/10,Jamadhars
44/11,Exocets
44/12,Darksteel Claws
44/13,Claws
44/14,Mythril Claws
44/15,Cermet Claws
44/16,Cesti
44/17,Lizard Cesti
44/18,Poison Cesti
44/19,Dst. Knuckles
44/20,Bronze Knuckles
44/21,Brass Knuckles
44/22,Metal Knuckles
44/23,Mythril Knuckles
44/24,Koenigs Knuckles
44/25,Diamond Knuckles
44/26,Manoples
44/27,Gold Patas
44/28,Patas
44/29,Bone Patas
44/30,Cat Baghnakhs
44/31,Brass Baghnakhs
44/32,Baghnakhs
44/33,Rune Baghnakhs
138/2,Spharai
273/97,Spharai (99)
149/43,Adargas
166/39,Sainti
169/118,Darksteel Sainti
171/68,Adaman Sainti
172/21,Black Adargas
173/70,Hades Sainti
205/18,Glanzfaust
273/96,Glanzfaust (99)
205/19,Kenkonken
273/95,Kenkonken (99)
210/51,Shenlong's Baghnakhs
242/1,Verethragna
273/94,Verethragna (99)
245/62,Afflictors
268/55,Girru
280/119,Blutkrallen
293/81,Tlalpoloani
303/47,Forefront Cesti
314/93,Worm Feelers
319/7,Ohrmazd
328/30,Blurred claws
328/31,Nibiru sainti
341/1,Denouements
342/108,Godhands
352/102,Aphelion Knuckles
355/70,Premium Mogti
356/0,Sagitta (su5)
359/7,Kaja Knuckles
360/18,Karambit

@Dagger
44/47,Valiant Knife
44/48,Darksteel Knife
44/49,Bronze Knife
44/50,Knife
44/51,Mythril Knife
44/52,Cermet Knife
44/53,Misericorde
44/54,Bronze Dagger
44/55,Brass Dagger
44/56,Dagger
44/57,Mythril Dagger
44/58,Darksteel Baselard
44/59,Baselard
44/60,Mythril Baselard
44/61,Darksteel Kukri
44/62,Kukri
44/63,Mythril Kukri
44/64,Cermet Kukri
44/65,Heart Snatcher
44/66,Parrying Knife
44/67,Combat Caster's Dagger
44/68,Kris
44/69,Triple Dagger
44/70,Bone Knife
99/19,Kard
137/116,Mandau
274/120,Mandau (99)
138/0,Raetic Kris
147/125,Harpe
163/117,Jambiya
172/20,Supernal Knife
173/29,Matron's Knife
175/9,Khimaira Jambiya
