37/83,None
157/46,Invisible
37/84,Leather Vest
37/85,Breastplate
37/86,Tunic
37/87,Shinobi Gi
37/88,Chainmail
37/89,Lizard Jerkin
37/90,Raptor Jerkin
37/91,Elvaan Jerkin
37/92,Hara-Ate
37/93,Cloak
37/94,Silk Cloak
37/95,Royal Squire's Chainmail
37/96,Royal Knight's Chainmail
37/97,Padded Armor
37/98,Bronze Harness
37/99,Bone Harness
37/100,Kenpogi
37/101,Wool Robe
37/102,Tactician Magician's Coat
37/103,Robe
37/104,Doublet
37/105,Darksteel Cuirass
37/106,Gambison
37/107,Battle Jupon
37/108,Iron Musketeer's Cuirass
37/109,Centurion's Scale Mail
37/110,Gavial Mail
37/111,Scale Mail
37/112,Mythril Breastplate
37/113,Magna Jerkin
37/114,Assault Breastplate
37/115,Cardinal Vest
37/116,Scorpion Harness
37/117,Demon's Harness
37/118,Lord's Cuirass
37/119,Jujitsu Gi
37/120,Royal Knight's Aketon
37/121,Aketon
37/122,Haubergeon
37/123,Byrnie
37/124,War Shinobi Gi
37/125,Earth Doublet
37/126,Brigandine
93/77,Justaucorps
93/78,Black Cloak
93/79,Vermillion Cloak
93/80,Blue Cotehardie
93/81,Black Cotehardie
93/82,Fighter's Lorica (WAR AF1)
93/83,Temple Cyclas (MNK AF1)
93/84,Healer's Briault (WHM AF1)
93/85,Wizard's Coat (BLM AF1)
93/86,Warlock's Tabard (RDM AF1)
93/87,Rogue's Vest (THF AF1)
96/14,Gallant Surcoat (PLD AF1)
96/15,Chaos Cuirass (DRK AF1)
96/16,Beast Jackcoat (BST AF1)
96/17,Choral Jstcorps (BRD AF1)
96/18,Hunter's Jerkin (RNG AF1)
98/93,Myochin Domaru (SAM AF1)
98/94,Ninja Chainmail (NIN AF1)
98/95,Drachen Mail (DRG AF1)
98/96,Evoker's Doublet (SMN AF1)
163/20,Magus Jubbah (BLU AF1)
160/109,Corsair's Frac (COR-AF1)
163/21,Puppetry Tobe (PUP AF1)
198/52,Dancer's Casaque (DNC AF1)
198/53,Scholar's Gown (SCH AF1)
119/10,Tiger Jerkin
119/11,Iron Scale Mail
120/62,Steel Scale Mail
120/63,Coeurl Jerkin
120/64,Adaman Cuirass
120/65,Coral Harness
120/66,Noble's Tunic
120/67,Hauberk
120/68,Arhat's Gi
120/69,Dragon Mail
124/44,Rasetsu Samue
124/45,Crimson Scale Mail
124/46,Adaman Hauberk
124/47,Ogre Jerkin
124/48,Koenig Cuirass
125/47,War Aketon
126/42,Holy Breastplate
126/43,Yasha Samue
126/44,Kirin's Osode
126/45,Hecatomb Harness
126/46,Errant Houppelande
126/47,Fisherman's Tunica
126/48,Chocobo Jack Coat
126/49,Vagabond's Tunica
129/39,Field Tunica
129/40,Shura Togi
129/41,Dalmatica
129/42,Carapace Breastplate
129/43,Dusk Jerkin
129/44,Dragon Harness
132/72,Warrior's Lorica (WAR AF2)
132/73,Melee Cyclas (MNK AF2)
132/74,Cleric's Briault (WHM AF2)
132/75,Sorcerer's Coat (BLM AF2)
132/76,Duelist's Tabard (RDM AF2)
132/77,Assassin's Vest (THF AF2)
132/78,Valor Surcoat (PLD AF2)
132/79,Abyss Cuirass (DRK AF2)
132/80,Monster Jackcoat (BST AF2)
132/81,Bard's Justaucorps (BRD AF2)
132/82,Scout's Jerkin (RNG AF2)
132/83,Saotome Domaru (SAM AF2)
132/84,Koga Chainmail (NIN AF2)
132/85,Wyrm Mail (DRG AF2)
132/86,Summoner's Doublet (SMN AF2)
214/87,Mirage Jubbah (BLU AF2)
214/88,Commodore Frac (COR AF2)
214/89,Pantin Tobe (PUP AF2)
217/121,Etoile Casaque (DNC AF2)
217/80,Argute Gown (SCH AF2)
132/87,Scorpion Breastplate
132/88,Austere Robe
137/54,Kingdom Aketon
137/55,Federation Aketon
137/56,Republic Aketon
137/57,Carpenter's Apron
137/58,Blacksmith's Apron
137/59,Weaver's Apron
137/60,Alchemist's Apron
137/61,Boneworker's Apron
137/62,Fisherman's Apron
137/63,Tanner's Apron
137/64,Culinarian's Apron
137/65,Goldsmith's Apron
144/23,Hydra Harness
144/24,Shade Harness
144/25,Garish Tunic
144/26,Seer's Tunic
144/27,Hydra Doublet
144/28,Noct Doublet
145/107,Bison Jacket
145/108,Sha'ir Manteel
146/46,Barone Corazza
146/85,Igqira Weskit
148/19,Eisenbrust
150/43,Hachiman Domaru
150/44,Blessed Briault
151/48,Chasuble
153/19,Unicorn Harness
153/56,Trader's Saio
154/62,Alumine Haubert
154/123,Plastron
157/88,Nashira Manteel
158/27,Homam Corazza
158/92,Trader's Saio (Black)
158/127,Crow Jupon
159/87,Dream Robe
153/109,Hydra Haubert
160/67,Hydra Jupon
163/22,Sipahi Jawshan
162/57,Jaridah Peti
165/98,Aht Urghan Armor
166/11,Amir Korazin
166/12,Pahluwan Khazagand
166/13,Yigit Gomlek
157/25,Elvaan Gilet
143/18,Onoko Yukata
170/86,Corselet
170/87,Kyudogi
174/78,Ares's Cuirass
174/79,Skadi's Cuirie
175/102,Usukane Haramaki
175/103,Marduk's Jubbah
175/104,Morrigan's Robe
182/105,Goliard Saio
182/13,Denali Jacket
182/104,Askar Korazin
182/96,Orange Racing Silks
182/97,Black Racing Silks
182/98,Purple Racing Silks
182/99,Sky Blue Racing Silks
182/100,Blue Racing Silks
182/101,Red Racing Silks
182/102,White Racing Silks
182/103,Green Racing Silks
185/96,Shadow Breastplate
186/2,Shadow Coat
184/73,Valhalla Breastplate
199/54,Cobra Unit Harness
200/86,Cobra Unit Coat
196/120,Iron Ram Hauberk
198/117,Fourth Division Brunne
198/116,Bastokan Armor
196/67,San d'Orian Armor
204/66,Magna Gilet
207/35,Hachiryu Haramaki
214/91,Eerie Cloak
214/90,Tidal Talisman
219/66,Benedight Coat
221/52,Royal Redingote
221/51,Nuevo Coselete
221/83,Mirke Wardecors
223/45,Otokogusa Yukata
225/58,Carpenter's Smock
225/59,Blacksmith's Smock
225/60,Weaver's Smock
225/61,Alchemist's Smock
225/62,Boneworker's Smock
225/63,Fisherman's Smock
225/64,Tanner's Smock
225/65,Culinarian's Smock
225/66,Goldsmith's Smock
236/7,Ebon Cuirass
236/8,Furia Cuirass
236/9,Ebur Cuirass
236/10,Ebon Mail
236/11,Furia Mail
236/12,Ebur Mail
236/13,Ebon Haubert
236/14,Furia Haubert
236/15,Ebur Haubert
236/16,Ebon Breastplate
236/17,Furia Breastplate
236/18,Ebur Breastplate
228/31,Ebon Harness
228/32,Furia Harness
228/33,Ebur Harness
228/34,Ebon Jerkin
228/35,Furia Jerkin
228/36,Ebur Jerkin
228/37,Shikkoku Togi
228/38,Shinku Togi
228/39,Ginhaku Togi
228/40,Ebon Vest
229/120,Furia Vest
229/121,Ebur Vest
232/81,Ebon Talar
232/82,Furia Talar
232/83,Ebur Talar
232/84,Ebon Coat
232/85,Furia Coat
232/86,Ebur Coat
232/87,Ebon Bliaut
232/88,Furia Bliaut
232/89,Ebur Bliaut
232/90,Ebon Frock
232/91,Furia Frock
232/92,Ebur Frock
238/117,Dinner Jacket
238/118,Nocturnus Mail
239/46,Purple Tabard
247/119,Grim Cuirass
247/120,Timarli Jawshan
247/121,Yhel Jacket
247/122,Juogi
247/123,Augur's Jaseran
247/124,Loki's Kaftan
247/125,Perle Hauberk
247/126,Teal Saio
247/127,Aurore Doublet
241/26,Goetia Coat (BLM AF3)
241/27,Creed Cuirass  (PLD AF3)
244/9,Ravager's Lorica (WAR AF3)
244/10,Estoqueur's Sayon (RDM AF3)
251/98,Tantra Cyclas (MNK AF3)
251/99,Raider's Vest (THF AF3)
251/100,Bale Cuirass (DRK AF3)
251/101,Ferine Gausape (BST AF3)
251/102,Aoidos' Hongreline (BRD AF3)
251/103,Unkai Domaru (SAM AF3)
251/104,Iga Ningi (NIN AF3)
251/105,Lancer Plackart (DRG AF3)
251/106,Mavi Mintan (BLU AF3)
251/107,Navarch's Frac (COR AF3)
251/108,Cirque Farsetto (PUP AF3)
251/109,Savant's Gown (SCH AF3)
254/29,Orison Bliaud (WHM AF3)
254/85,Charis Casaque (DNC AF3)
256/39,Sylvan Caban (RNG AF3)
256/40,Caller's Doublet (SMN AF3)
261/75,Twilight Mail
261/76,Twilight Cloak
263/17,Cuauhtli Harness
263/18,Fazheluo Mail
263/60,Hyksos Robe
263/69,Novennial Coat
263/82,Mextli Harness
