38/61,None
157/46, Invisible
38/62,Leather Highboots
38/63,Plate Leggings
38/64,Solea
38/65,Shinobi Kyahan
38/66,Greaves
38/67,Lizard Ledelsens
38/68,Raptor Ledelsens
38/69,Elvaan M Ledelsens
38/70,Sune-Ate
38/71,Shoes
38/72,Moccasins
38/73,Royal Squire's Sollerets
38/74,Royal Knight's Sollerets
38/75,Leggings
38/76,Bronze Leggings
38/77,Bone Leggings
38/78,Kyahan
38/79,Chestnut Sabots
38/80,Tactician Magician's Pigaches
38/81,Ash Clogs
38/82,Gaiters
38/83,Darksteel Sabatons
38/84,Socks
38/85,Battle Boots
38/86,Iron Musketeer's Sabatons
38/87,Centurion's Greaves
38/88,Gavial Greaves
38/89,Scale Greaves
38/90,Mythril Leggings
38/91,Magna M Ledelsens
93/100,Fighter's Calligae (WAR AF1)
93/101,Temple Hose (MNK AF1)
93/102,Healer's Duckbills (WHM AF1)
93/103,Wizard's Sabots (BLM AF1)
93/104,Warlock's Boots (RDM AF1)
93/105,Rogue's Poulaines (THF AF1)
96/29,Gallant Leggings (PLD AF1)
96/30,Chaos Sollerets (DRK AF1)
96/31,Beast Gaiters (BST AF1)
96/32,Choral Slippers (BRD AF1)
96/33,Hunter's Socks (RNG AF1)
98/105,Myochin Sune-Ate (SAM AF1)
98/106,Ninja Kyahan (NIN AF1)
98/107,Drachen Greaves (DRG AF1)
98/108,Evoker's Pigaches (SMN AF1)
163/29,Magus Charuqs (BLU AF1)
160/112,Corsair's Bottes (COR-AF1)
163/30,Puppetry Babouches (PUP AF1)
198/58,Dancer's Shoes (DNC AF1)
198/59,Scholar's Loafers (SCH AF1)
119/16,Tiger Ledelsens
119/17,Iron Greaves
120/86,Steel Greaves
120/87,Coeurl Ledelsens
120/88,Adaman Sabatons
120/89,Coral Leggings
120/90,Noble's Pumps
120/91,Thick Sollerets
120/92,Arhat's Sune-Ate
120/93,Dragon Greaves
124/59,Rasetsu Sune-Ate
124/60,Crimson Greaves
124/61,Adaman Sollerets
124/62,Ogre Ledelsens
124/63,Koenig Schuhs
125/50,War Boots
126/64,Yasha Sune-Ate
126/65,Suzaku's Sune-Ate
126/66,Hecatomb Leggings
126/67,Errant Pigaches
126/68,Fisherman's Boots
126/69,Chocobo Boots
126/70,Vagabond's Boots
129/56,Field Boots
129/57,Shura Sune-Ate
129/58,Zenith Pumps
129/59,Dusk Ledelsens
129/60,Dragon Leggings
132/122,Warrior's Calligae (WAR AF2)
132/123,Melee Gaiters (MNK AF2)
132/124,Cleric's Duckbills (WHM AF2)
132/125,Sorcerer's Sabots (BLM AF2)
132/126,Duelist's Boots (RDM AF2)
132/127,Assassin's Poulaines (THF AF2)
133/0,Valor Leggings (PLD AF2)
133/1,Abyss Sollerets (DRK AF2)
133/2,Monster Gaiters (BST AF2)
133/3,Bard's Slippers (BRD AF2)
133/4,Scout's Socks (RNG AF2)
133/5,Saotome Sune-Ate (SAM AF2)
133/6,Koga Kyahan (NIN AF2)
133/7,Wyrm Greaves (DRG AF2)
133/8,Summoner's Pigaches (SMN AF2)
214/98,Mirage Charuqs (BLU AF2)
214/99,Commodore Bottes (COR AF2)
214/100,Pantin Babouches (PUP AF2)
217/124,Etoile Shoes (DNC AF2)
217/83,Argute Loafers (SCH AF2)
133/9,Austere Sabots
137/68,Waders
144/41,Hydra Spats
144/42,Shade Leggings
144/43,Garish Pumps
144/44,Seer's Pumps
144/45,Hydra Gaiters
144/46,Noct Gaiters
145/113,Bison Gamashes
145/114,Sha'ir Crackows
146/49,Barone Gambieras
146/88,Igqira Huaraches
148/22,Eisenschuhs
149/23,Lord's Sabatons
150/49,Hachiman Sune-Ate
150/50,Blessed Pumps
151/51,Wise Pigaches
153/22,Unicorn Leggings
153/59,Trader's Pigaches
154/65,Alumine Solerets
154/126,Black Sollerets
157/91,Nashira Crackows
158/30,Homam Gambieras
158/95,Trader's Pigaches (Black)
159/2,Crow Gaiters
153/112,Hydra Sollerets
160/70,Hydra Boots
163/31,Sipahi Boots
162/60,Jaridah Nails
166/20,Amir Boots
166/21,Pahluwan Crackows
166/22,Yigit Crackows
174/84,Ares's Sollerets
174/85,Skadi's Jambeaux
175/111,Usukane Sune-Ate
175/112,Marduk's Crackows
175/113,Morrigan's Pigaches
182/111,Goliard Clogs
182/16,Denali Gamashes
182/110,Askar Gambieras
185/99,Shadow Sabatons
186/5,Shadow Clogs
196/121,Dream Boots
199/57,Cobra Unit Boots
200/89,Cobra Unit Sabots
201/30,Iron Ram Sollerets
198/123,Fourth Division Boots
198/122,Bastokan Armor
195/85,Karasutengu Kogake
196/70,San d'Orian Armor
207/38,Hachiryu Sune-Ate
217/84,Noble Poulaines
219/69,Gothic Sabatons
236/43,Ebon Sabatons
236/44,Furia Sabatons
236/45,Ebur Sabatons
236/46,Ebon Greaves
236/47,Furia Greaves
236/48,Ebur Greaves
236/49,Ebon Sollerets
236/50,Furia Sollerets
236/51,Ebur Sollerets
236/52,Ebon Leggings
236/53,Furia Leggings
236/54,Ebur Leggings
228/61,Ebon Boots
228/62,Furia Boots
228/63,Ebur Boots
228/64,Ebon Socks
228/65,Furia Socks
228/66,Ebur Socks
228/67,Shikkoku Sune-ate
228/68,Shinku Sune-ate
228/69,Ginhaku Sune-ate
228/70,Ebon Gaiters
229/126,Furia Gaiters
229/127,Ebur Gaiters
232/117,Ebon Brogues
232/118,Furia Brogues
232/119,Ebur Brogues
232/120,Ebon Sabots
232/121,Furia Sabots
232/122,Ebur Sabots
232/123,Ebon Galoshes
232/124,Furia Galoshes
232/125,Ebur Galoshes
232/126,Ebon Clogs
232/127,Furia Clogs
233/0,Ebur Clogs
239/49,Purple Boots
240/78,Spritewarden's Sabatons
248/16,Serpentes Sabots
248/17,Praeda Sabatons
248/18,Augur's Gaiters
248/19,Perle Solerets
248/20,Teal Pigaches
248/21,Aurore Gaiters
241/32,Goetia Sabots (BLM AF3)
241/33,Creed Sabatons (PLD AF3)
244/15,Ravager's Calligae (WAR AF3)
244/16,Estoqueur's Houseeaux (RDM AF3)
252/6,Tantra Gaiters (MNK AF3)
252/7,Raider's Poulaines (THF AF3)
252/8,Bale Sollerets (DRK AF3)
252/9,Ferine Ocreae (BST AF3)
252/10,Aoidos' Cothurnes (BRD AF3)
252/11,Unkai Sune-Ate (SAM AF3)
252/12,Iga Kyahan (NIN AF3)
252/13,Lancer's Schynbalds (DRG AF3)
252/14,Mavi Basmak (BLU AF3)
252/15,Navarch's Bottes (COR AF3)
252/16,Cirque Scarpe (PUP AF3)
252/17,Savant's Loafers (SCH AF3)
254/32,Orison Duckbills (WHM AF3)
254/88,Charis Toeshoes (DNC AF3)
256/45,Sylvan Bottillons (RNG AF3)
