38/30,None
310/75, Invisible
38/31,Leather Trousers
38/32,Cuisses
38/33,Slacks
38/34,Shinobi Hakama
38/35,Chain Hose
38/36,Lizard Trousers
38/37,Raptor Trousers
38/38,Elvaan M Chausses
38/39,Haidate
38/40,Linen Slacks
38/41,White Slacks
38/42,Royal Squire's Breeches
38/43,Royal Knight's Breeches
38/44,Iron Subligar
38/45,Bronze Subligar
38/46,Bone Subligar
38/47,Sitabaki
38/48,Wool Slops
38/49,Tactician Magician's Slops
38/50,Slops
38/51,Brais
38/52,Darksteel Cuisses
38/53,Hose
38/54,Battle Hose
38/55,Iron Musketeer's Cuisses
38/56,Centurion's Cuisses
38/57,Gavial Cuisses
38/58,Scale Cuisses
38/59,Mythril Cuisses
38/60,Magna M Chausses
93/94,Fighter's Cuisses (WAR AF1)
93/95,Temple Gaiters (MNK AF1)
93/96,Healer's Pantaloons (WHM AF1)
93/97,Wizard's Tonban (BLM AF1)
93/98,Warlock's Tights (RDM AF1)
93/99,Rogue's Culotte (THF AF1)
96/24,Gallant Breeches (PLD AF1)
96/25,Chaos Flanchard (DRK AF1)
96/26,Beast Trousers (BST AF1)
96/27,Choral Cannions (BRD AF1)
96/28,Hunter's Braccae (RNG AF1)
98/101,Myochin Haidate (SAM AF1)
98/102,Ninja Hakama (NIN AF1)
98/103,Drachen Brais (DRG AF1)
98/104,Evoker's Spats (SMN AF1)
163/26,Magus Shalwar (BLU AF1)
160/111,Corsair's Culotte (COR AF1)
163/27,Puppetry Churidars (PUP AF1)
198/56,Dancer's Tights (DNC AF1)
198/57,Scholar's Pants (SCH AF1)
119/14,Tiger Trousers
119/15,Iron Cuisses
120/78,Steel Cuisses
120/79,Coeurl Trousers
120/80,Adaman Cuisses
120/81,Coral Subligar
120/82,Noble's Slacks
120/83,Thick Breeches
120/84,Arhat's Hakama
120/85,Dragon Cuisses
124/54,Rasetsu Hakama
124/55,Crimson Cuisses
124/56,Adaman Breeches
124/57,Ogre Trousers
124/58,Koenig Diechlings
125/49,War Brais
126/57,Yasha Hakama
126/58,Byakko's Haidate
126/59,Hecatomb Subligar
126/60,Errant Slops
126/61,Fisherman's Hose
126/62,Chocobo Hose
126/63,Vagabond's Hose
129/51,Field Hose
129/52,Shura Haidate
129/53,Zenith Slacks
129/54,Dusk Trousers
129/55,Dragon Subligar
132/106,Warrior's Cuisses (WAR AF2)
132/107,Melee Hose (MNK AF2)
132/108,Cleric's Pantaloons (WHM AF2)
132/109,Sorcerer's Tonban (BLM AF2)
132/110,Duelist's Tights (RDM AF2)
132/111,Assassin's Culotte (THF AF2)
132/112,Valor Breeches (PLD AF2)
132/113,Abyss Flanchard (DRK AF2)
132/114,Monster Trousers (BST AF2)
132/115,Bard's Cannions (BRD AF2)
132/116,Scout's Braccae (RNG AF2)
132/117,Saotome Haidate (SAM AF2)
132/118,Koga Hakama (NIN AF2)
132/119,Wyrm Brais (DRG AF2)
132/120,Summoner's Spats (SMN AF2)
214/95,Mirage Shalwar (BLU AF2)
214/96,Commodore Culotte (COR AF2)
214/97,Pantin Churidars (PUP AF2)
217/123,Etoile Tights (DNC AF2)
217/82,Argute Pants (SCH AF2)
132/121,Austere Slops
144/35,Hydra Tights
144/36,Shade Tights
144/37,Garish Slacks
144/38,Seer's Slacks
144/39,Hydra Brais
144/40,Noct Brais
145/111,Bison Kecks
145/112,Sha'ir Seraweels
146/48,Barone Cosciales
146/87,Igqira Lappa
148/21,Eisendiechlings
149/22,Lord's Cuisses
149/126,Zodiac Subligar
149/119,Vir Subligar
150/47,Hachiman Hakama
150/48,Blessed Trousers
151/50,Wise Braconi
153/21,Unicorn Subligar
153/58,Trader's Slops
154/64,Alumine Brayettes
154/125,Black Cuisses
157/90,Nashira Seraweels
158/29,Homam Cosciales
158/94,Trader's Slops (Black)
159/1,Crow Hose
153/111,Hydra Brayettes
160/69,Hydra Hose
163/28,Sipahi Zerehs
162/59,Jaridah Salvars
165/99,Aht Urghan Armor
166/17,Amir Dirs
166/18,Pahluwan Seraweels
166/19,Yigit Seraweels
157/27,Elvaan Trunks
174/82,Ares's Flanchard
174/83,Skadi's Chausses
175/108,Usukane Hizayoroi
175/109,Marduk's Shalwar
175/110,Morrigan's Slops
182/109,Goliard Trews
182/15,Denali Kecks
182/108,Askar Dirs
185/98,Shadow Cuishes
186/4,Shadow Trews
199/56,Cobra Unit Trousers
200/88,Cobra Unit Slops
197/74,Iron Ram Breeches
198/121,Fourth Division Breeches
198/120,Bastokan Armor
196/69,San d'Orian Armor
204/67,Magna Trunks
207/37,Hachiryu Haidate
219/68,Benedight Hose
225/19,Blizter Poleyn
225/20,Desultor Tassets
