@None
40/97,None

@Shield
40/98,Unknown Shield 1
40/99,Unknown Shield 2
40/100,Ritter Shield
40/101,Caballero Shield
40/102,Kite Shield
40/103,Heater Shield
40/104,Royal Knight Army Shield
40/105,Temple Knight Army Shield
40/106,Royal Guard's Shield
40/107,Darksteel Shield
40/108,Shell Shield
40/109,Tatami Shield
40/110,Scutum
40/111,Tower Shield
40/112,Faerie Shield
40/113,Maple Shield
40/114,Lauan Shield
40/115,Oak Shield
40/116,Elm Shield
40/117,Mahogany Shield
40/118,Aspis
40/119,Gold Buckler
40/120,Targe
40/121,Buckler
40/122,Darksteel Buckler
40/123,Frost Shield
122/72,General's Shield
122/73,Koenig Shield
130/59,Acheron Shield
155/84,Aegis
274/19,Aegis (99)
155/98,Genbu's Shield	
164/123,Tariqah
164/124,Januwiyah
215/114,Kupo Shield
215/115,Nomad Shield
245/84,Seigneur Shield
261/96,Ochain
274/20,Ochain (99)
278/124,Adamas
284/9,Mandraguard
288/95,Janus Guard
306/40,Glinting Shield
307/31,Camaraderie shield
307/32,Slime shield
314/39,Mundus Shield
314/40,She-Slime Shield
314/41,Metal Slime Shield
314/42,Hatchling Shield
316/66,Morbol shield
319/119,Svalinn
320/97,Cait Sith guard
331/116,Nibiru shield
331/117,Blurred shield
341/34,Culminus
345/8,Srivatsa
354/46-53,Crafting Shield
355/42,Diamond Buckler
355/97,Kam'lanaut's Shield
361/38,Dullahan Shield
361/39,Cassie's Shield
362/4,Sacro Bulwark

@Hand
40/124,Avengers
40/125,Darksteel Katars
40/126,Katars
40/127,Jamadhars
41/0,Exocets
41/1,Darksteel Claws
41/2,Claws
41/3,Mythril Claws
41/4,Cermet Claws
41/5,Cesti
41/6,Lizard Cesti
41/7,Poison Cesti
41/8,Darksteel Knuckles
41/9,Bronze Knuckles
41/10,Brass Knuckles
41/11,Metal Knuckles
41/12,Mythril Knuckles
41/13,Koenigs Knuckles
41/14,Diamond Knuckles
41/15,Manoples
41/16,Gold Patas
41/17,Patas
41/18,Bone Patas
41/19,Cat Baghnakhs
41/20,Brass Baghnakhs
41/21,Baghnakhs
41/22,Rune Baghnakhs
142/30,Spharai
274/23,Spharai (99)
149/85,Adargas
166/90,Sainti
170/6,Darksteel Sainti
171/104,Adaman Sainti
172/48,Black Adargas
173/76,Hades Sainti
205/108,Glanzfaust
274/22,Glanzfaust (99)
205/109,Kenkonken
280/10,Kenkonken (99)
210/112,Shenlong's Baghnakhs
242/23,Verethragna
274/21,Verethragna (99)
245/87,Afflictors
269/38,Girru
281/22,Blutkrallen
293/87,Tlalpoloani
304/68,Forefront Cesti
314/99,Worm Feelers
319/25,Ohrmazd
328/66,Blurred claws
328/67,Nibiru sainti
341/11,Denouements
342/126,Godhands
352/108,Aphelion Knuckles
355/76,Premium Mogti
356/14,Sharanga (su5)
359/21,Kaja Knuckles
360/28,Karambit

@Dagger
111/124,Valiant Knife
111/125,Darksteel Knife
111/126,Bronze Knife
111/127,Knife
112/0,Mythril Knife
112/1,Cermet Knife
112/2,Misericorde
112/3,Bronze Dagger
112/4,Brass Dagger
112/5,Dagger
112/6,Mythril Dagger
112/7,Darksteel Baselard
112/8,Baselard
112/9,Mythril Baselard
112/10,Darksteel Kukri
112/11,Kukri
112/12,Mythril Kukri
112/13,Cermet Kukri
112/14,Heart Snatcher
112/15,Parrying Knife
112/16,Combat Caster's Dagger
112/17,Kris
112/18,Triple Dagger
112/19,Bone Knife
112/112,Kard
142/24,Mandau
276/35,Mandau (99)
142/28,Raetic Kris
148/3,Harpe
164/32,Jambiya
172/47,Supernal Knife
173/35,Matron's Knife
175/21,Khimaira Jambiya
200/48,Darksteel Jambiya
200/49,Thug's Jambiya
205/104,Vajra
276/42,Vajra (99)
205/106,Carnwenhan
276/45,Carnwenhan (99)
205/107,Terpsichore
276/48,Terpsichore (99)
210/107,Azoth
219/42,Ermine's Tail
227/35,Machismo
245/85,Twashtar
276/49,Twashtar (99)
246/42,Auric Dagger
262/12,Twilight Dagger
264/127,Mantodea Harpe
266/44,Lux Pugio
266/83,Coruscanti
269/52,Asteria
280/25,Blustery Dagger
281/61,Sandung
290/11,Coalition Dirk 
292/7,Izhiikoh
308/57,Camaraderie dagger 
319/120,Ipetam
325/76,Rhadamanthus
327/78,Odium
331/118,Nibiru knife
345/9,Sangoma
345/10,Aeneas
354/54,Chicken Knife II 
356/122,Gandring (su5)
358/74,Aern Dagger
358/115,Qutrub Dagger
359/114,Kaja Knife
360/121,Tauret
362/81,Wind Knife
363/10,Norgish Dagger
363/11,Esikuva

@Sword
112/20,Colichemarde
112/21,Small Sword
112/22,Bilbo
112/23,Junior Musketeer's Tuck
112/24,Joyeuse
112/25,Schlaeger
112/26,Duel Rapier
112/27,Degen
112/28,Mythril Degen
112/29,Epee
112/30,Fleuret
112/31,Schwert
112/32,Royal Guard's Fleuret
112/64,Spatha
112/65,Gold Sword
112/66,Longsword
112/67,Knight's Sword
112/68,Saber
112/69,Rune Blade
112/70,Sapara
112/71,Scimitar
112/72,Tulwar
112/73,Hanger
112/74,Ridill
112/75,Darksteel Falchion
112/76,Platinum Cutlass
112/77,Falchion
112/78,Cutlass
112/79,Xiphos
112/80,Brass Xiphos
112/81,Gladius
112/82,Darksteel Sword
112/83,Bronze Sword
112/84,Jagdplaute
112/85,Iron Sword
112/86,Mythril Sword
112/87,Dainslaif
112/88,Cermet Sword
112/89,Anelace
112/90,Katzbalger
112/91,Broadsword
112/92,Coral Sword
112/93,Hrotti
112/94,Bastard Sword
112/95,Hunting Sword
112/96,Espadon
112/97,Nadrs
112/98,Ancient Sword
112/99,Kaiser Sword
112/100,Dissector
112/101,Holy Sword
112/102,Gluttony Sword
112/103,Wing Sword
142/23,Excalibur
276/36,Excalibur (99)
150/108,Shotel
164/31,Kilij
164/125,Macuahuitl
170/5,Darksteel Kilij
171/0,Adaman Kilij
171/103,Sanguine Sword
175/22,Hauteclaire
183/103,Cermet Kilij
184/98,Hofud
205/100,Unknown Sword
205/101,Tizona
276/47,Tizona (99)
205/102,Murgleis
276/41,Murgleis (99)
205/105,Burtgang
276/43,Burtgang (99)
210/108,Fragarach
211/94,Organics
227/36,Concordia
242/22,Almace
276/50,Almace (99)
246/43,Tyrfing
263/107,Sagasinger
266/106,Ephemeron
279/82,Sanus Ensis
279/83,Ark Saber
279/84,Ark Sword
290/12,Coalition Sword 
292/8,Buramenk'ah
308/58,Camaraderie blade
319/121,Claidheamh Soluis
325/77,Acclimator
327/77,Excalipoor
331/119,Nibiru blade
334/114,Medeina kilij
337/8,Brilliance
337/10,Vampirism
341/35,Fettering blade
341/95,Reikiko
345/11,Sequence
352/6,Fermion sword
353/97,Firetongue
354/3,Onion Sword II
354/104,Blizzard Brand
355/21,Save the Queen II
355/114,Kam'lanaut's Sword
356/125,Crocea Mors (su5)
357/28,Unused Sword (su5)
358/73,Aern Sword
359/115,Kaja Sword
360/122,Naegling

@Axe
111/91,Bronze Axe
111/92,Brass Axe
111/93,Battleaxe
111/94,Mythril Axe
111/95,Bone Axe
111/96,Tabarzin
111/97,Darksteel Tabar
111/98,Tabar
111/99,Darksteel Axe
111/100,Rune Axe
111/101,Nadziak
111/102,Darksteel Pick
111/103,War Pick
111/104,Mythril Pick
111/105,Bone Pick
111/106,Orcish Axe
142/29,Guttler
276/37,Guttler (99)
145/74,Tomahawk
171/101,Sirius Axe
205/98,Aymur
276/44,Aymur (99)
210/109,Labrys
245/86,Farsha
276/51,Farsha (99)
246/44,Glyph Axe
264/125,Tonatiuh Axe
279/85,Ark Tabar
279/118,Aytanri
281/63,Ravana's Axe
290/13,Coalition Axe 
292/9,Kerehcatl
304/80,Hunahpu
308/59,Camaraderie axe
319/122,Kumbhakarna
331/120,Nibiru tabar
331/123,Blurred axe
345/12,Tri-edge
354/126,Demonic Axe
356/121,Pangu (su5)
357/119,Gramk's Axe
358/75,Aern Axe
359/116,Kaja Axe
360/123,Dolichenus
361/40,Ark Tabar

@Katana
112/105,Fudo
112/106,Wakizashi
112/107,Kodachi
112/108,Sakurafubuki
112/109,Kabutowari
112/110,Ganko
112/111,Kunai
142/27,Kikoku
276/38,Kikoku (99)
152/16,Sai
158/68,Hirenjaku
171/102,Ryumon
172/46,Hayabusa
205/103,Nagi
276/46,Nagi (99)
210/111,Shusui
211/96,Oninohocho
247/42,Kannagi
276/52,Kannagi (99)
246/45,Hochomasamune
279/86,Ikarigiri
288/31,Uguisu
304/79,Ichijintanto
319/123,Izuna
325/78,Achiuchikapu
331/121,Mijin
331/124,Kujaku
345/13,Heishi Shorinken
356/123,Fudo Masamune (su5)
359/117,Kaja Katana
360/124,Gokotai

@Club
111/90,Chocobo Wand
111/107,Oak Cudgel
111/108,Bone Cudgel
111/109,Buzdygan
111/110,Darksteel Mace
111/111,Bronze Mace
111/112,Platinum Mace
111/113,Mace
111/114,Mythril Mace
111/115,Ash Club
111/116,Chestnut Club
111/117,Shellbuster
111/118,Great Club
111/119,Darksteel Maul
111/120,Bronze Hammer
111/121,Brass Hammer
111/122,Warhammer
111/123,Maul
112/33,Scepter
112/34,Darksteel Rod
112/35,Bronze Rod
112/36,Brass Rod
112/37,Rod
112/38,Mythril Rod
112/39,Bone Rod
112/40,Ebony Wand
112/41,Yew Wand
112/42,Maple Wand
112/43,Mythic Wand
112/44,Mistilteinn
112/45,Rose Wand
112/46,Chestnut Wand
112/47,Willow Wand
112/48,Caduceus
112/49,Chocobo Wand (Unused)
112/50,Chocobo Wand (Unused)
112/51,Chocobo Wand (Unused)
112/52,Chocobo Wand (Unused)
112/53,Chocobo Wand (Unused)
112/54,Chocobo Wand (Unused)
112/55,Star Rod
112/56,Asklepios
112/57,Curse Wand
112/58,Skirnir's Wand
112/59,Earth Wand
112/60,Imperial Wand
112/61,Martial Wand
112/62,Pilgrim's Wand
112/63,Fey Wand
112/104,Mjollnir
276/39,Mjollnir (99)
142/25,Rune Rod
142/26,Trial Club
149/84,Morgenstern
150/109,Seveneyes
159/101,Charm Wand
160/122,Moogle Rod
164/33,Jadagna
170/36,Nomad Moogle Rod
183/102,Brass Jadagna
205/99,Yagrush
276/40,Yagrush (99)
210/110,Antares
211/95,Flanged Mace
218/32,Dream Bell
220/34,Club Hammer
221/2,Lady Bell
242/55,Gambanteinn
276/53,Gambanteinn (99)
246/46,Owleyes
264/126,Tefnut Wand
266/58,Rounsey Wand
267/48,Maestro's Baton
267/49,Melomane Mallet
280/68,Kitty Rod
281/61,Solstice
286/62,Shell Scepter
286/63,Gobbie Gavel
290/14,Coalition Rod
308/60,Camaraderie wand
313/107,Red Spriggan Club
313/108,Purple Spriggan Club
317/19,Idris
358/13,Idris (119)
317/70,Kyuka uchiwa
319/124,Nehushtan
325/75,Leafkin bopper
326/44,Heartbeater
331/122,Nibiru cudgel
331/125,Blurred rod
337/9,Divinity
337/11,Rubicundity
337/12,Heartstopper
345/14,Tishtrya
352/79,Seika Uchiwa
353/13,Jingly Rod
356/124,Asclepius (su5)
357/83,Soulflayer's Wand
358/116,Floral Hagoita
359/118,Kaja Rod
360/125,Maxentius
361/110,Cath Palug Hammer
362/82,Daybreak
363/45,Burrower's Wand
