@Battle
60/112-119;99/117-118,Battle
116/108-110,Dual Wield (Sub)
116/117-119,Dual Wield (Main)
@Emote
61/8-12;123/78;139/27-29,Emote
259/103;261/16-24,Job Emotes
@General
61/13,Logging
90/50,Chocobo
90/51,Fishing
123/76,Mining
123/77,Harvesting
143/65;143/74,Goldfish Scooping
198/18,Dancing
223/105-107,Bell Ringing
@Ability
88/93-94,Steal
88/95-96,Mug
88/97;95/59-61,Bash
107/102-116,Jump
168/56,Tomahawk
168/57,Angon
@Hand-to-Hand
88/28,Combo
88/29,Shoulder Tackle
88/30,One Inch Punch
88/31,Backhand Blow
88/32,Raging Fists
88/33,Spinning Attack
88/34,Howling Fist
107/66,Dragon Kick
107/67,Asuran Fists
141/94,Final Heaven
206/121,Ascetic's Fury
209/71,Stinging Pummel
243/83,Tornado Kick
256/9,Victory Smite
272/68,Shijin Spiral
@Dagger
88/35,Wasp Sting
88/36,Viper Bite
88/37,Shadowstitch
88/38,Gust Slash
88/39,Cyclone
88/40,Energy Steal
88/41,Energy Drain
88/42,Dancing Edge
107/68,Shark Bite
107/69,Evisceration
141/95,Mercy Stroke
209/72,Mandalic Stab
206/122,Mordant Rime
209/73,Pyrrhic Kleos
243/84,Aeolian Edge
258/22,Rudra's Storm
269/25,Exenterator
@Sword
88/19,Fast Blade
88/20,Burning Blade
88/21,Red Lotus Blade
88/24,Flat Blade
88/22,Shining Blade
88/23,Seraph Blade
88/25,Circle Blade
88/26,Spirits Within
88/27,Vorpal Blade
107/64,Swift Blade
107/65,Savage Blade
141/93,Knights of Round
209/69,Death Blossom
209/70,Atonement
206/120,Expiacion
240/47,Glory Slash
240/48,Uriel Blade
245/23,Sanguine Blade
256/13,Chant du Cygne
269/24,Requiescat
@Club
88/57,Shining Strike
88/58,Seraph Strike
88/59,Brainshaker
88/60,Starlight
88/61,Moonlight
88/62,Skullbreaker
88/63,True Strike
88/64,Judgment
107/74,Hexa Strike
107/75,Black Halo
141/98,Randgrith
206/124,Mystic Boon
243/86,Flash Nova
258/19,Dagan
269/89,Realmrazer
@Axe
88/43,Raging Axe
88/44,Smash Axe
88/45,Gale Axe
88/46,Avalanche Axe
88/47,Spinning Axe
88/48,Rampage
88/49,Calamity
107/70,Mistral Axe
107/71,Decimation
141/96,Onslaught
206/123,Primal Rend
245/20,Bora Axe
256/10,Cloudsplitter
270/1,Ruinator
@Katana
107/84,Blade: Rin
