56/111,None
56/112,Leather Vest
56/113,Breastplate
56/114,Tunic
56/115,Shinobi Gi
56/116,Chainmail
56/117,Lizard Jerkin
56/118,Raptor Jerkin
56/119,Galkan Surcoat
56/120,Hara-Ate
56/121,Cloak
56/122,Silk Cloak
56/123,Royal Squire's Chainmail
56/124,Royal Knight's Chainmail
56/125,Padded Armor
56/126,Bronze Harness
56/127,Bone Harness
57/0,Kenpogi
57/1,Wool Robe
57/2,Tactician Magician's Coat
57/3,Robe
57/4,Doublet
57/5,Darksteel Cuirass
57/6,Gambison
57/7,Battle Jupon
57/8,Iron Musketeer's Cuirass
57/9,Centurion's Scale Mail
57/10,Gavial Mail
57/11,Scale Mail
57/12,Mythril Breastplate
57/13,Elder's Surcoat
57/14,Assault Breastplate
57/15,Cardinal Vest
57/16,Scorpion Harness
57/17,Demon's Harness
57/18,Lord's Cuirass
57/19,Jujitsu Gi
57/20,Royal Knight's Aketon
57/21,Aketon
57/22,Haubergeon
57/23,Byrnie
57/24,War Shinobi Gi
57/25,Earth Doublet
57/26,Brigandine
94/89,Justaucorps
94/90,Black Cloak
94/91,Vermillion Cloak
94/92,Blue Cotehardie
94/93,Black Cotehardie
94/94,Fighter's Lorica (WAR AF1)
94/95,Temple Cyclas (MNK AF1)
94/96,Healer's Briault (WHM AF1)
94/97,Wizard's Coat (BLM AF1)
94/98,Warlock's Tabard (RDM AF1)
94/99,Rogue's Vest (THF AF1)
96/114,Gallant Surcoat (PLD AF1)
96/115,Chaos Cuirass (DRK AF1)
96/116,Beast Jackcoat (BST AF1)
96/117,Choral Justaucorps (BRD AF1)
96/118,Hunter's Jerkin (RNG AF1)
99/93,Myochin Domaru (SAM AF1)
99/94,Ninja Chainmail (NIN AF1)
99/95,Drachen Mail (DRG AF1)
99/96,Evoker's Doublet (SMN AF1)
164/7,Magus Jubbah (BLU AF1)
164/8,Corsair's Frac (COR AF1)
162/82,Puppetry Tobe (PUP AF1)
198/97,Dancer's Casaque (DNC AF1)
198/98,Scholar's Gown (SCH AF1)
119/42,Tiger Jerkin
119/43,Iron Scale Mail
121/115,Steel Scale Mail
121/116,Coeurl Jerkin
121/117,Adaman Cuirass
121/118,Coral Harness
121/119,Noble's Tunic
121/120,Hauberk
121/121,Arhat's Gi
121/122,Dragon Mail
125/16,Rasetsu Samue
125/17,Crimson Scale Mail
125/18,Adaman Hauberk
125/19,Ogre Jerkin
125/20,Koenig Cuirass
125/67,War Aketon
127/91,Holy Breastplate
127/92,Yasha Samue
127/93,Kirin's Osode
127/94,Hecatomb Harness
127/95,Errant Houppelande
127/96,Fisherman's Tunica
127/97,Chocobo Jack Coat
127/98,Vagabond's Tunica
130/31,Field Tunica
130/32,Shura Togi
130/33,Dalmatica
130/34,Carapace Breastplate
130/35,Dusk Jerkin
130/36,Dragon Harness
