57/89,None
157/51,Invisible
57/90,Leather Highboots
57/91,Plate Leggings
57/92,Solea
57/93,Shinobi Kyahan
57/94,Greaves
57/95,Lizard Ledelsens
57/96,Raptor Ledelsens
57/97,Galkan Santals
57/98,Sune-Ate
57/99,Shoes
57/100,Moccasins
57/101,Royal Squire's Sollerets
57/102,Royal Knight's Sollerets
57/103,Leggings
57/104,Bronze Leggings
57/105,Bone Leggings
57/106,Kyahan
57/107,Chestnut Sabots
57/108,Tactician Magician's Pigaches
57/109,Ash Clogs
57/110,Gaiters
57/111,Darksteel Sabatons
57/112,Socks
57/113,Battle Boots
57/114,Iron Musketeer's Sabatons
57/115,Centurion's Greaves
57/116,Gavial Greaves
57/117,Scale Greaves
57/118,Mythril Leggings
57/119,Elder's Sandals
94/112,Fighter's Calligae (WAR AF1)
94/113,Temple Hose (MNK AF1)
94/114,Healer's Duckbills (WHM AF1)
94/115,Wizard's Sabots (BLM AF1)
94/116,Warlock's Boots (RDM AF1)
94/117,Rogue's Poulaines (THF AF1)
97/1,Gallant Leggings (PLD AF1)
97/2,Chaos Sollerets (DRK AF1)
97/3,Beast Gaiters (BST AF1)
97/4,Choral Slippers (BRD AF1)
97/5,Hunter's Socks (RNG AF1)
99/105,Myochin Sune-Ate (SAM AF1)
99/106,Ninja Kyahan (NIN AF1)
99/107,Drachen Greaves (DRG AF1)
99/108,Evoker's Pigaches (SMN AF1)
164/16,Magus Charuqs (BLU AF1)
164/17,Corsair's Bottes (COR AF1)
162/85,Puppetry Babouches (PUP AF1)
198/103,Dancer's Shoes (DNC AF1)
198/104,Scholar's Loafers (SCH AF1)
119/48,Tiger Ledelsens
119/49,Iron Greaves
122/11,Steel Greaves
122/12,Coeurl Ledelsens
122/13,Adaman Sabatons
122/14,Coral Leggings
122/15,Noble's Pumps
122/16,Thick Sollerets
122/17,Arhat's Sune-Ate
122/18,Dragon Greaves
125/31,Rasetsu Sune-Ate
125/32,Crimson Greaves
125/33,Adaman Sollerets
125/34,Ogre Ledelsens
125/35,Koenig Schuhs
125/70,War Boots
127/113,Yasha Sune-Ate
127/114,Suzaku's Sune-Ate
127/115,Hecatomb Leggings
127/116,Errant Pigaches
127/117,Fisherman's Boots
127/118,Chocobo Boots
127/119,Vagabond's Boots
130/48,Field Boots
130/49,Shura Sune-Ate
130/50,Zenith Pumps
130/51,Dusk Ledelsens
130/52,Dragon Leggings
135/85,Warrior's Calligae (WAR AF2)
135/86,Melee Gaiters (MNK AF2)
135/87,Cleric's Duckbills (WHM AF2)
135/88,Sorcerer's Sabots (BLM AF2)
135/89,Duelist's Boots (RDM AF2)
135/90,Assassin's Poulaines (THF AF2)
135/91,Valor Leggings (PLD AF2)
135/92,Abyss Sollerets (DRK AF2)
135/93,Monster Gaiters (BST AF2)
135/94,Bard's Slippers (BRD AF2)
135/95,Scout's Socks (RNG AF2)
135/96,Saotome Sune-Ate (SAM AF2)
135/97,Koga Kyahan (NIN AF2)
135/98,Wyrm Greaves (DRG AF2)
135/99,Summoner's Pigaches (SMN AF2)
215/8,Mirage Charuqs (BLU AF2)
215/9,Commodore Bottes (COR AF2)
215/10,Pantin Babouches (PUP AF2)
218/21,Etoile Shoes (DNC AF2)
217/107,Argute Loafers (SCH AF2)
135/100,Austere Sabots
139/9,Waders
145/57,Hydra Spats
145/58,Shade Leggings
145/59,Garish Pumps
145/60,Seer's Pumps
145/61,Hydra Gaiters
145/62,Noct Gaiters
146/33,Bison Gamashes
146/34,Sha'ir Crackows
146/69,Barone Gambieras
146/108,Igqira Huaraches
148/42,Eisenschuhs
149/71,Lord's Sabatons
150/97,Hachiman Sune-Ate
150/98,Blessed Pumps
151/71,Wise Pigaches
153/42,Unicorn Leggings
153/79,Trader's Pigaches
154/92,Alumine Solerets
155/18,Black Sollerets
157/120,Nashira Crackows
158/62,Homam Gambieras
158/115,Trader's Pigaches (Black)
159/22,Crow Gaiters
154/34,Hydra Sollerets
160/90,Hydra Boots
164/18,Sipahi Boots
163/84,Jaridah Nails
166/84,Amir Boots
166/85,Pahluwan Crackows
166/86,Yigit Crackows
174/124,Ares's Sollerets
174/125,Skadi's Jambeaux
176/43,Usukane Sune-Ate
176/44,Marduk's Crackows
176/45,Morrigan's Pigaches
183/55,Goliard Clogs
182/40,Denali Gamashes
183/54,Askar Gambieras
185/119,Shadow Sabatons
186/29,Shadow Clogs
196/127,Dream Boots
199/73,Cobra Unit Boots
200/109,Cobra Unit Sabots
201/55,Iron Ram Sollerets
199/35,Fourth Division Boots
199/34,Bastokan Armor
195/93,Karasutengu Kogake
207/54,Hachiryu Sune-Ate
217/108,Noble Poulaines
219/84,Gothic Sabatons
238/27,Ebon Sabatons
238/28,Furia Sabatons
238/29,Ebur Sabatons
238/30,Ebon Greaves
238/31,Furia Greaves
238/32,Ebur Greaves
238/33,Ebon Sollerets
238/34,Furia Sollerets
238/35,Ebur Sollerets
238/36,Ebon Leggings
238/37,Furia Leggings
238/38,Ebur Leggings
229/87,Ebon Boots
229/88,Furia Boots
229/89,Ebur Boots
229/90,Ebon Socks
229/91,Furia Socks
229/92,Ebur Socks
229/93,Shikkoku Sune-ate
229/94,Shinku Sune-ate
229/95,Ginhaku Sune-ate
229/96,Ebon Gaiters
230/28,Furia Gaiters
230/29,Ebur Gaiters
234/101,Ebon Brogues
234/102,Furia Brogues
234/103,Ebur Brogues
234/104,Ebon Sabots
234/105,Furia Sabots
234/106,Ebur Sabots
234/107,Ebon Galoshes
234/108,Furia Galoshes
234/109,Ebur Galoshes
234/110,Ebon Clogs
234/111,Furia Clogs
234/112,Ebur Clogs
240/82,Spritewarden's Sabatons
249/32,Serpentes Sabots
249/33,Praeda Sabatons
249/34,Augur's Gaiters
249/35,Perle Solerets
249/36,Teal Pigaches
249/37,Aurore Gaiters
255/5,Purple Boots
241/72,Goetia Sabots (BLM AF3)
241/73,Creed Sabatons (PLD AF3)
244/55,Ravager's Calligae (WAR AF3)
244/56,Estoqueur's Houseeaux (RDM AF3)
253/123,Tantra Gaiters (MNK AF3)
253/124,Raider's Poulaines (THF AF3)
253/125,Bale Sollerets (DRK AF3)
253/126,Ferine Ocreae (BST AF3)
253/127,Aoidos' Cothurnes (BRD AF3)
254/0,Unkai Sune-Ate (SAM AF3)
254/1,Iga Kyahan (NIN AF3)
254/2,Lancer's Schynbalds (DRG AF3)
254/3,Mavi Basmak (BLU AF3)
254/4,Navarch's Bottes (COR AF3)
254/5,Cirque Scarpe (PUP AF3)
254/6,Savant's Loafers (SCH AF3)
254/52,Orison Duckbills (WHM AF3)
254/113,Charis Toeshoes (DNC AF3)
256/85,Sylvan Bottillons (RNG AF3)
256/86,Caller's Pigaches (SMN AF3)
264/74,Calmecac Leggings
264/75,Jingang Greaves
264/76,Menhit Leggings
272/29,Ogier's Leggings
272/30,Athos's Boots
272/31,Rubeus Boots
278/84,Kheper Gamashes
278/85,Paean Boots
278/86,Auspex Nails
278/87,Hrafn Gambieras
278/88,Tenryu Sune-Ate
281/16,???
281/17,???
282/100,Dux Greaves
282/101,Chelona Boots
291/123, Geomancer AF1
292/98, Rune Fencer AF1
291/42, Karieyh Sollerets
291/43, Thurandaut Boots
291/44, Orvail Souliers
291/45, Morass boots
292/97, Chocaliztli / Whirlpool
301/78, Mikinaak Greaves
301/79, Manibozho Boots
301/80, Bokwus Boots
304/65, Uk'uxkaj boots
305/25, Geomancer Feet
306/34, Runefencer Feet
306/35, Gorney Sollerets
306/36, Shneddick Boots
306/37, Weatherspoon Souliers
310/109, Thatch boots
312/116, Qaaxo Leggings
312/117, Artsieq Boots
312/118, Xaddi Boots
315/101, Erilaz greaves (RUN AF3)
325/59, Punchinellos
327/69, Azimuth Gaiters (GEO AF3)
327/118, Pupil's Shoes
331/72, Despair greaves
331/73, Pursuer's gaiters
331/74, Psycloth shoes
331/75, Eschite greaves
331/76, Rawhide boots
331/77, Naga kyahan
331/78, Vanya clogs
336/118, Founder's greaves
336/119, Agent boots
344/106, Composer's sabots
344/107, Odyssean greaves
344/108, Valorus greaves
346/44, Merlinic crackows
348/79, Chironic slippers
349/76, Herculean boots
307/64, Alliance boots
