57/27,None
157/50,Invisible
57/28,Leather Gloves
57/29,Gauntlets
57/30,Mitts
57/31,Shinobi Tekko
57/32,Chain Mittens
57/33,Lizard Gloves
57/34,Raptor Gloves
57/35,Galkan Bracers
57/36,Kote
57/37,Linen Mitts
57/38,Black Mitts
57/39,Royal Squire's Mufflers
57/40,Royal Knight's Mufflers
57/41,Iron Mittens
57/42,Bronze Mittens
57/43,Bone Mittens
57/44,Tekko
57/45,Wool Cuffs
57/46,Tactician Magician's Cuffs
57/47,Cuffs
57/48,Gloves
57/49,Darksteel Gauntlets
57/50,Bracers
57/51,Battle Bracers
57/52,Iron Musketeer's Gauntlets
57/53,Centurion's Finger Gauntlets
57/54,Gavial Finger Gauntlets
57/55,Scale Finger Gauntlets
57/56,Mythril Gauntlets
57/57,Elder's Bracers
94/100,Fighter's Mufflers (WAR AF1)
94/101,Temple Gloves (MNK AF1)
94/102,Healer's Mitts (WHM AF1)
94/103,Wizard's Gloves (BLM AF1)
94/104,Warlock's Gloves (RDM AF1)
94/105,Rogue's Armlets (THF AF1)
96/119,Gallant Gauntlets (PLD AF1)
96/120,Chaos Gauntlets (DRK AF1)
96/121,Beast Gloves (BST AF1)
96/122,Choral Cuffs (BRD AF1)
96/123,Hunter's Bracers (RNG AF1)
99/97,Myochin Kote (SAM AF1)
99/98,Ninja Tekko (NIN AF1)
99/99,Drachen Finger Gauntlets (DRG AF1)
99/100,Evoker's Bracers (SMN AF1)
164/10,Magus Bazubands (BLU AF1)
164/11,Corsair's Gants (COR AF1)
162/83,Puppetry Dastanas (PUP AF1)
198/99,Dancer's Bangles (DNC AF1)
198/100,Scholar's Bracers (SCH AF1)
119/44,Tiger Gloves
119/45,Iron Finger Gauntlets
121/123,Steel Finger Gauntlets
121/124,Coeurl Gloves
121/125,Adaman Gauntlets
121/126,Coral Mittens
121/127,Noble's Mitts
122/0,Thick Mufflers
122/1,Arhat's Tekko
122/2,Dragon Finger Gauntlets
125/21,Rasetsu Tekko
125/22,Crimson Finger Gauntlets
125/23,Adaman Mufflers
125/24,Ogre Gloves
125/25,Koenig Handschuhs
