57/58,None
157/51,Invisible
57/59,Leather Trousers
57/60,Cuisses
57/61,Slacks
57/62,Shinobi Hakama
57/63,Chain Hose
57/64,Lizard Trousers
57/65,Raptor Trousers
57/66,Galkan Braguette
57/67,Haidate
57/68,Linen Slacks
57/69,White Slacks
57/70,Royal Squire's Breeches
57/71,Royal Knight's Breeches
57/72,Iron Subligar
57/73,Bronze Subligar
57/74,Bone Subligar
57/75,Sitabaki
57/76,Wool Slops
57/77,Tactician Magician's Slops
57/78,Slops
57/79,Brais
57/80,Darksteel Cuisses
57/81,Hose
57/82,Battle Hose
57/83,Iron Musketeer's Cuisses
57/84,Centurion's Cuisses
57/85,Gavial Cuisses
57/86,Scale Cuisses
57/87,Mythril Cuisses
57/88,Elder's Braguette
94/106,Fighter's Cuisses (WAR AF1)
94/107,Temple Gaiters (MNK AF1)
94/108,Healer's Pantaloons (WHM AF1)
94/109,Wizard's Tonban (BLM AF1)
94/110,Warlock's Tights (RDM AF1)
94/111,Rogue's Culotte (THF AF1)
96/124,Gallant Breeches (PLD AF1)
96/125,Chaos Flanchard (DRK AF1)
96/126,Beast Trousers (BST AF1)
96/127,Choral Cannions (BRD AF1)
97/0,Hunter's Braccae (RNG AF1)
99/101,Myochin Haidate (SAM AF1)
99/102,Ninja Hakama (NIN AF1)
99/103,Drachen Brais (DRG AF1)
99/104,Evoker's Spats (SMN AF1)
164/13,Magus Shalwar (BLU AF1)
164/14,Corsair's Culotte (COR AF1)
162/84,Puppetry Churidars (PUP AF1)
198/101,Dancer's Tights (DNC AF1)
198/102,Scholar's Pants (SCH AF1)
119/46,Tiger Trousers
119/47,Iron Cuisses
122/3,Steel Cuisses
122/4,Coeurl Trousers
122/5,Adaman Cuisses
122/6,Coral Subligar
122/7,Noble's Slacks
122/8,Thick Breeches
122/9,Arhat's Hakama
122/10,Dragon Cuisses
125/26,Rasetsu Hakama
125/27,Crimson Cuisses
125/28,Adaman Breeches
125/29,Ogre Trousers
125/30,Koenig Diechlings
125/69,War Brais
127/106,Yasha Hakama
127/107,Byakko's Haidate
127/108,Hecatomb Subligar
127/109,Errant Slops
127/110,Fisherman's Hose
127/111,Chocobo Hose
127/112,Vagabond's Hose
130/43,Field Hose
130/44,Shura Haidate
130/45,Zenith Slacks
130/46,Dusk Trousers
130/47,Dragon Subligar
135/69,Warrior's Cuisses (WAR AF2)
135/70,Melee Hose (MNK AF2)
135/71,Cleric's Pantaloons (WHM AF2)
135/72,Sorcerer's Tonban (BLM AF2)
135/73,Duelist's Tights (RDM AF2)
135/74,Assassin's Culotte (THF AF2)
135/75,Valor Breeches (PLD AF2)
135/76,Abyss Flanchard (DRK AF2)
135/77,Monster Trousers (BST AF2)
135/78,Bard's Cannions (BRD AF2)
135/79,Scout's Braccae (RNG AF2)
135/80,Saotome Haidate (SAM AF2)
135/81,Koga Hakama (NIN AF2)
135/82,Wyrm Brais (DRG AF2)
135/83,Summoner's Spats (SMN AF2)
215/5,Mirage Shalwar (BLU AF2)
215/6,Commodore Culotte (COR AF2)
215/7,Pantin Churidars (PUP AF2)
218/20,Etoile Tights (DNC AF2)
217/106,Argute Pants (SCH AF2)
135/84,Austere Slops
145/51,Hydra Tights
145/52,Shade Tights
