@None
59/125,None

@Shield
59/126,Unknown Shield 1
59/127,Unknown Shield 2
60/0,Ritter Shield
60/1,Caballero Shield
60/2,Kite Shield
60/3,Heater Shield
60/4,Royal Knight Army Shield
60/5,Temple Knight Army Shield
60/6,Royal Guard's Shield
60/7,Darksteel Shield
60/8,Shell Shield
60/9,Tatami Shield
60/10,Scutum
60/11,Tower Shield
60/12,Faerie Shield
60/13,Maple Shield
60/14,Lauan Shield
60/15,Oak Shield
60/16,Elm Shield
60/17,Mahogany Shield
60/18,Aspis
60/19,Gold Buckler
60/20,Targe
60/21,Buckler
60/22,Darksteel Buckler
60/23,Frost Shield
122/84,General's Shield
122/85,Koenig Shield
130/63,Acheron Shield
155/88,Aegis
274/39,Aegis (99)
155/102,Genbu's Shield
165/7,Tariqah
165/8,Januwiyah
215/122,Kupo Shield
215/123,Nomad Shield
245/100,Seigneur Shield
261/100,Ochain
274/40,Ochain (99)
279/0,Adamas
284/13,Mandraguard
288/99,Janus Guard
306/44,Glinting Shield
307/39,Camaraderie shield
307/40,Slime shield
314/55,Mundus Shield
314/56,She-Slime Shield
314/57,Metal Slime Shield
314/58,Hatchling Shield
316/70,Morbol shield
320/15,Svalinn
320/101,Cait Sith guard
332/28,Nibiru shield
332/29,Blurred shield
341/42,Culminus
345/36,Srivatsa
354/82-89,Crafting Shield
355/46,Diamond Buckler
355/101,Kam'lanaut's Shield
361/50,Dullahan Shield
361/51,Cassie's Shield
362/8,Sacro Bulwark

@Hand
60/24,Avengers
60/25,Darksteel Katars
60/26,Katars
60/27,Jamadhars
60/28,Exocets
60/29,Darksteel Claws
60/30,Claws
60/31,Mythril Claws
60/32,Cermet Claws
60/33,Cesti
60/34,Lizard Cesti
60/35,Poison Cesti
60/36,Darksteel Knuckles
60/37,Bronze Knuckles
60/38,Brass Knuckles
60/39,Metal Knuckles
60/40,Mythril Knuckles
60/41,Koenigs Knuckles
60/42,Diamond Knuckles
60/43,Manoples
60/44,Gold Patas
60/45,Patas
60/46,Bone Patas
60/47,Cat Baghnakhs
60/48,Brass Baghnakhs
60/49,Baghnakhs
60/50,Rune Baghnakhs
142/62,Spharai
274/43,Spharai (99)
149/93,Adargas
166/94,Sainti
170/14,Darksteel Sainti
171/124,Adaman Sainti
172/60,Black Adargas
173/80,Hades Sainti
206/28,Glanzfaust
274/42,Glanzfaust (99)
206/29,Kenkonken
280/14,Kenkonken (99)
211/8,Shenlong's Baghnakhs
242/31,Verethragna
274/41,Verethragna (99)
245/103,Afflictors
269/42,Girru
281/26,Blutkrallen
293/91,Tlalpoloani
304/72,Forefront cesti
314/103,Worm Feelers
319/29,Ohrmazd
328/74,Blurred claws
328/75,Nibiru sainti
341/15,Denouements
343/2,Godhands
352/112,Aphelion Knuckles
355/80,Premium Mogti
356/18,Sharanga (su5)
359/25,Kaja Knuckles
360/32,Karambit

