32/111,None
32/112,Leather Vest
32/113,Breastplate
32/114,Tunic
32/115,Shinobi Gi
32/116,Chainmail
32/117,Lizard Jerkin
32/118,Raptor Jerkin
32/119,Hume Vest
32/120,Hara-Ate
32/121,Cloak
32/122,Silk Cloak
32/123,Royal Squire's Chainmail
32/124,Royal Knight's Chainmail
32/125,Padded Armor
32/126,Bronze Harness
32/127,Bone Harness
33/0,Kenpogi
33/1,Wool Robe
33/2,Tactician Magician's Coat
33/3,Robe
33/4,Doublet
33/5,Darksteel Cuirass
33/6,Gambison
33/7,Battle Jupon
33/8,Iron Musketeer's Cuirass
33/9,Centurion's Scale Mail
33/10,Gavial Mail
33/11,Scale Mail
33/12,Mythril Breastplate
33/13,Judge's Cuirass (GM)
33/14,Custom Vest
33/15,Assault Breastplate
33/16,Cardinal Vest
33/17,Scorpion Harness
33/18,Demon's Harness
33/19,Lord's Cuirass
33/20,Jujitsu Gi
33/21,Royal Knight's Aketon
33/22,Aketon
33/23,Haubergeon
33/24,Byrnie
33/25,War Shinobi Gi
33/26,Earth Doublet
33/27,Brigandine
93/41,Justaucorps
93/42,Black Cloak
93/43,Vermillion Cloak
93/44,Blue Cotehardie
93/45,Black Cotehardie
93/46,Fighter's Lorica (WAR AF1)
93/47,Temple Cyclas (MNK AF1)
93/48,Healer's Briault (WHM AF1)
93/49,Wizard's Coat (BLM AF1)
93/50,Warlock's Tabard (RDM AF1)
93/51,Rogue's Vest (THF AF1)
95/117,Gallant Surcoat (PLD AF1)
95/118,Chaos Cuirass (DRK AF1)
95/119,Beast Jackcoat (BST AF1)
95/120,Choral Justaucorps (BRD AF1)
95/121,Hunter's Jerkin (RNG AF1)
98/62,Myochin Domaru (SAM AF1)
98/63,Ninja Chainmail (NIN AF1)
98/64,Drachen Mail (DRG AF1)
98/65,Evoker's Doublet (SMN AF1)
162/52,Magus Jubbah (BLU AF1)
160/97,Corsair's Frac (COR AF1)
163/4,Puppetry Tobe (PUP AF1)
189/31,Dancer's Casaque (DNC AF1)
189/32,Scholar's Gown (SCH AF1)
119/2,Tiger Jerkin
119/3,Iron Scale Mail
120/17,Steel Scale Mail
120/18,Coeurl Jerkin
120/19,Adaman Cuirass
120/20,Coral Harness
120/21,Noble's Tunic
120/22,Hauberk
120/23,Arhat's Gi
120/24,Dragon Mail
124/19,Rasetsu Samue
124/20,Crimson Scale Mail
124/21,Adaman Hauberk
124/22,Ogre Jerkin
124/23,Koenig Cuirass
125/42,War Aketon
125/126,Holy Breastplate
125/127,Yasha Samue
126/0,Kirin's Osode
126/1,Hecatomb Harness
126/2,Errant Houppelande
126/3,Fisherman's Tunica
126/4,Chocobo Jack Coat
126/5,Vagabond's Tunica
129/9,Field Tunica
129/10,Shura Togi
129/11,Dalmatica
129/12,Carapace Breastplate
129/13,Dusk Jerkin
129/14,Dragon Harness
131/113,Warrior's Lorica (WAR AF2)
131/114,Melee Cyclas (MNK AF2)
131/115,Cleric's Briault (WHM AF2)
131/116,Sorcerer's Coat (BLM AF2)
131/117,Duelist's Tabard (RDM AF2)
131/118,Assassin's Vest (THF AF2)
131/119,Valor Surcoat (PLD AF2)
131/120,Abyss Cuirass (DRK AF2)
131/121,Monster Jackcoat (BST AF2)
131/122,Bard's Justaucorps (BRD AF2)
131/123,Scout's Jerkin (RNG AF2)
131/124,Saotome Domaru (SAM AF2)
131/125,Koga Chainmail (NIN AF2)
131/126,Wyrm Mail (DRG AF2)
131/127,Summoner's Doublet (SMN AF2)
214/70,Mirage Jubbah (BLU AF2)
214/71,Commodore Frac (COR AF2)
214/72,Pantin Tobe (PUP AF2)
217/116,Etoile Casaque (DNC AF2)
217/74,Argute Gown (SCH AF2)
132/0,Scorpion Breastplate
132/1,Austere Robe
132/2,Opaline Dress
137/6,Kingdom Aketon
137/7,Federation Aketon
137/8,Republic Aketon
137/9,Carpenter's Apron
137/10,Blacksmith's Apron
137/11,Weaver's Apron
137/12,Alchemist's Apron
137/13,Boneworker's Apron
137/14,Fisherman's Apron
137/15,Tanner's Apron
137/16,Culinarian's Apron
137/17,Goldsmith's Apron
143/115,Hydra Harness
143/116,Shade Harness
143/117,Garish Tunic
143/118,Seer's Tunic
