33/28,None
132/20,Invisible
33/29,Leather Gloves
33/30,Gauntlets
33/31,Mitts
33/32,Shinobi Tekko
33/33,Chain Mittens
33/34,Lizard Gloves
33/35,Raptor Gloves
33/36,Hume F Gloves
33/37,Kote
33/38,Linen Mitts
33/39,Black Mitts
33/40,Royal Squire's Mufflers
33/41,Royal Knight's Mufflers
33/42,Iron Mittens
33/43,Bronze Mittens
33/44,Bone Mittens
33/45,Tekko
33/46,Wool Cuffs
33/47,Tactician Magician's Cuffs
33/48,Cuffs
33/49,Gloves
33/50,Darksteel Gauntlets
33/51,Bracers
33/52,Battle Bracers
33/53,Iron Musketeer's Gauntlets
33/54,Centurion's Finger Gauntlets
33/55,Gavial Finger Gauntlets
33/56,Scale Finger Gauntlets
33/57,Mythril Gauntlets
33/58,Judge's Gauntlets (GM)
33/59,Custom F Gloves
93/52,Fighter's Mufflers (WAR AF1)
93/53,Temple Gloves (MNK AF1)
93/54,Healer's Mitts (WHM AF1)
93/55,Wizard's Gloves (BLM AF1)
93/56,Warlock's Gloves (RDM AF1)
93/57,Rogue's Armlets (THF AF1)
95/122,Gallant Gauntlets (PLD AF1)
95/123,Chaos Gauntlets (DRK AF1)
95/124,Beast Gloves (BST AF1)
95/125,Choral Cuffs (BRD AF1)
95/126,Hunter's Bracers (RNG AF1)
98/66,Myochin Kote (SAM AF1)
98/67,Ninja Tekko (NIN AF1)
98/68,Drachen Finger Gauntlets (DRG AF1)
98/69,Evoker's Bracers (SMN AF1)
162/53,Magus Bazubands (BLU AF1)
160/98,Corsair's Gants (COR AF1)
163/7,Puppetry Dastanas (PUP AF1)
189/33,Dancer's Bangles (DNC AF1)
189/34,Scholar's Bracers (DNC AF1)
119/4,Tiger Gloves
119/5,Iron Finger Gauntlets
120/25,Steel Finger Gauntlets
120/26,Coeurl Gloves
120/27,Adaman Gauntlets
120/28,Coral Mittens
120/29,Noble's Mitts
120/30,Thick Mufflers
120/31,Arhat's Tekko
120/32,Dragon Finger Gauntlets
124/24,Rasetsu Tekko
124/25,Crimson Finger Gauntlets
124/26,Adaman Mufflers
124/27,Ogre Gloves
124/28,Koenig Handschuhs
125/43,War Gloves
126/6,Yasha Tekko
126/7,Seiryu's Kote
126/8,Hecatomb Mittens
126/9,Errant Cuffs
126/10,Fisherman's Gloves
126/11,Chocobo Gloves
126/12,Vagabond's Gloves
129/15,Field Gloves
129/16,Shura Kote
129/17,Zenith Mitts
129/18,Carapace Gauntlets
129/19,Dusk Gloves
129/20,Dragon Mittens
132/3,Warrior's Mufflers (WAR AF2)
132/4,Melee Gloves (MNK AF2)
132/5,Cleric's Mitts (WHM AF2)
132/6,Sorcerer's Gloves (BLM AF2)
132/7,Duelist's Gloves (RDM AF2)
132/8,Assassin's Armlets (THF AF2)
132/9,Valor Gauntlets (PLD AF2)
132/10,Abyss Gauntlets (DRK AF2)
132/11,Monster Gloves (BST AF2)
132/12,Bard's Cuffs (BRD AF2)
132/13,Scout's Bracers (RNG AF2)
132/14,Saotome Kote (SAM AF2)
132/15,Koga Tekko (NIN AF2)
132/16,Wyrm Finger Gauntlets (DRG AF2)
132/17,Summoner's Bracers (SMN AF2)
214/75,Mirage Bazubands (BLU AF2)
214/76,Commodore Gants (COR AF2)
214/77,Pantin Dastanas (PUP AF2)
217/117,Etoile Bangles (DNC AF2)
217/75,Argute Bracers (SCH AF2)
132/18,Scorpion Gauntlets
132/19,Austere Cuffs
137/18,Carpenter's Gloves
137/19,Smithy's Mitts 
143/121,Hydra Mitts
143/122,Shade Mittens
143/123,Garish Mitts
143/124,Seer's Mitts
143/125,Hydra Gloves
143/126,Noct Gloves
145/97,Bison Wristbands
145/98,Sha'ir Gages
146/42,Barone Manopolas
146/81,Igqira Manillas
148/15,Eisenhentzes
149/9,Lord's Gauntlets
150/33,Hachiman Kote
150/34,Blessed Mitts
151/44,Wise Gloves
153/15,Unicorn Mittens
153/52,Trader's Cuffs
154/57,Alumine Moufles
154/119,Black Gadlings
157/83,Nashira Gages
158/20,Homam Manopolas
158/88,Trader's Cuffs (Black)
158/123,Crow Bracers
153/99,Hydra Moufles
160/63,Hydra Bracers
163/8,Sipahi Dastanas
163/9,Jaridah Bazubands
165/126,Amir Kolluks
165/127,Pahluwan Dastanas
166/0,Yigit Gages
174/70,Ares's Gauntlets
174/71,Skadi's Bazubands
175/90,Usukane Gote
175/91,Marduk's Dastanas
175/92,Morrigan's Cuffs
182/89,Goliard Cuffs
182/8,Denali Wristbands
182/88,Askar Manopolas
185/92,Shadow Gauntlets
185/125,Shadow Cuffs
199/50,Cobra Unit Gloves
200/81,Cobra Unit Mittens
201/24,Iron Ram Dastanas
198/111,Fourth Division Hentzes
196/115,Bastokan Armor
195/82,Orcish Gauntlets
207/32,Hachiryu Kote
219/63,Gothic Gauntlets
225/56,Synergy Gloves
235/87,Ebon Dastanas
235/88,Furia Dastanas
235/89,Ebur Dastanas
235/90,Ebon Mufflers
235/91,Furia Mufflers
235/92,Ebur Mufflers
235/93,Ebon Moufles
235/94,Furia Moufles
235/95,Ebur Moufles
235/96,Ebon Gauntlets
235/97,Furia Gauntlets
235/98,Ebur Gauntlets
227/118,Ebon Gloves
227/119,Furia Gloves
227/120,Ebur Gloves
227/121,Ebon Bracers
227/122,Furia Bracers
227/123,Ebur Bracers
227/124,Shikkoku Kote
227/125,Shinku Kote
227/126,Ginhaku Kote
227/127,Ebon Wristbands
229/112,Furia Wristbands
229/113,Ebur Wristbands
232/33,Ebon Gants
232/34,Furia Gants
232/35,Ebur Gants
232/36,Ebon Cuffs
232/37,Furia Cuffs
232/38,Ebur Cuffs
232/39,Ebon Gages
232/40,Furia Gages
232/41,Ebur Gages
232/42,Ebon Mitts
232/43,Furia Mitts
232/44,Ebur Mitts
247/92,Serpentes Cuffs
247/93,Praeda Gauntlets
247/94,Timarli Dastanas
247/95,Augur's Gloves
247/96,Ocelot Gloves
247/97,Perle Moufles
247/98,Teal Cuffs
247/99,Aurore Gloves
241/18,Goetia Gloves (BLM AF3)
241/19,Creed Gauntlets (PLD AF3)
244/1,Ravager's Mufflers (WAR AF3)
244/2,Estoqueur's Gantherots (RDM AF3)
251/50,Tantra Gloves (MNK AF3)
251/51,Raider's Armlets (THF AF3)
251/52,Bale Gauntlets (DRK AF3)
251/53,Ferine Manoplas (BST AF3)
251/54,Aoidos' Manchettes (BRD AF3)
251/55,Unkai Kote (SAM AF3)
251/56,Iga Tekko (NIN AF3)
251/57,Lancer Vambraces (DRG AF3)
251/58,Mavi Bazuband (BLU AF3)
251/59,Navarch's Gants (COR AF3)
251/60,Cirque Guanti (PUP AF3)
251/61,Savant's Bracers (SCH AF3)
254/25,Orison Mitts (WHM AF3)
254/81,Charis Bangles (DNC AF3)
256/31,Sylvan Glovelettes (RNG AF3)
256/32,Caller's Bracers (SMN AF3)
270/74,Brego Gloves
271/55,Ogier's Gauntlets
271/56,Athos's Gloves
271/57,Rubeus Gloves
277/72,Kheper Wristbands
277/73,Paean Cuffs
277/74,Auspex Gages
277/75,Hrafn Gauntlets
277/76,Tenryu Tekko
280/94,Paalaka gloves
280/95,Aneirin's gloves
280/96,Alcedo gauntlets
282/46,Dux Finger Gauntlets
282/47,Chelona Gloves
287/74,Dream Mittens
286/92, Geomancy mitaines (GEO AF1)
292/39, Runeist mitons (RUN AF1)
290/60, Karieyh Moufles
290/61, Thurandaut Gloves
290/62, Orvail Cuffs
290/63, Councilor's cuffs
292/38, Yaoyotl / Quauhpilli
300/125, Mikinaak Gauntlets
300/126, Manibozho Gloves
300/127, Bokwus Gloves
304/21, Buremte Gloves
304/121, Bagua mitaines (GEO AF2)
305/54, Futhark mitons (RUN AF2)
305/55, Gorney Moufles
305/56, Shneddick Gloves
305/57, Weatherspoon Cuffs
310/67, Work Gloves
312/35, Qaaxo Mitaines
312/36, Artsieq Cuffs
312/37, Xaddi Gauntlets
315/59, Erilaz gauntlets (RUN AF3)
324/116, Crusher's Gauntlets
327/7, Azimuth Gloves (GEO AF3)
329/34, Despair finger gauntlets
329/35, Pursuer's cuffs
329/36, Psycloth manillas
329/37, Eschite gauntlets
329/38, Rawhide gloves
329/39, Naga tekko
329/40, Vanya cuffs
335/126, Founder's gauntlets
335/127, Starlet gloves
343/74, Composer's mitts
343/75, Odyssean gauntlets 
343/76, Valorus mitts
346/17, Merlinic dastanas
348/52, Chironic gloves
349/44, Herculean gloves
