32/79,None
32/80,Leather Bandana
32/81,Sallet
32/82,Shinobi Hachigane
32/83,Iron Mask
32/84,Lizard Helm
32/85,Raptor Helm
32/86,Zunari Kabuto
32/87,Royal Squire's Helm
32/88,Royal Knight's Bascinet
32/89,Padded Cap
32/90,Bronze Cap
32/91,Bone Mask
32/92,Hachimaki
32/93,Wool Hat
32/94,Tactician Magician's Hat
32/95,Circlet
32/96,Headgear
32/97,Darksteel Armet
32/98,Red Cap
32/99,Green Beret
32/100,Iron Musketeer's Armet
32/101,Centurion's Visor
32/102,Gavial Mask
32/103,Faceguard
32/104,Mythril Sallet
32/105,Judge's Helm (GM)
32/106,Blue Ribbon
32/107,Purple Ribbon
32/108,Green Ribbon
32/109,Black Ribbon
32/110,Scarlet Ribbon
93/35,Fighter's Mask (WAR AF1)
93/36,Temple Crown (MNK AF1)
93/37,Healer's Cap (WHM AF1)
93/38,Wizard's Petasos (BLM AF1)
93/39,Warlock's Chapeau (RDM AF1)
93/40,Rogue's Bonnet (THF AF1)
95/112,Gallant Coronet (PLD AF1)
95/113,Chaos Burgeonet (DRK AF1)
95/114,Beast Helm (BST AF1)
95/115,Choral Roundlet (BRD AF1)
95/116,Hunter's Beret (RNG AF1)
98/58,Myochin Kabuto (SAM AF1)
98/59,Ninja Hatsuburi (NIN AF1)
98/60,Drachen Armet (DRG AF1)
98/61,Evoker's Horn (SMN AF1)
162/51,Magus Keffiyeh (BLU AF1)
160/96,Corsair's Tricorne (COR AF1)
163/1,Puppetry Taj (PUP AF1)
189/29,Dancer's Tiara (DNC AF1)
189/30,Scholar's Mortarboard (SCH AF1)
120/10,Coeurl Mask
120/11,Adaman Barbuta
120/12,Coral Cap
120/13,Noble's Crown
120/14,Celata
120/15,Arhat's Jinpachi
120/16,Dragon Mask
124/14,Rasetsu Jinpachi
124/15,Crimson Mask
124/16,Adaman Celata
124/17,Ogre Mask
124/18,Koenig Schaller
125/41,War Beret
125/121,Pumpkin Head
125/122,Roshi Jinpachi
125/123,Genbu's Kabuto
125/124,Hecatomb Cap
125/125,Errant Hat
129/1,Tiger Mask
129/2,Wyvern Helm
129/3,Demon Helm
129/4,Shura Zunari Kabuto
129/5,Zenith Crown
129/6,Carapace Helm
129/7,Dusk Mask
129/8,Dragon Cap
131/95,Warrior's Mask (WAR AF2)
131/96,Melee Crown (MNK AF2)
131/97,Cleric's Cap (WHM AF2)
131/98,Sorcerer's Petasos (BLM AF2)
131/99,Duelist's Chapeau (RDM AF2)
131/100,Assassin's Bonnet (THF AF2)
131/101,Valor Coronet (PLD AF2)
131/102,Abyss Burgeonet (DRK AF2)
131/103,Monster Helm (BST AF2)
131/104,Bard's Roundlet (BRD AF2)
131/105,Scout's Beret (RNG AF2)
131/106,Saotome Kabuto (SAM AF2)
131/107,Koga Hatsuburi (NIN AF2)
131/108,Wyrm Armet (DRG AF2)
131/109,Summoner's Horn (SMN AF2)
214/67,Mirage Keffiyeh (BLU AF2)
214/68,Commodore Tricorne (COR AF2)
214/69,Pantin Taj (PUP AF2)
217/115,Etoile Tiara (DNC AF2)
217/73,Argute Mortarboard (SCH AF2)
131/110,Scorpion Helm
131/111,Austere Hat
131/112,Lilac Corsage
137/0,Panther Mask
137/1,Opo-opo Crown
137/2,Magnifying Specs.
137/3,Protective Specs.
137/4,Chef's Hat
137/5,Shaded Specs.
143/111,Garish Crown
143/112,Seer's Crown
143/113,Hydra Beret
143/114,Noct Beret 
145/91,Hydra Tiara
145/92,Shade Tiara
145/93,Bison Warbonnet
145/94,Sha'ir Turban
146/40,Barone Zucchetto
146/79,Igqira Tiara
148/13,Eisenschaller
149/8,Lord's Armet
149/109,Dream Hat
150/30,Hachiman Jinpachi
151/42,Wise Cap
152/65,Orc Helm
152/66,Yagudo Headgear
152/52,Goblin Coif
152/67,Quadav Barbut
153/13,Unicorn Cap
153/50,Trader's Chapeau
154/55,Alumine Salade
154/117,Black Sallet
155/64,Maat's Cap
155/65,Mandragora Beret
155/66,Guide Beret
156/88,Stars Cap
156/104,Laurel Crown
157/81,Nashira Turban
158/18,Homam Zucchetto
158/86,Trader's Chapeau (Black)
158/121,Crow Beret
153/97,Hydra Moufles
160/61,Hydra Cap
163/2,Sipahi Turban
163/3,Jaridah Khud
