@None
33/124,None

@Hand
34/66,Avengers
34/67,Darksteel Katars
34/68,Katars
34/69,Jamadhars
34/70,Exocets
34/71,Darksteel Claws
34/72,Claws
34/73,Mythril Claws
34/74,Cermet Claws
34/75,Cesti
34/76,Lizard Cesti
34/77,Poison Cesti
34/78,Darksteel Knuckles
34/79,Bronze Knuckles
34/80,Brass Knuckles
34/81,Metal Knuckles
34/82,Mythril Knuckles
34/83,Koenigs Knuckles
34/84,Diamond Knuckles
34/85,Manoples
34/86,Gold Patas
34/87,Patas
34/88,Bone Patas
34/89,Cat Baghnakhs
34/90,Brass Baghnakhs
34/91,Baghnakhs
34/92,Rune Baghnakhs
137/35,Spharai
273/73,Spharai (99)
149/19,Adargas
166/7,Sainti
169/112,Darksteel Sainti
171/56,Adaman Sainti
172/9,Black Adargas
173/68,Hades Sainti
204/104,Glanzfaust
273/72,Glanzfaust (99)
204/105,Kenkonken
273/71,Kenkonken (99)
210/23,Shenlong's Baghnakhs
241/119,Verethragna
273/70,Verethragna (99)
245/54,Afflictors
268/53,Girru
280/101,Blutkrallen
293/79,Tlalpoloani
303/41,Forefront Cesti
314/91,Worm Feelers
318/127,Ohrmazd
328/14,Blurred claws
328/15,Nibiru sainti
340/125,Denouements
342/100,Godhands
352/100,Aphelion Knuckles
355/68,Premium Mogti
355/122,Sagitta (su5)
359/1,Kaja Knuckles
360/14,Karambit

@Dagger
34/106,Valiant Knife
34/107,Darksteel Knife
34/108,Bronze Knife
34/109,Knife
34/110,Mythril Knife
34/111,Cermet Knife
34/112,Misericorde
34/113,Bronze Dagger
34/114,Brass Dagger
34/115,Dagger
34/116,Mythril Dagger
34/117,Darksteel Baselard
34/118,Baselard
34/119,Mythril Baselard
34/120,Darksteel Kukri
34/121,Kukri
34/122,Mythril Kukri
34/123,Cermet Kukri
34/124,Heart Snatcher
34/125,Parrying Knife
34/126,Combat Caster's Dagger
34/127,Kris
35/0,Triple Dagger
35/1,Bone Knife
98/85,Kard
137/21,Mandau
274/44,Mandau (99)
137/33,Raetic Kris
147/123,Harpe
163/105,Jambiya
172/8,Supernal Knife
173/27,Matron's Knife
175/5,Khimaira Jambiya
199/123,Darksteel Jambiya
199/124,Thug's Jambiya
204/96,Vajra
274/59,Vajra (99)
204/101,Carnwenhan
274/63,Carnwenhan (99)
204/102,Terpsichore
274/69,Terpsichore (99)
210/12,Azoth
219/16,Ermine's Tail
226/125,Machismo
245/52,Twashtar
274/71,Twashtar (99)
245/112,Auric Dagger
262/4,Twilight Dagger
264/93,Mantodea Harpe
266/6,Lux Pugio
266/75,Coruscanti
269/44,Asteria
280/17,Blustery Dagger
281/31,Sandung
289/89,Coalition Dirk
291/69,Izhiikoh
307/123,Camaraderie dagger
319/41,Ipetam
324/122,Rhadamanthus
327/12,Odium
329/55,Nibiru knife
343/82,Sangoma
343/84,Aeneas
354/22,Chicken Knife II
356/38,Gandring (su5)
358/33,Aern Dagger
358/99,Qutrub Dagger
359/38,Kaja Knife
360/45,Tauret
362/40,Wind Knife
362/105,Norgish Dagger
362/106,Esikuva

@Sword
35/2,Colichemarde
35/3,Small Sword
35/4,Bilbo
35/5,Junior Musketeer's Tuck
35/6,Joyeuse
35/7,Schlaeger
35/8,Duel Rapier
35/9,Degen
35/10,Mythril Degen
35/11,Epee
35/12,Fleuret
35/13,Schwert
