@Battle
32/13-21;98/55,Battle
108/100-103,Dual Wield (Sub)
108/112-115,Dual Wield (Main)
@Emote
32/40-44;123/15;136/119-121,Emote
259/82;111-119,Job Emotes
@General
32/45,Logging
90/14,Chocobo
90/15,Fishing
123/13,Mining
123/14,Harvesting
143/47;143/68,Goldfish Scooping
198/3,Dancing
223/84-86,Bell Ringing
@Ability
76/104-105,Steal
76/106-107,Mug
76/108;95/5-7,Bash
100/56-70,Jump
168/26,Tomahawk
168/27,Angon
@Hand-to-Hand
76/39,Combo
76/40,Shoulder Tackle
76/41,One Inch Punch
76/42,Backhand Blow
76/43,Raging Fists
76/44,Spinning Attack
76/45,Howling Fist
100/20,Dragon Kick
100/21,Asuran Fists
139/74,Final Heaven
206/31,Ascetic's Fury
207/57,Stinging Pummel
242/67,Tornado Kick
255/47,Victory Smite
272/32,Shijin Spiral
@Dagger
76/46,Wasp Sting
76/47,Viper Bite
76/48,Shadowstitch
76/49,Gust Slash
76/50,Cyclone
76/51,Energy Steal
76/52,Energy Drain
76/53,Dancing Edge
100/22,Shark Bite
100/23,Evisceration
139/75,Mercy Stroke
207/58,Mandalic Stab
206/32,Mordant Rime
207/59,Pyrrhic Kleos
242/68,Aeolian Edge
257/78,Rudra's Storm
268/63,Exenterator
@Sword
76/30,Fast Blade
76/31,Burning Blade
76/32,Red Lotus Blade
76/35,Flat Blade
76/33,Shining Blade
76/34,Seraph Blade
76/36,Circle Blade
76/37,Spirits Within
76/38,Vorpal Blade
100/18,Swift Blade
100/19,Savage Blade
139/73,Knights of Round
207/55,Death Blossom
207/56,Atonement
206/30,Expiacion
240/57,Glory Slash
240/3,Uriel Blade
244/61,Sanguine Blade
255/51,Chant du Cygne
268/62,Requiescat
@Club
76/68,Shining Strike
76/69,Seraph Strike
76/70,Brainshaker
76/71,Starlight
76/72,Moonlight
76/73,Skullbreaker
76/74,True Strike
76/75,Judgment
100/28,Hexa Strike
100/29,Black Halo
139/78,Randgrith
206/34,Mystic Boon
242/70,Flash Nova
257/75,Dagan
269/71,Realmrazer
@Axe
76/54,Raging Axe
76/55,Smash Axe
76/56,Gale Axe
76/57,Avalanche Axe
76/58,Spinning Axe
76/59,Rampage
76/60,Calamity
100/24,Mistral Axe
100/25,Decimation
139/76,Onslaught
206/33,Primal Rend
244/58,Bora Axe
255/48,Cloudsplitter
269/93,Ruinator
@Katana
100/38,Blade: Rin
100/39,Blade: Retsu
100/40,Blade: Teki
100/41,Blade: To
100/42,Blade: Chi
100/43,Blade: Ei
100/44,Blade: Jin
100/45,Blade: Ten
100/46,Blade: Ku
139/83,Blade: Metsu
207/66,Blade: Kamu
242/73,Blade: Yu
256/91,Blade: Hi
270/113,Blade: Shun
@G. Sword
76/83,Hard Slash
76/84,Power Slash
76/85,Frostbite
76/86,Freezebite
76/87,Shockwave
76/88,Crescent Moon
76/89,Sickle Moon
100/32,Spinning Slash
100/33,Ground Strike
139/80,Scourge
242/72,Herculean Slash
255/49,Torcleaver
270/7,Resolution
@Staff
