28/7,None
28/37,Judge's Cuirass (GM)
28/15,Race Specific
28/38,Race Specific 2
28/8,Leather Vest
28/9,Breastplate
28/10,Tunic
28/11,Shinobi Gi
28/12,Chainmail
28/13,Lizard Jerkin
28/14,Raptor Jerkin
28/16,Hara-Ate
28/17,Cloak
28/18,Silk Cloak
28/19,Royal Squire's Chainmail
28/20,Royal Knight's Chainmail
28/21,Padded Armor
28/22,Bronze Harness
28/23,Bone Harness
28/24,Kenpogi
28/25,Wool Robe
28/26,Tactician Magician's Coat
28/27,Robe
28/28,Doublet
28/29,Darksteel Cuirass
28/30,Gambison
28/31,Battle Jupon
28/32,Iron Musketeer's Cuirass
28/33,Centurion's Scale Mail
28/34,Gavial Mail
28/35,Scale Mail
28/36,Mythril Breastplate
28/39,Assault Breastplate
28/40,Cardinal Vest
28/41,Scorpion Harness
28/42,Demon's Harness
28/43,Lord's Cuirass
28/44,Jujitsu Gi
28/45,Royal Knight's Aketon
28/46,Aketon
28/47,Haubergeon
28/48,Byrnie
28/49,War Shinobi Gi
28/50,Earth Doublet
28/51,Brigandine
93/5,Justaucorps
93/6,Black Cloak
93/7,Vermillion Cloak
93/8,Blue Cotehardie
93/9,Black Cotehardie
118/122,Tiger Jerkin
118/123,Iron Scale Mail
119/100,Steel Scale Mail
119/101,Coeurl Jerkin
119/102,Adaman Cuirass
119/103,Coral Harness
119/104,Noble's Tunic
119/105,Hauberk
119/106,Arhat's Gi
119/107,Dragon Mail
123/122,Rasetsu Samue
123/123,Crimson Scale Mail
123/124,Adaman Hauberk
123/125,Ogre Jerkin
123/126,Koenig Cuirass
125/37,War Aketon
125/83,Holy Breastplate
125/84,Yasha Samue
125/85,Kirin's Osode
125/86,Hecatomb Harness
125/87,Errant Houppelande
125/88,Fisherman's Tunica
125/89,Chocobo Jack Coat
125/90,Vagabond's Tunica
128/107,Field Tunica
128/108,Shura Togi
128/109,Dalmatica
128/110,Carapace Breastplate
128/111,Dusk Jerkin
128/112,Dragon Harness
