28/116,None
157/43,Invisible
28/117,Leather Highboots
28/118,Plate Leggings
28/119,Solea
28/120,Shinobi Kyahan
28/121,Greaves
28/122,Lizard Ledelsens
28/123,Raptor Ledelsens
28/124,Hume M Boots
28/125,Sune-Ate
28/126,Shoes
28/127,Moccasins
29/0,Royal Squire's Sollerets
29/1,Royal Knight's Sollerets
29/2,Leggings
29/3,Bronze Leggings
29/4,Bone Leggings
29/5,Kyahan
29/6,Chestnut Sabots
29/7,Tactician Magician's Pigaches
29/8,Ash Clogs
29/9,Gaiters
29/10,Darksteel Sabatons
29/11,Socks
29/12,Battle Boots
29/13,Iron Musketeer's Sabatons
29/14,Centurion's Greaves
29/15,Gavial Greaves
29/16,Scale Greaves
29/17,Mythril Leggings
29/18,Judge's Greaves (GM)
29/19,Custom M Boots
93/28,Fighter's Calligae (WAR AF1)
93/29,Temple Hose (MNK AF1)
93/30,Healer's Duckbills (WHM AF1)
93/31,Wizard's Sabots (BLM AF1)
93/32,Warlock's Boots (RDM AF1)
93/33,Rogue's Poulaines (THF AF1)
95/107,Gallant Leggings (PLD AF1)
95/108,Chaos Sollerets (DRK AF1)
95/109,Beast Gaiters (BST AF1)
95/110,Choral Slippers (BRD AF1)
95/111,Hunter's Socks (RNG AF1)
98/43,Myochin Sune-Ate (SAM AF1)
98/44,Ninja Kyahan (NIN AF1)
98/45,Drachen Greaves (DRG AF1)
98/46,Evoker's Pigaches (SMN AF1)
157/61,Magus Charuqs (BLU AF1)
160/95,Corsair's Bottes (COR AF1)
163/95,Puppetry Babouches (PUP AF1)
189/27,Dancer's Shoes (DNC AF1)
189/28,Scholar's Loafers (SCH AF1)
119/0,Tiger Ledelsens
119/1,Iron Greaves
119/124,Steel Greaves
119/125,Coeurl Ledelsens
119/126,Adaman Sabatons
119/127,Coral Leggings
120/0,Noble's Pumps
120/1,Thick Sollerets
120/2,Arhat's Sune-Ate
120/3,Dragon Greaves
124/9,Rasetsu Sune-Ate
124/10,Crimson Greaves
124/11,Adaman Sollerets
124/12,Ogre Ledelsens
124/13,Koenig Schuhs
125/40,War Boots
124/9,Yasha Sune-Ate
125/105,Suzaku's Sune-Ate
125/106,Hecatomb Leggings
125/107,Errant Pigaches
125/108,Fisherman's Boots
125/109,Chocobo Boots
125/110,Vagabond's Boots
128/124,Field Boots
128/125,Shura Sune-Ate
128/126,Zenith Pumps
128/127,Dusk Ledelsens
129/0,Dragon Leggings
131/79,Warrior's Calligae (WAR AF2)
131/80,Melee Gaiters (MNK AF2)
131/81,Cleric's Duckbills (WHM AF2)
131/82,Sorcerer's Sabots (BLM AF2)
131/83,Duelist's Boots (RDM AF2)
131/84,Assassin's Poulaines (THF AF2)
131/85,Valor Leggings (PLD AF2)
131/86,Abyss Sollerets (DRK AF2)
131/87,Monster Gaiters (BST AF2)
131/88,Bard's Slippers (BRD AF2)
131/89,Scout's Socks (RNG AF2)
131/90,Saotome Sune-Ate (SAM AF2)
131/91,Koga Kyahan (NIN AF2)
131/92,Wyrm Greaves (DRG AF2)
131/93,Summoner's Pigaches (SMN AF2)
212/42,Mirage Charuqs (BLU AF2)
214/24,Commodore Bottes (COR AF2)
212/43,Pantin Babouches (PUP AF2)
217/114,Etoile Shoes (DNC AF2)
217/71,Argute Loafers (SCH AF2)
131/94,Austere Sabots
136/101,Waders
143/97,Hydra Spats
143/98,Shade Leggings
143/99,Garish Pumps
143/100,Seer's Pumps
143/101,Hydra Gaiters
143/102,Noct Gaiters
145/89,Bison Gamashes
145/90,Sha'ir Crackows
146/39,Barone Gambieras
146/78,Igqira Huaraches
148/12,Eisenschuhs
148/127,Lord's Sabatons
150/25,Hachiman Sune-Ate
150/26,Blessed Pumps
151/41,Wise Pigaches
153/12,Unicorn Leggings
153/49,Trader's Pigaches
154/53,Alumine Solerets
154/116,Black Sollerets
157/79,Nashira Crackows
158/14,Homam Gambieras
158/85,Trader's Pigaches (Black)
158/120,Crow Gaiters
153/90,Hydra Sollerets
160/60,Hydra Boots
161/31,Sipahi Boots
161/33,Jaridah Nails
161/32,Amir Boots
165/32,Pahluwan Crackows
164/109,Yigit Crackows
164/108,Volunteer's Armor
174/37,Ares's Sollerets
174/38,Skadi's Jambeaux
174/61,Usukane Sune-Ate
