28/52,None
157/42,Invisible
28/53,Leather Gloves
28/54,Gauntlets
28/55,Mitts
28/56,Shinobi Tekko
28/57,Chain Mittens
28/58,Lizard Gloves
28/59,Raptor Gloves
28/60,Hume M Gloves
28/61,Kote
28/62,Linen Mitts
28/63,Black Mitts
28/64,Royal Squire's Mufflers
28/65,Royal Knight's Mufflers
28/66,Iron Mittens
28/67,Bronze Mittens
28/68,Bone Mittens
28/69,Tekko
28/70,Wool Cuffs
28/71,Tactician Magician's Cuffs
28/72,Cuffs
28/73,Gloves
28/74,Darksteel Gauntlets
28/75,Bracers
28/76,Battle Bracers
28/77,Iron Musketeer's Gauntlets
28/78,Centurion's Finger Gauntlets
28/79,Gavial Finger Gauntlets
28/80,Scale Finger Gauntlets
28/81,Mythril Gauntlets
28/82,Judge's Gauntlets (GM)
28/83,Custom M Gloves
93/16,Fighter's Mufflers (WAR AF1)
93/17,Temple Gloves (MNK AF1)
93/18,Healer's Mitts (WHM AF1)
93/19,Wizard's Gloves (BLM AF1)
93/20,Warlock's Gloves (RDM AF1)
93/21,Rogue's Armlets (THF AF1)
95/97,Gallant Gauntlets (PLD AF1)
95/98,Chaos Gauntlets (DRK AF1)
95/99,Beast Gloves (BST AF1)
95/100,Choral Cuffs (BRD AF1)
95/101,Hunter's Bracers (RNG AF1)
98/35,Myochin Kote (SAM AF1)
98/36,Ninja Tekko (NIN AF1)
98/37,Drachen Finger Gauntlets (DRG AF1)
98/38,Evoker's Bracers (SMN AF1)
157/59,Magus Bazubands (BLU AF1)
160/93,Corsair's Gants (COR AF1)
163/93,Puppetry Dastanas (PUP AF1)
189/23,Dancer's Bangles (DNC AF1)
189/24,Scholar's Bracers (SCH AF1)
118/124,Tiger Gloves
118/125,Iron Finger Gauntlets
119/108,Steel Finger Gauntlets
119/109,Coeurl Gloves
119/110,Adaman Gauntlets
119/111,Coral Mittens
119/112,Noble's Mitts
119/113,Thick Mufflers
119/114,Arhat's Tekko
119/115,Dragon Finger Gauntlets
123/127,Rasetsu Tekko
124/0,Crimson Finger Gauntlets
124/1,Adaman Mufflers
124/2,Ogre Gloves
124/3,Koenig Handschuhs
125/38,War Gloves
125/91,Yasha Tekko
125/92,Seiryu's Kote
125/93,Hecatomb Mittens
125/94,Errant Cuffs
125/95,Fisherman's Gloves
125/96,Chocobo Gloves
125/97,Vagabond's Gloves
128/113,Field Gloves
128/114,Shura Kote
128/115,Zenith Mitts
128/116,Carapace Gauntlets
128/117,Dusk Gloves
128/118,Dragon Mittens
131/46,Warrior's Mufflers (WAR AF2)
131/47,Melee Gloves (MNK AF2)
131/48,Cleric's Mitts (WHM AF2)
131/49,Sorcerer's Gloves (BLM AF2)
131/50,Duelist's Gloves (RDM AF2)
131/51,Assassin's Armlets (THF AF2)
131/52,Valor Gauntlets (PLD AF2)
131/53,Abyss Gauntlets (DRK AF2)
131/54,Monster Gloves (BST AF2)
131/55,Bard's Cuffs (BRD AF2)
131/56,Scout's Bracers (RNG AF2)
131/57,Saotome Kote (SAM AF2)
131/58,Koga Tekko (NIN AF2)
131/59,Wyrm Finger Gauntlets (DRG AF2)
131/60,Summoner's Bracers (SMN AF2)
212/38,Mirage Bazubands (BLU AF2)
214/22,Commodore Gants (COR AF2)
212/39,Pantin Dastanas (PUP AF2)
217/112,Etoile Bangles (DNC AF2)
217/69,Argute Bracers (SCH AF2)
131/61,Scorpion Gauntlets
131/62,Austere Cuffs
136/99,Carpenter's Gloves
136/100,Smithy's Mitts 
143/85,Hydra Mitts
143/86,Shade Mittens
143/87,Garish Mitts
143/88,Seer's Mitts
143/89,Hydra Gloves
143/90,Noct Gloves
145/85,Bison Wristbands
145/86,Sha'ir Gages
146/37,Barone Manopolas
146/76,Igqira Manillas
148/10,Eisenhentzes
148/125,Lord's Gauntlets
150/21,Hachiman Kote
150/22,Blessed Mitts
151/39,Wise Gloves
153/10,Unicorn Mittens
153/47,Trader's Cuffs
154/51,Alumine Moufles
154/114,Black Gadlings
157/77,Nashira Gages
158/12,Homam Manopolas
158/83,Trader's Cuffs (Black)
158/118,Crow Bracers
153/88,Hydra Moufles
160/58,Hydra Bracers
161/25,Sipahi Dastanas
