28/84,None
157/43,Invisible
28/85,Leather Trousers
28/86,Cuisses
28/87,Slacks
28/88,Shinobi Hakama
28/89,Chain Hose
28/90,Lizard Trousers
28/91,Raptor Trousers
28/92,Hume Slacks
28/93,Haidate
28/94,Linen Slacks
28/95,White Slacks
28/96,Royal Squire's Breeches
28/97,Royal Knight's Breeches
28/98,Iron Subligar
28/99,Bronze Subligar
28/100,Bone Subligar
28/101,Sitabaki
28/102,Wool Slops
28/103,Tactician Magician's Slops
28/104,Slops
28/105,Brais
28/106,Darksteel Cuisses
28/107,Hose
28/108,Battle Hose
28/109,Iron Musketeer's Cuisses
28/110,Centurion's Cuisses
28/111,Gavial Cuisses
28/112,Scale Cuisses
28/113,Mythril Cuisses
28/114,Judge's Cuisses (GM)
28/115,Custom Slacks
93/22,Fighter's Cuisses (WAR AF1)
93/23,Temple Gaiters (MNK AF1)
93/24,Healer's Pantaloons (WHM AF1)
93/25,Wizard's Tonban (BLM AF1)
93/26,Warlock's Tights (RDM AF1)
93/27,Rogue's Culotte (THF AF1)
95/102,Gallant Breeches (PLD AF1)
95/103,Chaos Flanchard (DRK AF1)
95/104,Beast Trousers (BST AF1)
95/105,Choral Cannions (BRD AF1)
95/106,Hunter's Braccae (RNG AF1)
98/39,Myochin Haidate (SAM AF1)
98/40,Ninja Hakama (NIN AF1)
98/41,Drachen Brais (DRG AF1)
98/42,Evoker's Spats (SMN AF1)
157/60,Magus Shalwar (BLU AF1)
160/94,Corsair's Culotte (COR AF1)
163/94,Puppetry Churidars (PUP AF1)
189/25,Dancer's Tights (DNC AF1)
189/26,Scholar's Pants (SCH AF1)
118/126,Tiger Trousers
118/127,Iron Cuisses
119/116,Steel Cuisses
119/117,Coeurl Trousers
119/118,Adaman Cuisses
119/119,Coral Subligar
119/120,Noble's Slacks
119/121,Thick Breeches
119/122,Arhat's Hakama
119/123,Dragon Cuisses
124/4,Rasetsu Hakama
124/5,Crimson Cuisses
124/6,Adaman Breeches
124/7,Ogre Trousers
124/8,Koenig Diechlings
125/39,War Brais
125/98,Yasha Hakama
125/99,Byakko's Haidate
125/100,Hecatomb Subligar
125/101,Errant Slops
125/102,Fisherman's Hose
125/103,Chocobo Hose
125/104,Vagabond's Hose
128/119,Field Hose
128/120,Shura Haidate
128/121,Zenith Slacks
128/122,Dusk Trousers
128/123,Dragon Subligar
131/63,Warrior's Cuisses (WAR AF2)
131/64,Melee Hose (MNK AF2)
131/65,Cleric's Pantaloons (WHM AF2)
131/66,Sorcerer's Tonban (BLM AF2)
131/67,Duelist's Tights (RDM AF2)
131/68,Assassin's Culotte (THF AF2)
131/69,Valor Breeches (PLD AF2)
131/70,Abyss Flanchard (DRK AF2)
131/71,Monster Trousers (BST AF2)
131/72,Bard's Cannions (BRD AF2)
131/73,Scout's Braccae (RNG AF2)
131/74,Saotome Haidate (SAM AF2)
131/75,Koga Hakama (NIN AF2)
131/76,Wyrm Brais (DRG AF2)
131/77,Summoner's Spats (SMN AF2)
212/40,Mirage Shalwar (BLU AF2)
214/23,Commodore Culotte (COR AF2)
212/41,Pantin Churidars (PUP AF2)
217/113,Etoile Tights (DNC AF2)
217/70,Argute Pants (SCH AF2)
131/78,Austere Slops
143/91,Hydra Tights
143/92,Shade Tights
143/93,Garish Slacks
143/94,Seer's Slacks
143/95,Hydra Brais
143/96,Noct Brais
145/87,Bison Kecks
145/88,Sha'ir Seraweels
146/38,Barone Cosciales
146/77,Igqira Lappa
148/11,Eisendiechlings
148/126,Lord's Cuisses
149/124,Zodiac Subligar
149/117,Vir Subligar
150/23,Hachiman Hakama
150/24,Blessed Trousers
151/40,Wise Braconi
153/11,Unicorn Subligar
153/48,Trader's Slops
154/52,Alumine Brayettes
154/115,Black Cuisses
157/78,Nashira Seraweels
158/13,Homam Cosciales
158/84,Trader's Slops (Black)
158/119,Crow Hose
153/89,Hydra Brayettes
160/59,Hydra Hose
161/28,Sipahi Zerehs
161/30,Jaridah Salvars
164/106,Volunteer's Armor
161/29,Amir Dirs
165/31,Pahluwan Seraweels
164/107,Yigit Seraweels
157/21,Hume Trunks
174/35,Ares's Flanchard
174/36,Skadi's Chausses
174/58,Usukane Hizayoroi
174/59,Marduk's Shalwar
174/60,Morrigan's Slops
182/73,Goliard Trews
182/3,Denali Kecks
182/72,Askar Dirs
185/86,Shadow Cuishes
185/87,Shadow Trews
199/46,Cobra Unit Trousers
200/75,Cobra Unit Slops
201/18,Iron Ram Breeches
198/109,Fourth Division Breeches
196/65,Bastokan Armor
204/63,Custom Trunks
207/29,Hachiryu Haidate
218/126,Benedight Hose
225/13,Blizter Poleyn
225/14,Desultor Tassets
225/15,Tatsumaki Sitagoromo
235/39,Ebon Cuisses
235/40,Furia Cuisses
235/41,Ebur Cuisses
235/42,Ebon Breeches
235/43,Furia Breeches
235/44,Ebur Breeches
235/45,Ebon Brayettes
235/46,Furia Brayettes
235/47,Ebur Brayettes
235/48,Ebon Hose
235/49,Furia Hose
235/50,Ebur Hose
227/77,Ebon Brias
227/78,Furia Brias
227/79,Ebur Brias
227/80,Ebon Braccae
227/81,Furia Braccae
227/82,Ebur Braccae
227/83,Shikkoku Haidate
227/84,Shinku Haidate
227/85,Ginhaku Haidate
227/86,Ebon Tights
229/104,Furia Tights
229/105,Ebur Tights
231/113,Ebon Slacks
231/114,Furia Slacks
231/115,Ebur Slacks
231/116,Ebon Pants
231/117,Furia Pants
231/118,Ebur Pants
231/119,Ebon Spats
231/120,Furia Spats
231/121,Ebur Spats
231/122,Ebon Slops
231/123,Furia Slops
231/124,Ebur Slops
238/109,Dinner Hose
239/42,Purple Tights
247/70,Teutates Subligar
247/71,Torrent Subligar
247/72,Wicca Subligar
247/73,Augur's Brais
247/74,Ocelot Trousers
220/72,Perle Brayettes
