@None
31/26,None

@Shield
31/27,Unknown Shield 1
31/28,Unknown Shield 2
31/29,Ritter Shield
31/30,Caballero Shield
31/31,Kite Shield
31/32,Heater Shield
31/33,Royal Knight Army Shield
31/34,Temple Knight Army Shield
31/35,Royal Guard's Shield
31/36,Darksteel Shield
31/37,Shell Shield
31/38,Tatami Shield
31/39,Scutum
31/40,Tower Shield
31/41,Faerie Shield
31/42,Maple Shield
31/43,Lauan Shield
31/44,Oak Shield
31/45,Elm Shield
31/46,Mahogany Shield
31/47,Aspis
31/48,Gold Buckler
31/49,Targe
31/50,Buckler
31/51,Darksteel Buckler
31/52,Frost Shield
122/66,General's Shield
122/67,Koenig Shield
130/57,Acheron Shield
155/82,Aegis
273/6,Aegis (99)
155/96,Genbu's Shield
164/117,Tariqah
164/118,Januwiyah
215/110,Kupo Shield
215/111,Nomad Shield
245/76,Seigneur Shield
261/94,Ochain
273/7,Ochain (99)
278/122,Adamas
284/7,Mandraguard
288/93,Janus Guard
306/38,Glinting Shield
307/27,Camaraderie shield
307/28,Slime shield
314/31,Mundus Shield
314/32,She-Slime Shield
314/33,Metal Slime Shield
314/34,Hatchling Shield
316/64,Morbol shield
319/107,Svalinn
331/96,Nibiru shield
331/97,Blurred shield
341/30,Culminus
344/122,Srivatsa
320/95,Cait Sith guard
354/28-35,Crafting Shield
355/40,Diamond Buckler
355/95,Kam'lanaut's Shield
361/32,Dullahan Shield
361/33,Cassie's Shield
362/2,Sacro Bulwark

@Hand
31/53,Avengers
31/54,Darksteel Katars
31/55,Katars
31/56,Jamadhars
31/57,Exocets
31/58,Darksteel Claws
31/59,Claws
31/60,Mythril Claws
31/61,Cermet Claws
31/62,Cesti
31/63,Lizard Cesti
31/64,Poison Cesti
31/65,Darksteel Knuckles
31/66,Bronze Knuckles
31/67,Brass Knuckles
31/68,Metal Knuckles
31/69,Mythril Knuckles
31/70,Koenigs Knuckles
31/71,Diamond Knuckles
31/72,Manoples
31/73,Gold Patas
31/74,Patas
31/75,Bone Patas
31/76,Cat Baghnakhs
31/77,Brass Baghnakhs
31/78,Baghnakhs
31/79,Rune Baghnakhs
142/14,Spharai
273/10,Spharai (99)
149/81,Adargas
166/88,Sainti
170/2,Darksteel Sainti
171/94,Adaman Sainti
172/42,Black Adargas
173/74,Hades Sainti
203/101,Glanzfaust
273/9,Glanzfaust (99)
203/102,Kenkonken
280/8,Kenkonken (99)
210/100,Shenlong's Baghnakhs
242/19,Verethragna
273/8,Verethragna (99)
245/79,Afflictors
269/36,Girru
281/20,Blutkrallen
293/85,Tlalpoloani
304/66,Forefront Cesti
314/97,Worm Feelers
319/23,Ohrmazd
328/62,Blurred claws
328/63,Nibiru sainti
341/9,Denouements
342/124,Godhands
352/106,Aphelion Knuckles
355/74,Premium Mogti
356/12,Sharanga (su5)
359/19,Kaja Knuckles
360/26,Karambit

@Dagger
109/30,Valiant Knife
109/31,Darksteel Knife
109/32,Bronze Knife
109/33,Knife
109/34,Mythril Knife
109/35,Cermet Knife
109/36,Misericorde
109/37,Bronze Dagger
109/38,Brass Dagger
109/39,Dagger
109/40,Mythril Dagger
109/41,Darksteel Baselard
109/42,Baselard
109/43,Mythril Baselard
109/44,Darksteel Kukri
109/45,Kukri
109/46,Mythril Kukri
109/47,Cermet Kukri
109/48,Heart Snatcher
109/49,Parrying Knife
109/50,Combat Caster's Dagger
109/51,Kris
109/52,Triple Dagger
109/53,Bone Knife
110/18,Kard
142/8,Mandau
273/49,Mandau (99)
142/12,Raetic Kris
148/1,Harpe
164/26,Jambiya
172/41,Supernal Knife
173/33,Matron's Knife
175/17,Khimaira Jambiya
200/40,Darksteel Jambiya
200/41,Thug's Jambiya
203/100,Vajra
273/56,Vajra (99)
203/127,Carnwenhan
273/59,Carnwenhan (99)
205/85,Terpsichore
273/62,Terpsichore (99)
210/95,Azoth
219/40,Ermine's Tail
227/31,Machismo
245/77,Twashtar
273/63,Twashtar (99)
246/32,Auric Dagger
262/10,Twilight Dagger
264/121,Mantodea Harpe
266/42,Lux Pugio
266/81,Coruscanti
269/50,Asteria
280/23,Blustery Dagger
281/55,Sandung
290/3,Coalition Dirk
292/1,Izhiikoh
308/49,Camaraderie dagger
319/108,Ipetam
325/68,Rhadamanthus
327/74,Odium
331/98,Nibiru knife
344/123,Sangoma
344/124,Aeneas
354/36,Chicken Knife II 
356/112,Gandring (su5)
358/68,Aern Dagger
358/111,Qutrub Dagger
359/104,Kaja Knife
360/111,Tauret
362/77,Wind Knife
363/6,Norgish Dagger
363/7,Esikuva

@Sword
109/54,Colichemarde
109/55,Small Sword
109/56,Bilbo
109/57,Junior Musketeer's Tuck
109/58,Joyeuse
109/59,Schlaeger
109/60,Duel Rapier
109/61,Degen
109/62,Mythril Degen
109/63,Epee
109/64,Fleuret
109/65,Schwert
109/66,Royal Guard's Fleuret
109/98,Spatha
109/99,Gold Sword
109/100,Longsword
109/101,Knight's Sword
109/102,Saber
109/103,Rune Blade
109/104,Sapara
109/105,Scimitar
109/106,Tulwar
109/107,Hanger
109/108,Ridill
109/109,Darksteel Falchion
109/110,Platinum Cutlass
109/111,Falchion
109/112,Cutlass
109/113,Xiphos
109/114,Brass Xiphos
109/115,Gladius
109/116,Darksteel Sword
109/117,Bronze Sword
109/118,Jagdplaute
109/119,Iron Sword
109/120,Mythril Sword
109/121,Dainslaif
109/122,Cermet Sword
109/123,Anelace
109/124,Katzbalger
109/125,Broadsword
109/126,Coral Sword
109/127,Hrotti
110/0,Bastard Sword
110/1,Hunting Sword
110/2,Espadon
110/3,Nadrs
110/4,Ancient Sword
110/5,Kaiser Sword
110/6,Dissector
110/7,Holy Sword
110/8,Gluttony Sword
110/9,Wing Sword
142/7,Excalibur
273/50,Excalibur (99)
150/102,Shotel
164/25,Kilij
164/119,Macuahuitl
170/1,Darksteel Kilij
170/126,Adaman Kilij
171/93,Sanguine Sword
175/18,Hauteclaire
183/97,Cermet Kilij
184/96,Hofud
203/96,Unknown Sword
203/97,Tizona
273/61,Tizona (99)
203/98,Murgleis
273/55,Murgleis (99)
203/126,Burtgang
273/57,Burtgang (99)
210/96,Fragarach
211/88,Organics
227/32,Concordia
242/18,Almace
273/64,Almace (99)
246/33,Tyrfing
263/105,Sagasinger
266/104,Ephemeron
279/72,Sanus Ensis
279/73,Ark Saber
279/74,Ark Sword
290/4,Coalition blade
292/2,Buramenk'ah
308/50,Camaraderie blade 
319/109,Claidheamh Soluis
325/69,Acclimator
327/73,Excalipoor
331/99,Nibiru blade
334/112,Medeina kilij
336/126,Brilliance
337/0,Vampirism
341/31,Fettering blade
341/93,Reikiko
344/125,Sequence
352/4,Fermion sword
353/95,Firetongue
354/1,Onion Sword II
354/102,Blizzard Brand
355/19,Save the Queen II
355/112,Kam'lanaut's Sword
356/115,Crocea Mors (su5)
357/26,Unused Sword (su5)
358/67,Aern Sword
359/105,Kaja Sword
360/112,Naegling

@Axe
108/125,Bronze Axe
108/126,Brass Axe
108/127,Battleaxe
109/0,Mythril Axe
109/1,Bone Axe
109/2,Tabarzin
109/3,Darksteel Tabar
109/4,Tabar
109/5,Darksteel Axe
109/6,Rune Axe
109/7,Nadziak
109/8,Darksteel Pick
109/9,War Pick
109/10,Mythril Pick
109/11,Bone Pick
109/12,Orcish Axe
142/13,Guttler
273/51,Guttler (99)
145/72,Tomahawk
171/91,Sirius Axe
203/94,Aymur
273/58,Aymur (99)
210/97,Labrys
245/78,Farsha
273/65,Farsha (99)
246/34,Glyph Axe
264/119,Tonatiuh Axe
279/75,Ark Tabar
279/116,Aytanri
281/57,Ravana's Axe
290/5,Coalition Axe
292/3,Kerehcatl
304/74,Hunahpu
308/51,Camaraderie axe 
319/110,Kumbhakarna
331/100,Nibiru tabar
331/103,Blurred axe
344/126,Tri-edge
354/124,Demonic Axe
356/111,Pangu (su5)
357/117,Gramk's Axe
358/69,Aern Axe
359/106,Kaja Axe
360/113,Dolichenus
361/34,Ark Tabar

@Katana
110/11,Fudo
110/12,Wakizashi
110/13,Kodachi
110/14,Sakurafubuki
110/15,Kabutowari
110/16,Ganko
110/17,Kunai
142/11,Kikoku
273/52,Kikoku (99)
152/14,Sai
158/66,Hirenjaku
171/92,Ryumon
172/40,Hayabusa
203/99,Nagi
273/60,Nagi (99)
210/99,Shusui
