52/13,None
52/14,Leather Vest
52/15,Breastplate
52/16,Tunic
52/17,Shinobi Gi
52/18,Chainmail
52/19,Lizard Jerkin
52/20,Raptor Jerkin
52/21,Mithran Separates
52/22,Hara-Ate
52/23,Cloak
52/24,Silk Cloak
52/25,Royal Squire's Chainmail
52/26,Royal Knight's Chainmail
52/27,Padded Armor
52/28,Bronze Harness
52/29,Bone Harness
52/30,Kenpogi
52/31,Wool Robe
52/32,Tactician Magician's Coat
52/33,Robe
52/34,Doublet
52/35,Darksteel Cuirass
52/36,Gambison
52/37,Battle Jupon
52/38,Iron Musketeer's Cuirass
52/39,Centurion's Scale Mail
52/40,Gavial Mail
52/41,Scale Mail
52/42,Mythril Breastplate
52/43,Savage Separates
52/44,Assault Breastplate
52/45,Cardinal Vest
52/46,Scorpion Harness
52/47,Demon's Harness
52/48,Lord's Cuirass
52/49,Jujitsu Gi
52/50,Royal Knight's Aketon
52/51,Aketon
52/52,Haubergeon
52/53,Byrnie
52/54,War Shinobi Gi
52/55,Earth Doublet
52/56,Brigandine
94/54,Justaucorps
94/55,Black Cloak
94/56,Vermillion Cloak
94/57,Blue Cotehardie
94/58,Black Cotehardie
94/59,Fighter's Lorica (WAR AF1)
94/60,Temple Cyclas (MNK AF1)
94/61,Healer's Briault (WHM AF1)
94/62,Wizard's Coat (BLM AF1)
94/63,Warlock's Tabard (RDM AF1)
94/64,Rogue's Vest (THF AF1)
96/89,Gallant Surcoat (PLD AF1)
96/90,Chaos Cuirass (DRK AF1)
96/91,Beast Jackcoat (BST AF1)
96/92,Choral Justaucorps (BRD AF1)
96/93,Hunter's Jerkin (RNG AF1)
99/62,Myochin Domaru (SAM AF1)
99/63,Ninja Chainmail (NIN AF1)
99/64,Drachen Mail (DRG AF1)
99/65,Evoker's Doublet (SMN AF1)
163/67,Magus Jubbah (BLU AF1)
160/102,Corsair's Frac (COR AF1)
162/77,Puppetry Tobe (PUP AF1)
198/87,Dancer's Casaque (DNC AF1)
198/88,Scholar's Gown (SCH AF1)
119/34,Tiger Jerkin
119/35,Iron Scale Mail
121/70,Steel Scale Mail
121/71,Coeurl Jerkin
121/72,Adaman Cuirass
121/73,Coral Harness
121/74,Noble's Tunic
121/75,Hauberk
121/76,Arhat's Gi
121/77,Dragon Mail
124/119,Rasetsu Samue
124/120,Crimson Scale Mail
124/121,Adaman Hauberk
124/122,Ogre Jerkin
124/123,Koenig Cuirass
125/62,War Aketon
127/47,Holy Breastplate
127/48,Yasha Samue
127/49,Kirin's Osode
127/50,Hecatomb Harness
127/51,Errant Houppelande
127/52,Fisherman's Tunica
127/53,Chocobo Jack Coat
127/54,Vagabond's Tunica
130/1,Field Tunica
130/2,Shura Togi
130/3,Dalmatica
130/4,Carapace Breastplate
130/5,Dusk Jerkin
130/6,Dragon Harness
134/76,Warrior's Lorica (WAR AF2)
134/77,Melee Cyclas (MNK AF2)
134/78,Cleric's Briault (WHM AF2)
134/79,Sorcerer's Coat (BLM AF2)
134/80,Duelist's Tabard (RDM AF2)
134/81,Assassin's Vest (THF AF2)
134/82,Valor Surcoat (PLD AF2)
134/83,Abyss Cuirass (DRK AF2)
134/84,Monster Jackcoat (BST AF2)
134/85,Bard's Justaucorps (BRD AF2)
134/86,Scout's Jerkin (RNG AF2)
134/87,Saotome Domaru (SAM AF2)
134/88,Koga Chainmail (NIN AF2)
134/89,Wyrm Mail (DRG AF2)
134/90,Summoner's Doublet (SMN AF2)
214/43,Mirage Jubbah (BLU AF2)
214/44,Commodore Frac (COR AF2)
214/45,Pantin Tobe (PUP AF2)
218/13,Etoile Casaque (DNC AF2)
217/98,Argute Gown (SCH AF2)
134/91,Scorpion Breastplate
134/92,Austere Robe
134/93,Opaline Dress
138/76,Kingdom Aketon
138/77,Federation Aketon
138/78,Republic Aketon
138/79,Carpenter's Apron
138/80,Blacksmith's Apron
138/81,Weaver's Apron
138/82,Alchemist's Apron
138/83,Boneworker's Apron
138/84,Fisherman's Apron
138/85,Tanner's Apron
138/86,Culinarian's Apron
138/87,Goldsmith's Apron
145/3,Hydra Harness
145/4,Shade Harness
145/5,Garish Tunic
145/6,Seer's Tunic
145/7,Hydra Doublet
145/8,Noct Doublet
146/15,Bison Jacket
146/16,Sha'ir Manteel
146/61,Barone Corazza
146/100,Igqira Weskit
148/34,Eisenbrust
150/79,Hachiman Domaru
150/80,Blessed Briault
151/63,Chasuble
153/34,Unicorn Harness
153/71,Trader's Saio
154/82,Alumine Haubert
155/10,Plastron
157/111,Nashira Manteel
158/51,Homam Corazza
158/107,Trader's Saio (Black)
159/14,Crow Jupon
159/89,Dream Robe
154/20,Hydra Haubert
160/82,Hydra Jupon
163/68,Sipahi Jawshan
163/69,Jaridah Peti
166/59,Amir Korazin
166/60,Pahluwan Khazagand
166/61,Yigit Gomlek
157/36,Mithra Top
143/38,Omina Yukata
170/92,Corselet
170/93,Kyudogi
174/108,Ares's Cuirass
174/109,Skadi's Cuirie
176/19,Usukane Haramaki
176/20,Marduk's Jubbah
176/21,Morrigan's Robe
183/31,Goliard Saio
182/31,Denali Jacket
183/30,Askar Korazin
183/22,Orange Racing Silks
183/23,Black Racing Silks
183/24,Purple Racing Silks
183/25,Sky Blue Racing Silks
183/26,Blue Racing Silks
183/27,Red Racing Silks
183/28,White Racing Silks
183/29,Green Racing Silks
185/111,Shadow Breastplate
186/20,Shadow Coat
184/76,Valhalla Breastplate
196/97,Cobra Unit Harness
200/100,Cobra Unit Coat
201/45,Iron Ram Hauberk
199/19,Fourth Division Brunne
199/18,Bastokan Armor
204/74,Savage Top
207/47,Hachiryu Haramaki
214/121,Eerie Cloak
214/120,Tidal Talisman
221/58,Royal Redingote
221/57,Nuevo Coselete
221/86,Mirke Wardecors
223/51,Otokogusa Yukata
225/91,Carpenter's Smock
225/92,Blacksmith's Smock
225/93,Weaver's Smock
225/94,Alchemist's Smock
225/95,Boneworker's Smock
225/96,Fisherman's Smock
225/97,Tanner's Smock
225/98,Culinarian's Smock
225/99,Goldsmith's Smock
237/59,Ebon Cuirass
237/60,Furia Cuirass
237/61,Ebur Cuirass
237/62,Ebon Mail
237/63,Furia Mail
237/64,Ebur Mail
237/65,Ebon Haubert
237/66,Furia Haubert
237/67,Ebur Haubert
237/68,Ebon Breastplate
237/69,Furia Breastplate
237/70,Ebur Breastplate
230/41,Ebon Harness
230/42,Furia Harness
230/43,Ebur Harness
230/44,Ebon Jerkin
230/45,Furia Jerkin
230/46,Ebur Jerkin
230/47,Shikkoku Togi
230/48,Shinku Togi
230/49,Ginhaku Togi
230/50,Ebon Vest
230/83,Furia Vest
230/84,Ebur Vest
234/5,Ebon Talar
234/6,Furia Talar
234/7,Ebur Talar
234/8,Ebon Coat
234/9,Furia Coat
234/10,Ebur Coat
234/11,Ebon Bliaut
234/12,Furia Bliaut
234/13,Ebur Bliaut
234/14,Ebon Frock
234/15,Furia Frock
234/16,Ebur Frock
239/4,Dinner Jacket
239/5,Nocturnus Mail
248/99,Grim Cuirass
248/100,Timarli Jawshan
248/101,Yhel Jacket
248/102,Juogi
