52/119,None
157/49,Invisible
52/120,Leather Highboots
52/121,Plate Leggings
52/122,Solea
52/123,Shinobi Kyahan
52/124,Greaves
52/125,Lizard Ledelsens
52/126,Raptor Ledelsens
52/127,Mithran Gaiters
53/0,Sune-Ate
53/1,Shoes
53/2,Moccasins
53/3,Royal Squire's Sollerets
53/4,Royal Knight's Sollerets
53/5,Leggings
53/6,Bronze Leggings
53/7,Bone Leggings
53/8,Kyahan
53/9,Chestnut Sabots
53/10,Tactician Magician's Pigaches
53/11,Ash Clogs
53/12,Gaiters
53/13,Darksteel Sabatons
53/14,Socks
53/15,Battle Boots
53/16,Iron Musketeer's Sabatons
53/17,Centurion's Greaves
53/18,Gavial Greaves
53/19,Scale Greaves
53/20,Mythril Leggings
53/21,Savage Gaiters
94/77,Fighter's Calligae (WAR AF1)
94/78,Temple Hose (MNK AF1)
94/79,Healer's Duckbills (WHM AF1)
94/80,Wizard's Sabots (BLM AF1)
94/81,Warlock's Boots (RDM AF1)
94/82,Rogue's Poulaines (THF AF1)
96/104,Gallant Leggings (PLD AF1)
96/105,Chaos Sollerets (DRK AF1)
96/106,Beast Gaiters (BST AF1)
96/107,Choral Slippers (BRD AF1)
96/108,Hunter's Socks (RNG AF1)
99/74,Myochin Sune-Ate (SAM AF1)
99/75,Ninja Kyahan (NIN AF1)
99/76,Drachen Greaves (DRG AF1)
99/77,Evoker's Pigaches (SMN AF1)
163/76,Magus Charuqs (BLU AF1)
160/105,Corsair's Bottes (COR AF1)
162/80,Puppetry Babouches (PUP AF1)
198/93,Dancer's Shoes (DNC AF1)
198/94,Scholar's Loafers (SCH AF1)
119/40,Tiger Ledelsens
119/41,Iron Greaves
121/94,Steel Greaves
121/95,Coeurl Ledelsens
121/96,Adaman Sabatons
121/97,Coral Leggings
121/98,Noble's Pumps
121/99,Thick Sollerets
121/100,Arhat's Sune-Ate
121/101,Dragon Greaves
125/6,Rasetsu Sune-Ate
125/7,Crimson Greaves
125/8,Adaman Sollerets
125/9,Ogre Ledelsens
125/10,Koenig Schuhs
125/65,War Boots
127/69,Yasha Sune-Ate
127/70,Suzaku's Sune-Ate
127/71,Hecatomb Leggings
127/72,Errant Pigaches
127/73,Fisherman's Boots
127/74,Chocobo Boots
127/75,Vagabond's Boots
130/18,Field Boots
130/19,Shura Sune-Ate
130/20,Zenith Pumps
130/21,Dusk Ledelsens
130/22,Dragon Leggings
135/1,Warrior's Calligae (WAR AF2)
135/2,Melee Gaiters (MNK AF2)
135/3,Cleric's Duckbills (WHM AF2)
135/4,Sorcerer's Sabots (BLM AF2)
135/5,Duelist's Boots (RDM AF2)
135/6,Assassin's Poulaines (THF AF2)
135/7,Valor Leggings (PLD AF2)
135/8,Abyss Sollerets (DRK AF2)
135/9,Monster Gaiters (BST AF2)
135/10,Bard's Slippers (BRD AF2)
135/11,Scout's Socks (RNG AF2)
135/12,Saotome Sune-Ate (SAM AF2)
135/13,Koga Kyahan (NIN AF2)
135/14,Wyrm Greaves (DRG AF2)
135/15,Summoner's Pigaches (SMN AF2)
214/52,Mirage Charuqs (BLU AF2)
214/53,Commodore Bottes (COR AF2)
214/54,Pantin Babouches (PUP AF2)
218/16,Etoile Shoes (DNC AF2)
217/101,Argute Loafers (SCH AF2)
135/16,Austere Sabots
135/17,Opaline Boots
138/90,Waders
145/21,Hydra Spats
145/22,Shade Leggings
145/23,Garish Pumps
145/24,Seer's Pumps
145/25,Hydra Gaiters
145/26,Noct Gaiters
146/21,Bison Gamashes
146/22,Sha'ir Crackows
146/64,Barone Gambieras
146/103,Igqira Huaraches
148/37,Eisenschuhs
149/59,Lord's Sabatons
150/85,Hachiman Sune-Ate
150/86,Blessed Pumps
151/66,Wise Pigaches
153/37,Unicorn Leggings
153/74,Trader's Pigaches
154/85,Alumine Solerets
155/13,Black Sollerets
157/114,Nashira Crackows
158/54,Homam Gambieras
158/110,Trader's Pigaches (Black)
159/17,Crow Gaiters
154/23,Hydra Sollerets
160/85,Hydra Boots
163/77,Sipahi Boots
163/78,Jaridah Nails
166/68,Amir Boots
166/69,Pahluwan Crackows
166/70,Yigit Crackows
174/114,Ares's Sollerets
174/115,Skadi's Jambeaux
176/28,Usukane Sune-Ate
176/29,Marduk's Crackows
176/30,Morrigan's Pigaches
183/37,Goliard Clogs
182/34,Denali Gamashes
183/36,Askar Gambieras
185/114,Shadow Sabatons
186/23,Shadow Clogs
196/126,Dream Boots
196/100,Cobra Unit Boots
200/103,Cobra Unit Sabots
201/48,Iron Ram Sollerets
199/25,Fourth Division Boots
199/24,Bastokan Armor
195/91,Karasutengu Kogake
207/50,Hachiryu Sune-Ate
217/102,Noble Poulaines
219/80,Gothic Sabatons
237/95,Ebon Sabatons
237/96,Furia Sabatons
237/97,Ebur Sabatons
237/98,Ebon Greaves
237/99,Furia Greaves
237/100,Ebur Greaves
237/101,Ebon Sollerets
237/102,Furia Sollerets
237/103,Ebur Sollerets
237/104,Ebon Leggings
237/105,Furia Leggings
237/106,Ebur Leggings
230/71,Ebon Boots
230/72,Furia Boots
230/73,Ebur Boots
230/74,Ebon Socks
230/75,Furia Socks
230/76,Ebur Socks
230/77,Shikkoku Sune-ate
230/78,Shinku Sune-ate
230/79,Ginhaku Sune-ate
230/80,Ebon Gaiters
230/89,Furia Gaiters
230/90,Ebur Gaiters
234/41,Ebon Brogues
234/42,Furia Brogues
234/43,Ebur Brogues
234/44,Ebon Sabots
234/45,Furia Sabots
234/46,Ebur Sabots
234/47,Ebon Galoshes
234/48,Furia Galoshes
234/49,Ebur Galoshes
234/50,Ebon Clogs
234/51,Furia Clogs
234/52,Ebur Clogs
240/81,Spritewarden's Sabatons
248/124,Serpentes Sabots
248/125,Praeda Sabatons
248/126,Augur's Gaiters
248/127,Perle Solerets
249/0,Teal Pigaches
249/1,Aurore Gaiters
241/62,Goetia Sabots (BLM AF3)
241/63,Creed Sabatons (PLD AF3)
244/45,Ravager's Calligae (WAR AF3)
244/46,Estoqueur's Houseeaux (RDM AF3)
253/63,Tantra Gaiters (MNK AF3)
253/64,Raider's Poulaines (THF AF3)
253/65,Bale Sollerets (DRK AF3)
253/66,Ferine Ocreae (BST AF3)
253/67,Aoidos' Cothurnes (BRD AF3)
253/68,Unkai Sune-Ate (SAM AF3)
253/69,Iga Kyahan (NIN AF3)
253/70,Lancer's Schynbalds (DRG AF3)
253/71,Mavi Basmak (BLU AF3)
253/72,Navarch's Bottes (COR AF3)
253/73,Cirque Scarpe (PUP AF3)
253/74,Savant's Loafers (SCH AF3)
254/47,Orison Duckbills (WHM AF3)
254/108,Charis Toeshoes (DNC AF3)
256/75,Sylvan Bottillons (RNG AF3)
256/76,Caller's Pigaches (SMN AF3)
264/66,Calmecac Leggings
264/67,Jingang Greaves
264/68,Menhit Leggings
272/10,Ogier's Leggings
272/11,Athos's Boots
272/12,Rubeus Boots
278/58,Kheper Gamashes
278/59,Paean Boots
278/60,Auspex Nails
278/61,Hrafn Gambieras
278/62,Tenryu Sune-Ate
281/7,???
281/8,???
282/90,Dux Greaves
282/91,Chelona Boots
288/91,Ocular Boots
291/113, Geomancy sandals (GEO AF1)
292/87, Runeist bottes (RUN AF1)
291/22, Karieyh Sollerets
291/23, Thurandaut Boots
291/24, Orvail Souliers
291/25, Morass boots
292/86, Chocaliztli / Whirlpool
301/63, Mikinaak Greaves
301/64, Manibozho Boots
301/65, Bokwus Boots
304/57, Uk'uxkaj boots
305/20, Bagua sandals (GEO AF2)
306/14, Futhark bottes (RUN AF2)
306/15, Gorney Sollerets
306/16, Shneddick Boots
306/17, Weatherspoon Souliers
307/61, Alliance boots
310/102, Thatch boots
312/101, Qaaxo Leggings
312/102, Artsieq Boots
312/103, Xaddi Boots
315/93, Erilaz greaves (RUN AF3)
325/45, Punchinellos
327/57, Azimuth gaiters (GEO AF3)
327/115, Pupil's Shoes
331/16, Despair greaves
331/17, Pursuer's gaiters
331/18, Psycloth shoes
331/19, Eschite greaves
331/20, Rawhide boots
331/21, Naga kyahan
331/22, Vanya clogs
336/96, Founder's greaves
336/97, Agent boots
344/75, Composer's sabots
344/76, Odyssean greaves
344/77, Valorus greaves
346/39, Merlinic crackows
348/74, Chironic slippers
349/71, Herculean boots
362/67,Malignance Boots
