52/57,None
134/111,Invisible
52/58,Leather Gloves
52/59,Gauntlets
52/60,Mitts
52/61,Shinobi Tekko
52/62,Chain Mittens
52/63,Lizard Gloves
52/64,Raptor Gloves
52/65,Mithran Gauntlets
52/66,Kote
52/67,Linen Mitts
52/68,Black Mitts
52/69,Royal Squire's Mufflers
52/70,Royal Knight's Mufflers
52/71,Iron Mittens
52/72,Bronze Mittens
52/73,Bone Mittens
52/74,Tekko
52/75,Wool Cuffs
52/76,Tactician Magician's Cuffs
52/77,Cuffs
52/78,Gloves
52/79,Darksteel Gauntlets
52/80,Bracers
52/81,Battle Bracers
52/82,Iron Musketeer's Gauntlets
52/83,Centurion's Finger Gauntlets
52/84,Gavial Finger Gauntlets
52/85,Scale Finger Gauntlets
52/86,Mythril Gauntlets
52/87,Savage Gauntlets
94/65,Fighter's Mufflers (WAR AF1)
94/66,Temple Gloves (MNK AF1)
94/67,Healer's Mitts (WHM AF1)
94/68,Wizard's Gloves (BLM AF1)
94/69,Warlock's Gloves (RDM AF1)
94/70,Rogue's Armlets (THF AF1)
96/94,Gallant Gauntlets (PLD AF1)
96/95,Chaos Gauntlets (DRK AF1)
96/96,Beast Gloves (BST AF1)
96/97,Choral Cuffs (BRD AF1)
96/98,Hunter's Bracers (RNG AF1)
99/66,Myochin Kote (SAM AF1)
99/67,Ninja Tekko (NIN AF1)
99/68,Drachen Finger Gauntlets (DRG AF1)
99/69,Evoker's Bracers (SMN AF1)
163/70,Magus Bazubands (BLU AF1)
160/103,Corsair's Gants (COR AF1)
162/78,Pup. Dastanas (PUP AF1)
198/89,Dancer's Bangles (DNC AF1)
198/90,Scholar's Bracers (SCH AF1)
119/36,Tiger Gloves
119/37,Iron Finger Gauntlets
121/78,Steel Finger Gauntlets
121/79,Coeurl Gloves
121/80,Adaman Gauntlets
121/81,Coral Mittens
121/82,Noble's Mitts
121/83,Thick Mufflers
121/84,Arhat's Tekko
121/85,Dragon Finger Gauntlets
124/124,Rasetsu Tekko
124/125,Crimson Finger Gauntlets
124/126,Adaman Mufflers
124/127,Ogre Gloves
125/0,Koenig Handschuhs
125/63,War Gloves
127/55,Yasha Tekko
127/56,Seiryu's Kote
127/57,Hecatomb Mittens
127/58,Errant Cuffs
127/59,Fisherman's Gloves
127/60,Chocobo Gloves
127/61,Vagabond's Gloves
130/7,Field Gloves
130/8,Shura Kote
130/9,Zenith Mitts
130/10,Carapace Gauntlets
130/11,Dusk Gloves
130/12,Dragon Mittens
134/94,Warrior's Mufflers (WAR AF2)
134/95,Melee Gloves (MNK AF2)
134/96,Cleric's Mitts (WHM AF2)
134/97,Sorcerer's Gloves (BLM AF2)
134/98,Duelist's Gloves (RDM AF2)
134/99,Assassin's Armlets (THF AF2)
134/100,Valor Gauntlets (PLD AF2)
134/101,Abyss Gauntlets (DRK AF2)
134/102,Monster Gloves (BST AF2)
134/103,Bard's Cuffs (BRD AF2)
134/104,Scout's Bracers (RNG AF2)
134/105,Saotome Kote (SAM AF2)
134/106,Koga Tekko (NIN AF2)
134/107,Wyrm Finger Gauntlets (DRG AF2)
134/108,Summoner's Bracers (SMN AF2)
214/46,Mirage Bazubands (BLU AF2)
214/47,Commodore Gants (COR AF2)
214/48,Pantin Dastanas (PUP AF2)
218/14,Etoile Bangles (DNC AF2)
217/99,Argute Bracers (SCH AF2)
134/109,Scorpion Gauntlets
134/110,Austere Cuffs
138/88,Carpenter's Gloves
138/89,Smithy's Mitts 
145/9,Hydra Mitts
145/10,Shade Mittens
145/11,Garish Mitts
145/12,Seer's Mitts
145/13,Hydra Gloves
145/14,Noct Gloves
146/17,Bison Wristbands
146/18,Sha'ir Gages
146/62,Barone Manopolas
146/101,Igqira Manillas
148/35,Eisenhentzes
149/57,Lord's Gauntlets
150/81,Hachiman Kote
150/82,Blessed Mitts
151/64,Wise Gloves
153/35,Unicorn Mittens
153/72,Trader's Cuffs
154/83,Alumine Moufles
155/11,Black Gadlings
157/112,Nashira Gages
158/52,Homam Manopolas
158/108,Trader's Cuffs (Black)
159/15,Crow Bracers
154/21,Hydra Moufles
160/83,Hydra Bracers
163/71,Sipahi Dastanas
163/72,Jaridah Bazubands
166/62,Amir Kolluks
166/63,Pahluwan Dastanas
166/64,Yigit Gages
174/110,Ares's Gauntlets
174/111,Skadi's Bazubands
176/22,Usukane Gote
