51/110,None
51/111,Leather Bandana
51/112,Sallet
51/113,Shinobi Hachigane
51/114,Iron Mask
51/115,Lizard Helm
51/116,Raptor Helm
51/117,Zunari Kabuto
51/118,Royal Squire's Helm
51/119,Royal Knight's Bascinet
51/120,Padded Cap
51/121,Bronze Cap
51/122,Bone Mask
51/123,Hachimaki
51/124,Wool Hat
51/125,Tactician Magician's Hat
51/126,Circlet
51/127,Headgear
52/0,Darksteel Armet
52/1,Red Cap
52/2,Green Beret
52/3,Iron Musketeer's Armet
52/4,Centurion's Visor
52/5,Gavial Mask
52/6,Faceguard
52/7,Mythril Sallet
52/8,Blue Ribbon
52/9,Purple Ribbon
52/10,Green Ribbon
52/11,Black Ribbon
52/12,Scarlet Ribbon
94/48,Fighter's Mask (WAR AF1)
94/49,Temple Crown (MNK AF1)
94/50,Healer's Cap (WHM AF1)
94/51,Wizard's Petasos (BLM AF1)
94/52,Warlock's Chapeau (RDM AF1)
94/53,Rogue's Bonnet (THF AF1)
96/84,Gallant Coronet (PLD AF1)
96/85,Chaos Burgeonet (DRK AF1)
96/86,Beast Helm (BST AF1)
96/87,Choral Roundlet (BRD AF1)
96/88,Hunter's Beret (RNG AF1)
99/58,Myochin Kabuto (SAM AF1)
99/59,Ninja Hatsuburi (NIN AF1)
99/60,Drachen Armet (DRG AF1)
99/61,Evoker's Horn (SMN AF1)
163/64,Magus Keffiyeh (BLU AF1)
160/101,Corsair's Tricorne (COR AF1)
162/76,Puppetry Taj (PUP AF1)
198/85,Dancer's Tiara (DNC AF1)
198/86,Scholar's Mortarboard (SCH AF1)
121/63,Coeurl Mask
121/64,Adaman Barbuta
121/65,Coral Cap
121/66,Noble's Crown
121/67,Celata
121/68,Arhat's Jinpachi
121/69,Dragon Mask
124/114,Rasetsu Jinpachi
124/115,Crimson Mask
124/116,Adaman Celata
124/117,Ogre Mask
124/118,Koenig Schaller
125/61,War Beret
127/42,Pumpkin Head
127/43,Roshi Jinpachi
127/44,Genbu's Kabuto
127/45,Hecatomb Cap
127/46,Errant Hat
129/121,Tiger Mask
129/122,Wyvern Helm
129/123,Demon Helm
129/124,Shura Zunari Kabuto
129/125,Zenith Crown
129/126,Carapace Helm
129/127,Dusk Mask
130/0,Dragon Cap
134/58,Warrior's Mask (WAR AF2)
134/59,Melee Crown (MNK AF2)
134/60,Cleric's Cap (WHM AF2)
