52/88,None
157/49,Invisible
52/89,Leather Trousers
52/90,Cuisses
52/91,Slacks
52/92,Shinobi Hakama
52/93,Chain Hose
52/94,Lizard Trousers
52/95,Raptor Trousers
52/96,Mithran Loincloth
52/97,Haidate
52/98,Linen Slacks
52/99,White Slacks
52/100,Royal Squire's Breeches
52/101,Royal Knight's Breeches
52/102,Iron Subligar
52/103,Bronze Subligar
52/104,Bone Subligar
52/105,Sitabaki
52/106,Wool Slops
52/107,Tactician Magician's Slops
52/108,Slops
52/109,Brais
52/110,Darksteel Cuisses
52/111,Hose
52/112,Battle Hose
52/113,Iron Musketeer's Cuisses
52/114,Centurion's Cuisses
52/115,Gavial Cuisses
52/116,Scale Cuisses
52/117,Mythril Cuisses
52/118,Savage Loincloth
94/71,Fighter's Cuisses (WAR AF1)
94/72,Temple Gaiters (MNK AF1)
94/73,Healer's Pantaloons (WHM AF1)
94/74,Wizard's Tonban (BLM AF1)
94/75,Warlock's Tights (RDM AF1)
94/76,Rogue's Culotte (THF AF1)
96/99,Gallant Breeches (PLD AF1)
96/100,Chaos Flanchard (DRK AF1)
96/101,Beast Trousers (BST AF1)
96/102,Choral Cannions (BRD AF1)
96/103,Hunter's Braccae (RNG AF1)
99/70,Myochin Haidate (SAM AF1)
99/71,Ninja Hakama (NIN AF1)
99/72,Drachen Brais (DRG AF1)
99/73,Evoker's Spats (SMN AF1)
163/73,Magus Shalwar (BLU AF1)
160/104,Corsair's Culotte (COR AF1)
162/79,Puppetry Churidars (PUP AF1)
198/91,Dancer's Tights (DNC AF1)
198/92,Scholar's Pants (SCH AF1)
119/38,Tiger Trousers
119/39,Iron Cuisses
121/86,Steel Cuisses
121/87,Coeurl Trousers
121/88,Adaman Cuisses
121/89,Coral Subligar
121/90,Noble's Slacks
121/91,Thick Breeches
121/92,Arhat's Hakama
121/93,Dragon Cuisses
125/1,Rasetsu Hakama
125/2,Crimson Cuisses
125/3,Adaman Breeches
125/4,Ogre Trousers
125/5,Koenig Diechlings
125/64,War Brais
127/62,Yasha Hakama
127/63,Byakko's Haidate
127/64,Hecatomb Subligar
127/65,Errant Slops
127/66,Fisherman's Hose
127/67,Chocobo Hose
127/68,Vagabond's Hose
130/13,Field Hose
130/14,Shura Haidate
130/15,Zenith Slacks
130/16,Dusk Trousers
130/17,Dragon Subligar
134/112,Warrior's Cuisses (WAR AF2)
134/113,Melee Hose (MNK AF2)
134/114,Cleric's Pantaloons (WHM AF2)
134/115,Sorcerer's Tonban (BLM AF2)
134/116,Duelist's Tights (RDM AF2)
134/117,Assassin's Culotte (THF AF2)
134/118,Valor Breeches (PLD AF2)
134/119,Abyss Flanchard (DRK AF2)
134/120,Monster Trousers (BST AF2)
134/121,Bard's Cannions (BRD AF2)
134/122,Scout's Braccae (RNG AF2)
134/123,Saotome Haidate (SAM AF2)
134/124,Koga Hakama (NIN AF2)
134/125,Wyrm Brais (DRG AF2)
134/126,Summoner's Spats (SMN AF2)
214/49,Mirage Shalwar (BLU AF2)
214/50,Commodore Culotte (COR AF2)
214/51,Pantin Churidars (PUP AF2)
218/15,Etoile Tights (DNC AF2)
217/100,Argute Pants (SCH AF2)
134/127,Austere Slops
135/0,Opaline Hose
145/15,Hydra Tights
145/16,Shade Tights
145/17,Garish Slacks
145/18,Seer's Slacks
145/19,Hydra Brais
145/20,Noct Brais
