@None
53/22,None

@Hand
53/92,Avengers
53/93,Darksteel Katars
53/94,Katars
53/95,Jamadhars
53/96,Exocets
53/97,Darksteel Claws
53/98,Claws
53/99,Mythril Claws
53/100,Cermet Claws
53/101,Cesti
53/102,Lizard Cesti
53/103,Poison Cesti
53/104,Darksteel Knuckles
53/105,Bronze Knuckles
53/106,Brass Knuckles
53/107,Metal Knuckles
53/108,Mythril Knuckles
53/109,Koenigs Knuckles
53/110,Diamond Knuckles
53/111,Manoples
53/112,Gold Patas
53/113,Patas
53/114,Bone Patas
53/115,Cat Baghnakhs
53/116,Brass Baghnakhs
53/117,Baghnakhs
53/118,Rune Baghnakhs
138/105,Spharai
273/121,Spharai (99)
149/67,Adargas
166/71,Sainti
169/124,Darksteel Sainti
171/80,Adaman Sainti
172/33,Black Adargas
173/72,Hades Sainti
205/60,Glanzfaust
273/120,Glanzfaust (99)
205/61,Kenkonken
273/119,Kenkonken (99)
210/79,Shenlong's Baghnakhs
242/11,Verethragna
273/118,Verethragna (99)
245/70,Afflictors
268/57,Girru
281/9,Blutkrallen
293/83,Tlalpoloani 
303/53,Forefront Cesti
314/95,Worm Feelers
319/15,Ohrmazd
328/46,Blurred claws
328/47,Nibiru sainti
341/5,Denouements
342/116,Godhands
352/104,Aphelion Knuckles
355/72,Premium Mogti
356/6,Sagitta (su5)
359/13,Kaja Knuckles
360/22,Karambit

@Dagger
54/4,Valiant Knife
54/5,Darksteel Knife
54/6,Bronze Knife
54/7,Knife
54/8,Mythril Knife
54/9,Cermet Knife
54/10,Misericorde
54/11,Bronze Dagger
54/12,Brass Dagger
54/13,Dagger
54/14,Mythril Dagger
54/15,Darksteel Baselard
54/16,Baselard
54/17,Mythril Baselard
54/18,Darksteel Kukri
54/19,Kukri
54/20,Mythril Kukri
54/21,Cermet Kukri
54/22,Heart Snatcher
54/23,Parrying Knife
54/24,Combat Caster's Dagger
54/25,Kris
54/26,Triple Dagger
54/27,Bone Knife
99/85,Kard
138/91,Mandau
275/68,Mandau (99)
138/103,Raetic Kris
147/127,Harpe
164/1,Jambiya
172/32,Supernal Knife
173/31,Matron's Knife
175/13,Khimaira Jambiya
200/27,Darksteel Jambiya
200/28,Thug's Jambiya
205/52,Vajra
275/83,Vajra (99)
205/57,Carnwenhan
275/87,Carnwenhan (99)
205/58,Terpsichore
275/93,Terpsichore (99)
210/68,Azoth
219/32,Ermine's Tail
227/21,Machismo
245/68,Twashtar
275/95,Twashtar (99)
246/16,Auric Dagger
262/8,Twilight Dagger
264/113,Mantodea Harpe
266/34,Lux Pugio
266/79,Coruscanti
269/48,Asteria
280/21,Blustery Dagger
281/47,Sandung
289/118,Coalition Dirk 
291/114,Izhiikoh 
308/31,Camaraderie Dagger
319/85,Ipetam
325/49,Rhadamanthus
327/60,Odium
331/23,Nibiru knife
344/78,Sangoma
344/80,Aeneas
354/26,Chicken Knife II
356/90,Gandring (su5)
358/57,Aern Dagger
358/107,Qutrub Dagger
359/82,Kaja Knife
360/89,Tauret
362/68,Wind Knife
362/125,Norgish Dagger
362/126,Esikuva

@Sword
54/28,Colichemarde
54/29,Small Sword
54/30,Bilbo
54/31,Junior Musketeer's Tuck
54/32,Joyeuse
54/33,Schlaeger
54/34,Duel Rapier
54/35,Degen
54/36,Mythril Degen
54/37,Epee
54/38,Fleuret
54/39,Schwert
54/40,Royal Guard's Fleuret
54/96,Spatha
54/97,Gold Sword
54/98,Longsword
54/99,Knight's Sword
54/100,Saber
54/101,Rune Blade
54/102,Sapara
54/103,Scimitar
54/104,Tulwar
54/105,Hanger
54/106,Ridill
54/107,Darksteel Falchion
54/108,Platinum Cutlass
54/109,Falchion
54/110,Cutlass
54/111,Xiphos
54/112,Brass Xiphos
54/113,Gladius
54/114,Darksteel Sword
54/115,Bronze Sword
54/116,Jagdplaute
54/117,Iron Sword
54/118,Mythril Sword
54/119,Dainslaif
54/120,Cermet Sword
54/121,Anelace
54/122,Katzbalger
54/123,Broadsword
54/124,Coral Sword
54/125,Hrotti
54/126,Bastard Sword
54/127,Hunting Sword
55/0,Espadon
55/1,Nadrs
55/2,Ancient Sword
55/3,Kaiser Sword
55/4,Dissector
55/5,Holy Sword
55/6,Gluttony Sword
55/7,Wing Sword
121/104,Excalibur
275/69,Excalibur (99)
150/87,Shotel
163/79,Kilij
164/115,Macuahuitl
169/123,Darksteel Kilij
170/119,Adaman Kilij
171/79,Sanguine Sword
175/14,Hauteclaire 
183/89,Cermet Kilij
184/92,Hofud
205/48,Unknown Sword
205/49,Tizona
275/92,Tizona (99)
205/50,Murgleis
275/82,Murgleis (99)
205/56,Burtgang
275/84,Burtgang (99)
210/69,Fragarach
211/78,Organics
227/22,Concordia
242/8,Almace
275/96,Almace (99)
246/17,Tyrfing
263/103,Sagasinger
266/102,Ephemeron
279/54,Sanus Ensis
279/56,Ark Saber
279/57,Ark Sword
289/119,Coalition Blade
291/115,Buramenk'ah 
308/32,Camaraderie Blade
319/86,Claidheamh Soluis
325/50,Acclimator
327/58,Excalipoor
331/24,Nibiru blade
334/108,Medeina kilij
336/98,Brilliance
336/100,Vampirism
341/27,Fettering blade
341/86,Reikiko
344/81,Sequence
352/2,Fermion sword
353/91,Firetongue
353/127,Onion Sword II
354/100,Blizzard Brand
355/17,Save the Queen II
355/92,Kam'lanaut's Sword
356/95,Crocea Mors (su5)
357/24,Holy Sword (Unused)
358/56,Aern Sword
359/83,Kaja Sword
360/90,Naegling

@G.Sword
53/39,Reserve Captain's Greatsword
53/40,Darksteel Claymore
53/41,Claymore
53/42,Mythril Claymore
53/43,Glorious Sword
53/44,Arondight
53/45,Zweihander
53/46,Two-Handed Sword
53/47,Greatsword
53/48,Ascalon
53/49,Flamberge
53/50,Faussar
121/102,Unknown Ragnarok Variant
121/103,Ragnarok
275/70,Ragnarok (99)
121/105,Balmung

145/31,Falx
149/62,Darksteel Falx
149/63,Scheherazade
163/127,Algol
170/121,Gold Algol
200/25,Bahadur
210/70,Naglering
229/46,Galatyn
239/7,Nightfall
242/9,Caladbolg
275/97,Caladbolg (99)
249/43,Ferus Algol
264/109,Jingang Greatsword
270/54,Hoarfrost Blade
270/61,Borealis
281/48,Foreshock Sword
289/120,Coalition Sword
303/123,Voay Sword 
308/33,Camaraderie Claymore
308/38,Kaquljaan
314/24,Aettir
317/13,Epeolatry
358/7,Epeolatry (119)
319/87,Macbain
325/46,Soulcleaver
327/59,Malfeasance
331/25,Nibiru faussar
344/82,Lionheart
352/35,Irradiance Blade
355/91,Brave Blade II
356/86,Morgelai (su5)
357/74,Lament
359/84,Kaja Claymore
360/91,Nandaka
361/82,Zantetsuken X
362/127,Ophidian Sword

@Axe
53/51,Bronze Axe
53/52,Brass Axe
53/53,Battleaxe
53/54,Mythril Axe
53/55,Bone Axe
53/56,Tabarzin
53/57,Darksteel Tabar
53/58,Tabar
53/59,Darksteel Axe
53/60,Rune Axe
53/61,Nadziak
53/62,Darksteel Pick
53/63,War Pick
53/64,Mythril Pick
53/65,Bone Pick
53/66,Orcish Axe
138/104,Guttler
275/71,Guttler (99)
145/32,Tomahawk
171/76,Sirius Axe
205/43,Aymur
275/86,Aymur (99)
210/71,Labrys
245/69,Farsha
275/98,Farsha (99)
246/18,Glyph Axe
264/111,Tonatiuh Axe
279/59,Ark Tabar
279/114,Aytanri
281/50,Ravana's Axe
289/121,Coalition Axe 
291/116,Kerehcatl 
303/118,Hunahpu
308/34,Camaraderie Axe
319/88,Kumbhakarna
331/26,Nibiru tabar
331/34,Blurred axe
344/83,Tri-edge
354/122,Demonic Axe
356/87,Pangu (su5)
357/113,Gramk's Axe
358/58,Aern Axe
359/85,Kaja Axe
360/92,Dolichenus
361/28,Ark Tabar

@G.Axe
53/67,Centurion's Axe
53/68,Heavy Axe
53/69,Butterfly Axe
53/70,Greataxe
53/71,Bhuj
53/72,Kheten
53/73,Gigant Axe
53/74,Za'Dha Chopper
138/92,Rune Chopper
138/96,Bravura
275/72,Bravura (99)
145/27,Voulge
149/64,Darksteel Voulge
149/65,Leucous Voulge
163/126,Amood
170/120,Dark Amood
200/24,Wootz Amood
205/44,Conqueror
275/79,Conqueror (99)
210/72,Foolkiller
212/22,Balestorius
219/33,Eventreuse
247/18,Ukonvasara
275/99,Ukonvasara (99)
246/19,Vermeil Bhuj
303/116,Forefront Labrys
303/120,Ixtab
319/89,Svarga
325/47,Devivifier
331/27,Nibiru chopper
331/35,Blurred chopper
341/87,Reikiono
344/84,Chango
356/88,Labraunda (su5)
359/86,Kaja Chopper
360/93,Lycurgos
363/0,Ophidian Axe

@Scythe
54/41,Darksteel Scythe
54/42,Scythe
54/43,Mythril Scythe
54/44,Bronze Zaghnal
54/45,Brass Zaghnal
54/46,Zaghnal
54/47,Mythril Zaghnal
54/48,Demonslicer
121/106,Bone Scythe
138/95,Apocalypse
275/74,Apocalypse (99)
138/102,Unknown Scythe 1
145/29,Mandibular Sickle
149/66,Ivory Sickle
158/57,Orichalcum Scythe
172/30,Naigama
205/55,Liberator
275/85,Liberator (99)
210/73,Enforcer
227/19,D. Shantotto's Scythe
242/10,Redemption
275/100,Redemption (99)
246/20,Plaga Scythe
261/108,Twilight Scythe
279/58,Ark Scythe
280/63,Eletta Scythe
303/117,Forefront Scythe
303/119,Xbalanque
308/39,Hoe
319/90,Inanna
331/28,Nibiru sickle
331/36,Blurred sickle
341/88,Dacnomania
344/79,Misanthropy
344/85,Anguta
356/91,Father Time (su5)
357/112,Lost Sickle
359/88,Kaja Scythe
360/95,Drepanum

@Polearm
54/49,Halberd
54/50,Ox Tongue
54/51,Partisan
54/52,Bronze Spear
54/53,Brass Spear
54/54,Spear
54/55,Harpoon
54/56,Darksteel Lance
54/57,Lance
54/58,Mythril Lance
54/59,Barchha
54/60,Cermet Lance
54/61,Kamayari
54/62,Wyvern Spear
54/63,Trident
54/64,Gungnir
275/73,Gungnir (99)
138/94,Rune Halberd
145/28,Couse
157/115,Pitchfork
158/55,Orichalcum Lance
164/0,Mezraq
171/77,Dark Mezraq
172/28,Engetsuto
184/93,Valkyrie's Fork
200/26,Thalassocrat
205/53,Ryunohige
275/90,Ryunohige (99)
210/74,Cletine
211/77,Tomoe
219/34,Zaide
219/35,Dabo
227/23,Sarissa
247/36,Rhongomiant
275/101,Rhongomiant (99)
279/62,Delphinius
289/122,Coalition Lance 
291/118,Upukirex
308/35,Camaraderie Lance
314/23,Escritorio
319/91,Olyndicus
331/29,Nibiru lance
344/86,Trishula
356/93,Aram (su5)
356/97,Tzee Xicu's Blade
357/73,Mizukage-no-naginata
358/59,Aern Spear
359/87,Kaja Lance
360/94,Shining One
361/29,Hotengeki
361/81,Sha Wujing's Lance

@Katana
99/78,Fudo
99/79,Wakizashi
99/80,Kodachi
99/81,Sakurafubuki
99/82,Kabutowari
99/83,Ganko
99/84,Kunai
138/101,Kikoku
275/75,Kikoku (99)
152/12,Sai
158/56,Hirenjaku
171/78,Ryumon
172/31,Hayabusa
205/51,Nagi
275/89,Nagi (99)
210/77,Shusui
211/80,Oninohocho
247/37,Kannagi
275/102,Kannagi (99)
246/21,Hochomasamune
279/61,Ikarigiri
288/26,Uguisu
303/115,Ichijintanto
319/92,Izuna
325/52,Achiuchikapu
331/30,Mijin
331/37,Kujaku
344/87,Heishi Shorinken
356/92,Fudo Masamune (su5)
359/89,Kaja Katana
360/96,Gokotai

@G.Katana
53/119,Nukemaru
53/120,Tachi
53/121,Mikazuki
53/122,Hosodachi
53/123,Onikiri
53/124,Kurodachi
53/125,Futsuno Mitama
53/126,Zanbato
53/127,Hagun
54/0,Ashura
54/1,Mumeito
54/2,Murasame
54/3,Honebami
127/76,Kazaridachi
138/97,Amanomurakumo
275/76,Amanomurakumo (99)
145/30,Kumokirimaru
154/86,Wooden Katana
172/29,Shirogatana
183/121,Shinai
205/54,Kogarasumaru
275/88,Kogarasumaru (99)
210/78,Pachipachio
211/76,Nanatsusaya
242/47,Masamune
275/103,Masamune (99)
246/22,Scathacha
266/95,Murasamemaru
279/60,Ark Tachi
288/11,Tenkomaru
291/117,Tsurumaru 
303/114,Ichijinto
319/93,Nenekirimaru
331/31,Sensui
331/38,Kunitsuna
344/88,Dojikiri Yasutsuna
356/85,Zanmato
356/89,Fusenaikyo (su5)
359/90,Kaja Tachi
360/97,Hachimonji
363/78,Mutsunokami

@Club
53/38,Chocobo Wand
53/75,Oak Cudgel
53/76,Bone Cudgel
53/77,Buzdygan
53/78,Darksteel Mace
53/79,Bronze Mace
53/80,Platinum Mace
53/81,Mace
53/82,Mythril Mace
53/83,Ash Club
53/84,Chestnut Club
53/85,Shellbuster
53/86,Great Club
53/87,Darksteel Maul
53/88,Bronze Hammer
53/89,Brass Hammer
53/90,Warhammer
53/91,Maul
54/65,Scepter
54/66,Darksteel Rod
54/67,Bronze Rod
54/68,Brass Rod
54/69,Rod
54/70,Mythril Rod
54/71,Bone Rod
54/72,Ebony Wand
54/73,Yew Wand
54/74,Maple Wand
54/75,Mythic Wand
54/76,Mistilteinn
54/77,Rose Wand
54/78,Chestnut Wand
54/79,Willow Wand
54/80,Caduceus
54/81,Chocobo Wand (Unused)
54/82,Chocobo Wand (Unused)
54/83,Chocobo Wand (Unused)
54/84,Chocobo Wand (Unused)
54/85,Chocobo Wand (Unused)
54/86,Chocobo Wand (Unused)
54/87,Star Rod
54/88,Asklepios
54/89,Curse Wand
54/90,Skirnir's Wand
54/91,Earth Wand
54/92,Imperial Wand
54/93,Martial Wand
54/94,Pilgrim's Wand
54/95,Fey Wand
55/26,Mjollnir
275/77,Mjollnir (99)
138/93,Rune Rod
138/100,Trial Club
149/60,Morgenstern
150/88,Seveneyes
159/97,Charm Wand
160/118,Moogle Rod
164/2,Jadagna
170/32,Nomad Moogle Rod
183/88,Brass Jadagna
205/45,Yagrush
275/80,Yagrush (99)
210/75,Antares
211/79,Flanged Mace
218/29,Dream Bell
220/28,Club Hammer
220/126,Lady Bell
242/48,Gambanteinn
275/104,Gambanteinn (99)
246/23,Owleyes
264/112,Tefnut Wand
266/54,Rounsey Wand
267/40,Maestro's Baton
267/41,Melomane Mallet
280/62,Kitty Rod
281/49,Solstice
286/50,Shell Scepter
286/51,Gobbie Gavel
289/123,Coalition Rod 
303/124,Tamaxchi
308/36,Camaraderie Wand
313/99,Red Spriggan Club
313/100,Purple Spriggan Club
317/14,Idris
358/8,Idris (119)
319/94,Nehushtan
317/64,Kyuka uchiwa
325/48,Leafkin bopper
326/40,Heartbeater
331/32,Nibiru cudgel
331/39,Blurred rod
336/99,Divinity
336/101,Rubicundity
336/103,Heartstopper
344/89,Tishtrya
352/75,Seika Uchiwa
353/9,Jingly Rod
356/94,Asclepius (su5)
357/75,Soulflayer's Wand
358/108,Floral Hagoita
359/91,Kaja Rod
360/98,Maxentius
361/105,Cath Palug Hammer
362/69,Daybreak
363/41,Burrower's Wand

@Staff
55/8,Elm Staff
55/9,Holly Staff
55/10,Oak Staff
55/11,Ash Staff
55/12,Mahogany Staff
55/13,Legionnaire's Staff
55/14,Wise Wizard's Staff
55/15,Spiked Club
55/16,Rockmasher
55/17,Ebony Pole
55/18,Elm Pole
55/19,Holly Pole
55/20,Oak Pole
55/21,Ash Pole
55/22,Mythic Pole
55/23,Mahogany Pole
55/24,Rune Staff
55/25,Monster Signa
127/77,Dark Staff
127/78,Water Staff
127/79,Wind Staff
127/80,Ice Staff
127/81,Thunder Staff
127/82,Fire Staff
127/83,Light Staff
127/84,Earth Staff
127/85,Treat Staff
138/98,Iron-splitter
138/99,Claustrum
275/78,Claustrum (99)
148/58,Kingdom Signet Staff
148/59,Federation Signet Staff
148/60,Republic Signet Staff
149/61,Primate Staff
205/46,Laevateinn
275/81,Laevateinn (99)
205/47,Nirvana
275/91,Nirvana (99)
205/59,Tupsimati
275/94,Tupsimati (99)
210/76,Alkalurops
211/74,Mekki Shakki
211/75,Dorje
220/29,Caver's Shovel
227/20,B. Shantotto's Staff
227/24,Majestas
242/49,Hvergelmir
275/105,Hvergelmir (99)
264/110,Fulcrum Pole
279/55,Plenitas Virga
282/114,Iridal Staff
288/25,Zamzummim staff
303/121,Forefront Scepter
303/122,Voay Staff
308/37,Baqil Staff
319/95,Keraunos
325/51,Mindmelter
331/33,Nibiru staff
336/102,Malice masher
344/90,Khatvanga
349/34,Exemplar
353/92,Hapy Staff
356/96,Kaumodaki (su5)
357/93,Lamia Staff
358/60,Aern Staff
359/92,Kaja Staff
360/99,Xoanon
361/127,Ranine Staff
