@Battle
51/19-24;99/55,Battle
114/20-22,Dual Wield (Sub)
114/29-31,Dual Wield (Main)
@Emote
51/37-41;123/51;138/52-54,Emote (Male)
51/71-75;123/60;138/61-63,Emote (Female)
259/94;260/75-83,Job Emotes (Male)
259/97;260/98-106,Job Emotes (Female)
@General
51/42,Logging (Male)
51/76,Logging (Female)
90/38,Chocobo
90/39,Fishing
123/49,Mining (Male)
123/58,Mining (Female)
123/50,Harvesting (Male)
123/59,Harvesting (Female)
143/59;143/72,Goldfish Scooping
198/12,Dancing (Male)
198/32,Dancing (Female)
223/96-98,Bell Ringing (Male)
223/99-101,Bell Ringing (Female)
@Ability
84/101-102,Steal
84/103-104,Mug
84/105;95/41-43,Bash
105/44-58,Jump
168/44,Tomahawk
168/45,Angon
@Hand-to-Hand
84/36,Combo
84/37,Shoulder Tackle
84/38,One Inch Punch
84/39,Backhand Blow
84/40,Raging Fists
84/41,Spinning Attack
84/42,Howling Fist
105/8,Dragon Kick
105/9,Asuran Fists
141/10,Final Heaven
206/91,Ascetic's Fury
208/109,Stinging Pummel
243/35,Tornado Kick
255/107,Victory Smite
272/56,Shijin Spiral
@Dagger
84/43,Wasp Sting
84/44,Viper Bite
84/45,Shadowstitch
84/46,Gust Slash
84/47,Cyclone
84/48,Energy Steal
84/49,Energy Drain
84/50,Dancing Edge
105/10,Shark Bite
105/11,Evisceration
141/11,Mercy Stroke
208/110,Mandalic Stab
206/92,Mordant Rime
208/111,Pyrrhic Kleos
243/36,Aeolian Edge
257/126,Rudra's Storm
268/123,Exenterator
@Sword
84/27,Fast Blade
84/28,Burning Blade
84/29,Red Lotus Blade
84/32,Flat Blade
84/30,Shining Blade
84/31,Seraph Blade
84/33,Circle Blade
84/34,Spirits Within
84/35,Vorpal Blade
105/6,Swift Blade
105/7,Savage Blade
141/9,Knights of Round
208/107,Death Blossom
208/108,Atonement
206/90,Expiacion
240/31,Glory Slash
240/32,Uriel Blade
244/121,Sanguine Blade
255/111,Chant du Cygne
268/122,Requiescat
@Club
84/65,Shining Strike
84/66,Seraph Strike
84/67,Brainshaker
84/68,Starlight
84/69,Moonlight
84/70,Skullbreaker
84/71,True Strike
84/72,Judgment
105/16,Hexa Strike
105/17,Black Halo
141/14,Randgrith
206/94,Mystic Boon
243/38,Flash Nova
257/123,Dagan
269/83,Realmrazer
@Axe
84/51,Raging Axe
84/52,Smash Axe
84/53,Gale Axe
84/54,Avalanche Axe
84/55,Spinning Axe
84/56,Rampage
