47/17,None
47/18,Leather Vest
47/19,Breastplate
47/20,Tunic
47/21,Shinobi Gi
47/22,Chainmail
47/23,Lizard Jerkin
47/24,Raptor Jerkin
47/25,Tarutaru Kaftan
47/26,Hara-Ate
47/27,Cloak
47/28,Silk Cloak
47/29,Royal Squire's Chainmail
47/30,Royal Knight's Chainmail
47/31,Padded Armor
47/32,Bronze Harness
47/33,Bone Harness
47/34,Kenpogi
47/35,Wool Robe
47/36,Tactician Magician's Coat
47/37,Robe
47/38,Doublet
47/39,Darksteel Cuirass
47/40,Gambison
47/41,Battle Jupon
47/42,Iron Musketeer's Cuirass
47/43,Centurion's Scale Mail
47/44,Gavial Mail
47/45,Scale Mail
47/46,Mythril Breastplate
47/47,Wonder Kaftan
47/48,Assault Breastplate
47/49,Cardinal Vest
47/50,Scorpion Harness
47/51,Demon's Harness
47/52,Lord's Cuirass
47/53,Jujitsu Gi
47/54,Royal Knight's Aketon
47/55,Aketon
47/56,Haubergeon
47/57,Byrnie
47/58,War Shinobi Gi
47/59,Earth Doublet
47/60,Brigandine
94/19,Justaucorps
94/20,Black Cloak
94/21,Vermillion Cloak
94/22,Blue Cotehardie
94/23,Black Cotehardie
94/24,Fighter's Lorica (WAR AF1)
94/25,Temple Cyclas (MNK AF1)
94/26,Healer's Briault (WHM AF1)
94/27,Wizard's Coat (BLM AF1)
94/28,Warlock's Tabard (RDM AF1)
94/29,Rogue's Vest (THF AF1)
96/64,Gallant Surcoat (PLD AF1)
96/65,Chaos Cuirass (DRK AF1)
96/66,Beast Jackcoat (BST AF1)
96/67,Choral Justaucorps (BRD AF1)
96/68,Hunter's Jerkin (RNG AF1)
99/30,Myochin Domaru (SAM AF1)
99/31,Ninja Chainmail (NIN AF1)
99/32,Drachen Mail (DRG AF1)
99/33,Evoker's Doublet (SMN AF1)
157/101,Magus Jubbah (BLU AF1)
163/47,Corsair's Frac (COR AF1)
163/48,Puppetry Tobe (PUP AF1)
198/73,Dancer's Casaque (m) (DNC AF1)
198/74,Dancer's Casaque (f) (DNC AF1)
198/75,Scholar's Gown (SCH AF1)
119/26,Tiger Jerkin
119/27,Iron Scale Mail
121/24,Steel Scale Mail
121/25,Coeurl Jerkin
121/26,Adaman Cuirass
121/27,Coral Harness
121/28,Noble's Tunic
121/29,Hauberk
121/30,Arhat's Gi
121/31,Dragon Mail
124/94,Rasetsu Samue
124/95,Crimson Scale Mail
124/96,Adaman Hauberk
124/97,Ogre Jerkin
124/98,Koenig Cuirass
125/57,War Aketon
127/3,Holy Breastplate
127/4,Yasha Samue
127/5,Kirin's Osode
127/6,Hecatomb Harness
127/7,Errant Houppelande
127/8,Fisherman's Tunica
127/9,Chocobo Jack Coat
127/10,Vagabond's Tunica
129/99,Field Tunica
129/100,Shura Togi
129/101,Dalmatica
129/102,Carapace Breastplate
129/103,Dusk Jerkin
129/104,Dragon Harness
133/116,Warrior's Lorica (WAR AF2)
133/117,Melee Cyclas (MNK AF2)
133/118,Cleric's Briault (WHM AF2)
133/119,Sorcerer's Coat (BLM AF2)
133/120,Duelist's Tabard (RDM AF2)
133/121,Assassin's Vest (THF AF2)
133/122,Valor Surcoat (PLD AF2)
