47/123,None
157/48,Invisible
47/124,Leather Highboots
47/125,Plate Leggings
47/126,Solea
47/127,Shinobi Kyahan
48/0,Greaves
48/1,Lizard Ledelsens
48/2,Raptor Ledelsens
48/3,Tarutaru Clomps
48/4,Sune-Ate
48/5,Shoes
48/6,Moccasins
48/7,Royal Squire's Sollerets
48/8,Royal Knight's Sollerets
48/9,Leggings
48/10,Bronze Leggings
48/11,Bone Leggings
48/12,Kyahan
48/13,Chestnut Sabots
48/14,Tactician Magician's Pigaches
48/15,Ash Clogs
48/16,Gaiters
48/17,Darksteel Sabatons
48/18,Socks
48/19,Battle Boots
48/20,Iron Musketeer's Sabatons
48/21,Centurion's Greaves
48/22,Gavial Greaves
48/23,Scale Greaves
48/24,Mythril Leggings
48/25,Wonder Clomps
94/42,Fighter's Calligae (WAR AF1)
94/43,Temple Hose (MNK AF1)
94/44,Healer's Duckbills (WHM AF1)
94/45,Wizard's Sabots (BLM AF1)
94/46,Warlock's Boots (RDM AF1)
94/47,Rogue's Poulaines (THF AF1)
96/79,Gallant Leggings (PLD AF1)
96/80,Chaos Sollerets (DRK AF1)
96/81,Beast Gaiters (BST AF1)
96/82,Choral Slippers (BRD AF1)
96/83,Hunter's Socks (RNG AF1)
99/42,Myochin Sune-Ate (SAM AF1)
99/43,Ninja Kyahan (NIN AF1)
99/44,Drachen Greaves (DRG AF1)
99/45,Evoker's Pigaches (SMN AF1)
157/107,Magus Charuqs (BLU AF1)
163/59,Corsair's Bottes (COR AF1)
163/60,Puppetry Babouches (PUP AF1)
198/82,Dancer's Shoes (m) (DNC AF1)
198/83,Dancer's Shoes (f) (DNC AF1)
198/84,Scholar's Loafers (SCH AF1)
119/32,Tiger Ledelsens
119/33,Iron Greaves
121/48,Steel Greaves
121/49,Coeurl Ledelsens
121/50,Adaman Sabatons
121/51,Coral Leggings
121/52,Noble's Pumps
121/53,Thick Sollerets
121/54,Arhat's Sune-Ate
121/55,Dragon Greaves
124/109,Rasetsu Sune-Ate
124/110,Crimson Greaves
124/111,Adaman Sollerets
124/112,Ogre Ledelsens
124/113,Koenig Schuhs
125/60,War Boots
127/25,Yasha Sune-Ate
127/26,Suzaku's Sune-Ate
127/27,Hecatomb Leggings
127/28,Errant Pigaches
127/29,Fisherman's Boots
127/30,Chocobo Boots
127/31,Vagabond's Boots
129/116,Field Boots
129/117,Shura Sune-Ate
129/118,Zenith Pumps
129/119,Dusk Ledelsens
129/120,Dragon Leggings
134/41,Warrior's Calligae (WAR AF2)
134/42,Melee Gaiters (MNK AF2)
134/43,Cleric's Duckbills (WHM AF2)
134/44,Sorcerer's Sabots (BLM AF2)
134/45,Duelist's Boots (RDM AF2)
134/46,Assassin's Poulaines (THF AF2)
134/47,Valor Leggings (PLD AF2)
134/48,Abyss Sollerets (DRK AF2)
134/49,Monster Gaiters (BST AF2)
134/50,Bard's Slippers (BRD AF2)
134/51,Scout's Socks (RNG AF2)
134/52,Saotome Sune-Ate (SAM AF2)
134/53,Koga Kyahan (NIN AF2)
134/54,Wyrm Greaves (DRG AF2)
134/55,Summoner's Pigaches (SMN AF2)
214/117,Mirage Charuqs (BLU AF2)
214/118,Commodore Bottes (COR AF2)
214/119,Pantin Babouches (PUP AF2)
218/10,Etoile Shoes (m) (DNC AF2)
218/11,Etoile Shoes (f) (DNC AF2)
217/95,Argute Loafers (SCH AF2)
134/56,Austere Sabots
134/57,Opaline Boots
138/34,Waders
144/113,Hydra Spats
144/114,Shade Leggings
144/115,Garish Pumps
144/116,Seer's Pumps
144/117,Hydra Gaiters
144/118,Noct Gaiters
146/9,Bison Gamashes
146/10,Sha'ir Crackows
146/59,Barone Gambieras
146/98,Igqira Huaraches
148/32,Eisenschuhs
149/47,Lord's Sabatons
150/73,Hachiman Sune-Ate
150/74,Blessed Pumps
151/61,Wise Pigaches
153/32,Unicorn Leggings
153/69,Trader's Pigaches
154/78,Alumine Solerets
155/8,Black Sollerets
157/108,Nashira Crackows
158/46,Homam Gambieras
158/105,Trader's Pigaches (Black)
159/12,Crow Gaiters
154/6,Hydra Sollerets
160/80,Hydra Boots
163/61,Sipahi Boots
163/62,Jaridah Nails
166/52,Amir Boots
166/53,Pahluwan Crackows
166/54,Yigit Crackows
174/104,Ares's Sollerets
174/105,Skadi's Jambeaux
176/13,Usukane Sune-Ate
176/14,Marduk's Crackows
176/15,Morrigan's Pigaches
183/19,Goliard Clogs
182/28,Denali Gamashes
183/18,Askar Gambieras
