47/61,None
134/23,Invisible
47/62,Leather Gloves
47/63,Gauntlets
47/64,Mitts
47/65,Shinobi Tekko
47/66,Chain Mittens
47/67,Lizard Gloves
47/68,Raptor Gloves
47/69,Tarutaru Mitts
47/70,Kote
47/71,Linen Mitts
47/72,Black Mitts
47/73,Royal Squire's Mufflers
47/74,Royal Knight's Mufflers
47/75,Iron Mittens
47/76,Bronze Mittens
47/77,Bone Mittens
47/78,Tekko
47/79,Wool Cuffs
47/80,Tactician Magician's Cuffs
47/81,Cuffs
47/82,Gloves
47/83,Darksteel Gauntlets
47/84,Bracers
47/85,Battle Bracers
47/86,Iron Musketeer's Gauntlets
47/87,Centurion's Finger Gauntlets
47/88,Gavial Finger Gauntlets
47/89,Scale Finger Gauntlets
47/90,Mythril Gauntlets
47/91,Wonder Mitts
94/30,Fighter's Mufflers (WAR AF1)
94/31,Temple Gloves (MNK AF1)
94/32,Healer's Mitts (WHM AF1)
94/33,Wizard's Gloves (BLM AF1)
94/34,Warlock's Gloves (RDM AF1)
94/35,Rogue's Armlets (THF AF1)
96/69,Gallant Gauntlets (PLD AF1)
96/70,Chaos Gauntlets (DRK AF1)
96/71,Beast Gloves (BST AF1)
96/72,Choral Cuffs (BRD AF1)
96/73,Hunter's Bracers (RNG AF1)
99/34,Myochin Kote (SAM AF1)
99/35,Ninja Tekko (NIN AF1)
99/36,Drachen Finger Gauntlets (DRG AF1)
99/37,Evoker's Bracers (SMN AF1)
157/103,Magus Bazubands (BLU AF1)
163/51,Corsair's Gants (COR AF1)
163/52,Puppetry Dastanas (PUP AF1)
198/76,Dancer's Bangles (m) (DNC AF1)
198/77,Dancer's Bangles (f) (DNC AF1)
198/78,Scholar's Bracers (SCH AF1)
119/28,Tiger Gloves
119/29,Iron Finger Gauntlets
121/32,Steel Finger Gauntlets
121/33,Coeurl Gloves
121/34,Adaman Gauntlets
121/35,Coral Mittens
121/36,Noble's Mitts
121/37,Thick Mufflers
121/38,Arhat's Tekko
121/39,Dragon Finger Gauntlets
124/99,Rasetsu Tekko
124/100,Crimson Finger Gauntlets
124/101,Adaman Mufflers
124/102,Ogre Gloves
124/103,Koenig Handschuhs
125/58,War Gloves
127/11,Yasha Tekko
127/12,Seiryu's Kote
127/13,Hecatomb Mittens
127/14,Errant Cuffs
127/15,Fisherman's Gloves
127/16,Chocobo Gloves
127/17,Vagabond's Gloves
129/105,Field Gloves
129/106,Shura Kote
129/107,Zenith Mitts
129/108,Carapace Gauntlets
129/109,Dusk Gloves
129/110,Dragon Mittens
134/6,Warrior's Mufflers (WAR AF2)
134/7,Melee Gloves (MNK AF2)
134/8,Cleric's Mitts (WHM AF2)
134/9,Sorcerer's Gloves (BLM AF2)
134/10,Duelist's Gloves (RDM AF2)
134/11,Assassin's Armlets (THF AF2)
134/12,Valor Gauntlets (PLD AF2)
134/13,Abyss Gauntlets (DRK AF2)
134/14,Monster Gloves (BST AF2)
134/15,Bard's Cuffs (BRD AF2)
134/16,Scout's Bracers (RNG AF2)
134/17,Saotome Kote (SAM AF2)
134/18,Koga Tekko (NIN AF2)
134/19,Wyrm Finger Gauntlets (DRG AF2)
134/20,Summoner's Bracers (SMN AF2)
214/111,Mirage Bazubands (BLU AF2)
214/112,Commodore Gants (COR AF2)
214/113,Pantin Dastanas (PUP AF2)
218/6,Etoile Bangles (m) (DNC AF2)
218/7,Etoile Bangles (f) (DNC AF2)
217/93,Argute Bracers (SCH AF2)
134/21,Scorpion Gauntlets
134/22,Austere Cuffs
138/32,Carpenter's Gloves
138/33,Smithy's Mitts 
144/101,Hydra Mitts
144/102,Shade Mittens
144/103,Garish Mitts
144/104,Seer's Mitts
144/105,Hydra Gloves
144/106,Noct Gloves
146/5,Bison Wristbands
146/6,Sha'ir Gages
146/57,Barone Manopolas
146/96,Igqira Manillas
148/30,Eisenhentzes
149/45,Lord's Gauntlets
150/69,Hachiman Kote
150/70,Blessed Mitts
151/59,Wise Gloves
153/30,Unicorn Mittens
153/67,Trader's Cuffs
154/76,Alumine Moufles
155/6,Black Gadlings
157/104,Nashira Gages
158/44,Homam Manopolas
158/103,Trader's Cuffs (Black)
159/10,Crow Bracers
154/4,Hydra Moufles
160/78,Hydra Bracers
163/53,Sipahi Dastanas
163/54,Jaridah Bazubands
166/46,Amir Kolluks
166/47,Pahluwan Dastanas
166/48,Yigit Gages
174/100,Ares's Gauntlets
174/101,Skadi's Bazubands
176/7,Usukane Gote
176/8,Marduk's Dastanas
176/9,Morrigan's Cuffs
183/15,Goliard Cuffs
182/26,Denali Wristbands
183/14,Askar Manopolas
185/107,Shadow Gauntlets
186/15,Shadow Cuffs
199/65,Cobra Unit Gloves
196/94,Cobra Unit Mittens
201/39,Iron Ram Dastanas
199/11,Fourth Division Hentzes
199/10,Bastokan Armor
195/88,Orcish Gauntlets
207/44,Hachiryu Kote
219/75,Gothic Gauntlets
225/89,Synergy Gloves
237/11,Ebon Dastanas
237/12,Furia Dastanas
237/13,Ebur Dastanas
237/14,Ebon Mufflers
237/15,Furia Mufflers
237/16,Ebur Mufflers
237/17,Ebon Moufles
237/18,Furia Moufles
237/19,Ebur Moufles
237/20,Ebon Gauntlets
237/21,Furia Gauntlets
237/22,Ebur Gauntlets
229/15,Ebon Gloves
229/16,Furia Gloves
229/17,Ebur Gloves
229/18,Ebon Bracers
229/19,Furia Bracers
229/20,Ebur Bracers
229/21,Shikkoku Kote
229/22,Shinku Kote
229/23,Ginhaku Kote
229/24,Ebon Wristbands
230/14,Furia Wristbands
230/15,Ebur Wristbands
233/85,Ebon Gants
233/86,Furia Gants
233/87,Ebur Gants
233/88,Ebon Cuffs
233/89,Furia Cuffs
