46/114,None
46/115,Leather Bandana
46/116,Sallet
46/117,Shinobi Hachigane
46/118,Iron Mask
46/119,Lizard Helm
46/120,Raptor Helm
46/121,Zunari Kabuto
46/122,Royal Squire's Helm
46/123,Royal Knight's Bascinet
46/124,Padded Cap
46/125,Bronze Cap
46/126,Bone Mask
46/127,Hachimaki
47/0,Wool Hat
47/1,Tactician Magician's Hat
47/2,Circlet
47/3,Headgear
47/4,Darksteel Armet
47/5,Red Cap
47/6,Green Beret
47/7,Iron Musketeer's Armet
47/8,Centurion's Visor
47/9,Gavial Mask
47/10,Faceguard
47/11,Mythril Sallet
47/12,Blue Ribbon
47/13,Purple Ribbon
47/14,Green Ribbon
47/15,Black Ribbon
47/16,Scarlet Ribbon
94/13,Fighter's Mask (WAR AF1)
94/14,Temple Crown (MNK AF1)
94/15,Healer's Cap (WHM AF1)
94/16,Wizard's Petasos (BLM AF1)
94/17,Warlock's Chapeau (RDM AF1)
94/18,Rogue's Bonnet (THF AF1)
96/59,Gallant Coronet (PLD AF1)
96/60,Chaos Burgeonet (DRK AF1)
96/61,Beast Helm (BST AF1)
96/62,Choral Roundlet (BRD AF1)
96/63,Hunter's Beret (RNG AF1)
99/26,Myochin Kabuto (SAM AF1)
99/27,Ninja Hatsuburi (NIN AF1)
99/28,Drachen Armet (DRG AF1)
99/29,Evoker's Horn (SMN AF1)
157/99,Magus Keffiyeh (BLU AF1)
163/43,Corsair's Tricorne (COR AF1)
163/44,Puppetry Taj (PUP AF1)
198/70,Dancer's Tiara (m) (DNC AF1)
198/71,Dancer's Tiara (f) (DNC AF1)
198/72,Scholar's Mortarboard (SCH AF1)
121/17,Coeurl Mask
121/18,Adaman Barbuta
121/19,Coral Cap
121/20,Noble's Crown
121/21,Celata
121/22,Arhat's Jinpachi
121/23,Dragon Mask
124/89,Rasetsu Jinpachi
124/90,Crimson Mask
124/91,Adaman Celata
124/92,Ogre Mask
124/93,Koenig Schaller
125/56,War Beret
126/126,Pumpkin Head
126/127,Roshi Jinpachi
127/0,Genbu's Kabuto
127/1,Hecatomb Cap
127/2,Errant Hat
129/91,Tiger Mask
129/92,Wyvern Helm
129/93,Demon Helm
129/94,Shura Zunari Kabuto
129/95,Zenith Crown
129/96,Carapace Helm
129/97,Dusk Mask
129/98,Dragon Cap
133/98,Warrior's Mask (WAR AF2)
133/99,Melee Crown (MNK AF2)
133/100,Cleric's Cap (WHM AF2)
133/101,Sorcerer's Petasos (BLM AF2)
133/102,Duelist's Chapeau (RDM AF2)
133/103,Assassin's Bonnet (THF AF2)
133/104,Valor Coronet (PLD AF2)
133/105,Abyss Burgeonet (DRK AF2)
133/106,Monster Helm (BST AF2)
133/107,Bard's Roundlet (BRD AF2)
133/108,Scout's Beret (RNG AF2)
133/109,Saotome Kabuto (SAM AF2)
133/110,Koga Hatsuburi (NIN AF2)
133/111,Wyrm Armet (DRG AF2)
133/112,Summoner's Horn (SMN AF2)
214/103,Mirage Keffiyeh (BLU AF2)
214/104,Commodore Tricorne (COR AF2)
214/105,Pantin Taj (PUP AF2)
218/2,Etoile Tiara (m) (DNC AF2)
218/3,Etoile Tiara (f) (DNC AF2)
217/91,Argute Mortarboard (SCH AF2)
133/113,Scorpion Helm
133/114,Austere Hat
133/115,Lilac Corsage
138/14,Panther Mask
138/15,Opo-opo Crown
138/16,Magnifying Specs.
138/17,Protective Specs.
138/18,Chef's Hat
138/19,Shaded Specs.
144/91,Garish Crown
144/92,Seer's Crown
144/93,Hydra Beret
144/94,Noct Beret 
145/127,Hydra Tiara
146/0,Shade Tiara
146/1,Bison Warbonnet
146/2,Sha'ir Turban
146/55,Barone Zucchetto
146/94,Igqira Tiara
148/28,Eisenschaller
149/44,Lord's Armet
149/112,Dream Hat
150/66,Hachiman Jinpachi
151/57,Wise Cap
152/74,Orc Helm
152/75,Yagudo Headgear
152/55,Goblin Coif
152/76,Quadav Barbut
153/28,Unicorn Cap
153/65,Trader's Chapeau
154/74,Alumine Salade
155/4,Black Sallet
155/73,Maat's Cap
155/74,Mandragora Beret
155/75,Guide Beret
156/91,Stars Cap
156/107,Laurel Crown
157/100,Nashira Turban
158/42,Homam Zucchetto
158/101,Trader's Chapeau (Black)
159/8,Crow Beret
154/2,Hydra Moufles
160/76,Hydra Cap
163/45,Sipahi Turban
163/46,Jaridah Khud
