47/92,None
157/48,Invisible
47/93,Leather Trousers
47/94,Cuisses
47/95,Slacks
47/96,Shinobi Hakama
47/97,Chain Hose
47/98,Lizard Trousers
47/99,Raptor Trousers
47/100,Tarutaru Braccae
47/101,Haidate
47/102,Linen Slacks
47/103,White Slacks
47/104,Royal Squire's Breeches
47/105,Royal Knight's Breeches
47/106,Iron Subligar
47/107,Bronze Subligar
47/108,Bone Subligar
47/109,Sitabaki
47/110,Wool Slops
47/111,Tactician Magician's Slops
47/112,Slops
47/113,Brais
47/114,Darksteel Cuisses
47/115,Hose
47/116,Battle Hose
47/117,Iron Musketeer's Cuisses
47/118,Centurion's Cuisses
47/119,Gavial Cuisses
47/120,Scale Cuisses
47/121,Mythril Cuisses
47/122,Wonder Braccae
94/36,Fighter's Cuisses (WAR AF1)
94/37,Temple Gaiters (MNK AF1)
94/38,Healer's Pantaloons (WHM AF1)
94/39,Wizard's Tonban (BLM AF1)
94/40,Warlock's Tights (RDM AF1)
94/41,Rogue's Culotte (THF AF1)
96/74,Gallant Breeches (PLD AF1)
96/75,Chaos Flanchard (DRK AF1)
96/76,Beast Trousers (BST AF1)
96/77,Choral Cannions (BRD AF1)
96/78,Hunter's Braccae (RNG AF1)
99/38,Myochin Haidate (SAM AF1)
99/39,Ninja Hakama (NIN AF1)
99/40,Drachen Brais (DRG AF1)
99/41,Evoker's Spats (SMN AF1)
157/105,Magus Shalwar (BLU AF1)
163/55,Corsair's Culotte (COR AF1)
163/56,Puppetry Churidars (PUP AF1)
198/79,Dancer's Tights (m) (DNC AF1)
198/80,Dancer's Tights (f) (DNC AF1)
198/81,Scholar's Pants (SCH AF1)
119/30,Tiger Trousers
119/31,Iron Cuisses
121/40,Steel Cuisses
121/41,Coeurl Trousers
121/42,Adaman Cuisses
121/43,Coral Subligar
121/44,Noble's Slacks
121/45,Thick Breeches
121/46,Arhat's Hakama
121/47,Dragon Cuisses
124/104,Rasetsu Hakama
124/105,Crimson Cuisses
124/106,Adaman Breeches
124/107,Ogre Trousers
124/108,Koenig Diechlings
125/59,War Brais
127/18,Yasha Hakama
127/19,Byakko's Haidate
127/20,Hecatomb Subligar
127/21,Errant Slops
127/22,Fisherman's Hose
127/23,Chocobo Hose
127/24,Vagabond's Hose
129/111,Field Hose
129/112,Shura Haidate
129/113,Zenith Slacks
