@None
48/26,None

@Hand
48/96,Avengers
48/97,Darksteel Katars
48/98,Katars
48/99,Jamadhars
48/100,Exocets
48/101,Darksteel Claws
48/102,Claws
48/103,Mythril Claws
48/104,Cermet Claws
48/105,Cesti
48/106,Lizard Cesti
48/107,Poison Cesti
48/108,Darksteel Knuckles
48/109,Bronze Knuckles
48/110,Brass Knuckles
48/111,Metal Knuckles
48/112,Mythril Knuckles
48/113,Koenigs Knuckles
48/114,Diamond Knuckles
48/115,Manoples
48/116,Gold Patas
48/117,Patas
48/118,Bone Patas
48/119,Cat Baghnakhs
48/120,Brass Baghnakhs
48/121,Baghnakhs
48/122,Rune Baghnakhs
138/49,Spharai
273/109,Spharai (99)
149/55,Adargas
166/55,Sainti
169/121,Darksteel Sainti
171/74,Adaman Sainti
172/27,Black Adargas
173/71,Hades Sainti
205/39,Glanzfaust
273/108,Glanzfaust (99)
205/40,Kenkonken
273/107,Kenkonken (99)
210/65,Shenlong's Baghnakhs
242/6,Verethragna
273/106,Verethragna (99)
245/66,Afflictors
268/56,Girru
281/0,Blutkrallen
293/82,Tlalpoloani
303/50,Forefront Cesti
314/94,Worm Feelers
319/11,Ohrmazd
328/38,Blurred claws
328/39,Nibiru sainti
341/3,Denouements
342/112,Godhands
352/103,Aphelion Knuckles
355/71,Premium Mogti
356/3,Sagitta (su5)
359/10,Kaja Knuckles
360/20,Karambit

@Dagger
49/8,Valiant Knife
49/9,Darksteel Knife
49/10,Bronze Knife
49/11,Knife
49/12,Mythril Knife
49/13,Cermet Knife
49/14,Misericorde
49/15,Bronze Dagger
49/16,Brass Dagger
49/17,Dagger
49/18,Mythril Dagger
49/19,Darksteel Baselard
49/20,Baselard
49/21,Mythril Baselard
49/22,Darksteel Kukri
49/23,Kukri
49/24,Mythril Kukri
49/25,Cermet Kukri
49/26,Heart Snatcher
49/27,Parrying Knife
49/28,Combat Caster's Dagger
49/29,Kris
49/30,Triple Dagger
49/31,Bone Knife
99/53,Kard
138/35,Mandau
275/30,Mandau (99)
138/47,Raetic Kris
147/126,Harpe
163/123,Jambiya
172/26,Supernal Knife
173/30,Matron's Knife
175/11,Khimaira Jambiya
200/19,Darksteel Jambiya
200/20,Thug's Jambiya
205/31,Vajra
275/45,Vajra (99)
205/36,Carnwenhan
275/49,Carnwenhan (99)
205/37,Terpsichore
275/55,Terpsichore (99)
210/54,Azoth
219/28,Ermine's Tail
227/15,Machismo
245/64,Twashtar
275/57,Twashtar (99)
246/8,Auric Dagger
262/7,Twilight Dagger
264/108,Mantodea Harpe
266/27,Lux Pugio
266/78,Coruscanti
269/47,Asteria
280/20,Blustery Dagger
281/43,Sandung
289/111,Coalition Dirk 
291/104,Izhiikoh
308/22,Camaraderie dagger
319/74,Ipetam
325/35,Rhadamanthus
327/48,Odium
330/95,Nibiru knife
344/47,Sangoma
344/49,Aeneas
354/25,Chicken Knife II
356/77,Gandring (su5)
358/51,Aern Dagger
358/105,Qutrub Dagger
359/71,Kaja Knife
360/78,Tauret
362/61,Wind Knife
362/120,Norgish Dagger
362/121,Esikuva

@Sword
49/32,Colichemarde
49/33,Small Sword
49/34,Bilbo
49/35,Junior Musketeer's Tuck
49/36,Joyeuse
49/37,Schlaeger
49/38,Duel Rapier
49/39,Degen
49/40,Mythril Degen
49/41,Epee
49/42,Fleuret
49/43,Schwert
49/44,Royal Guard's Fleuret
49/100,Spatha
49/101,Gold Sword
49/102,Longsword
49/103,Knight's Sword
49/104,Saber
49/105,Rune Blade
49/106,Sapara
49/107,Scimitar
49/108,Tulwar
49/109,Hanger
49/110,Ridill
49/111,Darksteel Falchion
49/112,Platinum Cutlass
49/113,Falchion
49/114,Cutlass
49/115,Xiphos
49/116,Brass Xiphos
49/117,Gladius
49/118,Darksteel Sword
49/119,Bronze Sword
49/120,Jagdplaute
