@None
50/31,None

@Shield
50/32,Unknown Shield 1
50/33,Unknown Shield 2
50/34,Ritter Shield
50/35,Caballero Shield
50/36,Kite Shield
50/37,Heater Shield
50/38,Royal Knight Army Shield
50/39,Temple Knight Army Shield
50/40,Royal Guard's Shield
50/41,Darksteel Shield
50/42,Shell Shield
50/43,Tatami Shield
50/44,Scutum
50/45,Tower Shield
50/46,Faerie Shield
50/47,Maple Shield
50/48,Lauan Shield
50/49,Oak Shield
50/50,Elm Shield
50/51,Mahogany Shield
50/52,Aspis
50/53,Gold Buckler
50/54,Targe
50/55,Buckler
50/56,Darksteel Buckler
50/57,Frost Shield
122/78,General's Shield
122/79,Koenig Shield
130/61,Acheron Shield
155/86,Aegis
274/29,Aegis (99)
155/100,Genbu's Shield
165/1,Tariqah
165/2,Januwiyah
215/118,Kupo Shield
215/119,Nomad Shield
245/92,Seigneur Shield
261/98,Ochain
274/30,Ochain (99)
278/126,Adamas
284/11,Mandraguard
288/97,Janus Guard
306/42,Glinting Shield
307/35,Camaraderie shield
307/36,Slime shield
314/47,Mundus Shield
314/48,She-Slime Shield
314/49,Metal Slime Shield
314/50,Hatchling Shield
316/68,Morbol shield
320/3,Svalinn
320/99,Cait Sith guard
332/8,Nibiru shield
332/9,Blurred shield
341/38,Culminus
345/22,Srivatsa
354/64-71,Crafting Shield
355/44,Diamond Buckler
355/99,Kam'lanaut's Shield
361/44,Dullahan Shield
361/45,Cassie's Shield
362/6,Sacro Bulwark

@Hand
50/58,Avengers
50/59,Darksteel Katars
50/60,Katars
50/61,Jamadhars
50/62,Exocets
50/63,Darksteel Claws
50/64,Claws
50/65,Mythril Claws
50/66,Cermet Claws
50/67,Cesti
50/68,Lizard Cesti
50/69,Poison Cesti
50/70,Darksteel Knuckles
50/71,Bronze Knuckles
50/72,Brass Knuckles
50/73,Metal Knuckles
50/74,Mythril Knuckles
50/75,Koenigs Knuckles
50/76,Diamond Knuckles
50/77,Manoples
50/78,Gold Patas
50/79,Patas
50/80,Bone Patas
50/81,Cat Baghnakhs
50/82,Brass Baghnakhs
50/83,Baghnakhs
50/84,Rune Baghnakhs
142/46,Spharai
274/33,Spharai (99)
149/89,Adargas
166/92,Sainti
170/10,Darksteel Sainti
171/114,Adaman Sainti
172/54,Black Adargas
173/78,Hades Sainti
206/4,Glanzfaust
274/32,Glanzfaust (99)
206/5,Kenkonken
280/12,Kenkonken (99)
210/124,Shenlong's Baghnakhs
242/27,Verethragna
274/31,Verethragna (99)
245/95,Afflictors
269/40,Girru
281/24,Blutkrallen
293/89,Tlalpoloani
304/70,Forefront Cesti
314/101,Worm Feelers
319/27,Ohrmazd
328/70,Blurred claws
328/71,Nibiru sainti
341/13,Denouements
343/0,Godhands
352/110,Aphelion Knuckles
355/78,Premium Mogti
356/16,Sharanga (su5)
359/23,Kaja Knuckles
360/30,Karambit

@Dagger
114/72,Valiant Knife
114/73,Darksteel Knife
114/74,Bronze Knife
114/75,Knife
114/76,Mythril Knife
114/77,Cermet Knife
114/78,Misericorde
114/79,Bronze Dagger
114/80,Brass Dagger
114/81,Dagger
114/82,Mythril Dagger
114/83,Darksteel Baselard
114/84,Baselard
114/85,Mythril Baselard
114/86,Darksteel Kukri
114/87,Kukri
114/88,Mythril Kukri
114/89,Cermet Kukri
114/90,Heart Snatcher
114/91,Parrying Knife
114/92,Combat Caster's Dagger
114/93,Kris
114/94,Triple Dagger
114/95,Bone Knife
115/60,Kard
142/40,Mandau
276/73,Mandau (99)
142/44,Raetic Kris
148/5,Harpe
164/37,Jambiya
172/53,Supernal Knife
173/37,Matron's Knife
175/25,Khimaira Jambiya
200/56,Darksteel Jambiya
200/57,Thug's Jambiya
206/0,Vajra
276/80,Vajra (99)
