
@格闘
84/36, コンボ
84/37, タックル
84/38, 短勁
84/39, バックハンドブロー
84/40, 乱撃
84/41, スピンアタック
84/42, 空鳴拳
105/8, 双竜脚
105/9, 夢想阿修羅拳
141/10, ファイナルヘブン

@短剣
84/43, ワスプスティング
84/44, ガストスラッシュ
84/45, シャドーステッチ
84/46, バイパーバイト
84/47, サイクロン
84/48, エナジースティール
84/49, エナジードレイン
84/50, ダンシングエッジ
105/10, シャークバイト
105/11, エヴィサレーション
141/11, マーシーストローク

@片手剣
84/27, ファストブレード
84/28, バーニングブレード
84/29, レッドロータス
84/32, フラットブレード
84/30, シャインブレード
84/31, セラフブレード
84/33, サークルブレード
84/34, スピリッツウィズイン
84/35, ボーパルブレード
105/6, スウィフトブレード
105/7, サベッジブレード
141/9, ナイツオブラウンド

@片手棍
84/65, シャインストライク
84/66, セラフストライク
84/67, ブレインシェイカー
84/68, スターライト
84/69, ムーンライト
84/70, スカルブレイカー
84/71, トゥルーストライク
84/72, ジャッジメント
105/16, ヘキサストライク
105/17, ブラックヘイロー
141/14, ランドグリース

@片手斧
84/51, レイジングアクス
84/52, スマッシュ
84/53, ラファールアクス
84/54, アバランチアクス
84/55, スピニングアクス
84/56, ランページ
84/57, カラミティ
105/12, ミストラルアクス
105/13, デシメーション
141/12, オンスロート

@片手刀
105/26, 臨
105/27, 烈
105/28, 滴
105/29, 凍
105/30, 地
105/31, 影
105/32, 迅
105/33, 天
105/34, 空
141/19, 生者必滅

@両手剣
84/80, ハードスラッシュ
84/81, パワースラッシュ
84/82, フロストバイト
84/83, フリーズバイト
84/84, ショックウェーブ
84/85, クレセントムーン
84/86, シックルムーン
105/20, スピンスラッシュ
105/21, グランドストライク
141/16, スカージ

@両手棍
84/94, ヘヴィスイング
84/95, ロッククラッシャー
84/96, アースクラッシャー
84/97, スターバースト
84/98, サンバースト
84/99, シェルクラッシャー
84/100, フルスイング
105/24, スピリットテーカー
105/25, レトリビューション
141/18, タルタロスゲート

@両手斧
84/73, シールドブレイク
84/74, アイアンテンペスト
84/75, シュトルムヴィント
84/76, アーマーブレイク
84/77, キーンエッジ
84/78, ウェポンブレイク
84/79, レイジングラッシュ
105/18, フルブレイク
105/19, スチールサイクロン
141/15, メタトロントーメント

@両手刀
105/35, 壱之太刀・燕飛
105/36, 弐之太刀・鋒縛
105/37, 参之太刀・轟天
105/38, 四之太刀・陽炎
105/39, 五之太刀・陣風
105/40, 六之太刀・光輝
105/41, 七之太刀・雪風
105/42, 八之太刀・月光
105/43, 九之太刀・花車
141/20, 零之太刀・回天

@両手鎌
84/58, スライス
84/59, ダークハーベスト
84/60, シャドーオブデス
84/61, ナイトメアサイス
84/62, スピニングサイス
84/63, ボーパルサイス
84/64, ギロティン
105/14, クロスリーパー
105/15, スパイラルヘル
141/13, カスタロフィ

@両手槍
84/87, ダブルスラスト
84/88, サンダースラスト
84/89, ライデンスラスト
84/90, 足払い
84/91, ペンタスラスト
84/92, ボーパルスラスト
84/93, スキュアー
105/22, 大車輪
105/23, インパルスドライブ
141/17, ゲイルスコルグ

@弓術
84/111, フレイミングアロー
84/112, ピアシングアロー
84/113, ダリングアロー
84/115, サイドワインダー
105/59, ブラストアロー
105/60, アーチングアロー
105/61, エンピリアルアロー
141/21, 南無八幡

@射撃
84/116, ホットショット
84/117, スプリットショット
84/118, スナイパーショット
84/120, スラッグショット
105/62, ブラストショット
105/63, ヘヴィショット
105/64, デトネーター
141/22, カラナック
